"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction","Significance","Dataset","gene_symbol"
"235053_AT",13.6888222984621,43.1481383843809,4.66428267385614,1.19433001466761e-05,0.0932857050742166,2.14952054404098,"235053_at","up","nominal","GSE28702",NA
"239760_AT",16.0654899858668,45.9464804978952,4.33660650135195,4.10253749734432e-05,0.14321239762576,1.2493936093977,"239760_at","up","nominal","GSE28702",NA
"236209_AT",-8.39144355141821,16.4852667339236,-3.91697118027431,0.000185221990918664,0.195643545753704,0.149438046469078,"236209_at","down","nominal","GSE28702",NA
"217506_AT",58.2771662144046,143.818421233851,3.84361110526475,0.00023887915370783,0.210418254356058,-0.0360282345320577,"217506_at","up","nominal","GSE28702",NA
"1554108_AT",7.5146628935603,24.9975089207432,3.74904369963316,0.000330195548652991,0.228156552282143,-0.271877162731129,"1554108_at","up","nominal","GSE28702",NA
"1566896_AT",-3.49900794446077,6.6238184250254,-3.70603198015302,0.000381962839240142,0.231542619669856,-0.377911028150241,"1566896_at","down","nominal","GSE28702",NA
"243911_AT",-5.1162001842212,33.293751994484,-3.69665288336419,0.000394234707308195,0.231542619669856,-0.400928176907311,"243911_at","down","nominal","GSE28702",NA
"233465_AT",-1.85733174775758,4.26287555087821,-3.6347520695356,0.000485138421146034,0.238309633664131,-0.551887181603667,"233465_at","down","nominal","GSE28702",NA
"242391_AT",-2.70081202454417,8.25628231891421,-3.60950261450376,0.000527661675197615,0.240476145122839,-0.612983865784769,"242391_at","down","nominal","GSE28702",NA
"235803_AT",55.9311628211801,112.543110676441,3.60942709619597,0.000527794008500057,0.240476145122839,-0.613166177942276,"235803_at","up","nominal","GSE28702",NA
"237562_AT",5.66041085400836,15.2008580868051,3.59178919450065,0.000559579235026591,0.243328353553281,-0.655677480803286,"237562_at","up","nominal","GSE28702",NA
"243947_S_AT",-4.51542850845892,15.3789620104514,-3.59167414771529,0.00055979239981808,0.243328353553281,-0.655954316392675,"243947_s_at","down","nominal","GSE28702",NA
"241086_AT",3.91719083714649,9.28848738713892,3.55194817529931,0.00063818678564939,0.252634252509452,-0.751193061353007,"241086_at","up","nominal","GSE28702",NA
"229425_AT",22.0918334322656,71.7327044665409,3.48372561966162,0.000797599472783703,0.25957589984791,-0.913084917718899,"229425_at","up","nominal","GSE28702",NA
"217470_AT",-2.2147782917034,6.92226473943969,-3.43869770358447,0.00092269415286604,0.26816005604043,-1.01876369787905,"217470_at","down","nominal","GSE28702",NA
"236411_AT",15.5744025961686,52.7468354362026,3.4066715477829,0.00102269706383848,0.270878559577337,-1.09335144992479,"236411_at","up","nominal","GSE28702",NA
"242395_AT",-4.36990517662986,17.3533383335753,-3.37238195561225,0.00114104597871429,0.274831228573586,-1.17267311349691,"242395_at","down","nominal","GSE28702",NA
"235078_AT",52.3114298353693,267.907554012193,3.36496715234822,0.00116827976272951,0.276518164620069,-1.18975200255233,"235078_at","up","nominal","GSE28702",NA
"1557244_A_AT",5.77309433290653,21.8924080425316,3.34805096728326,0.00123271772100072,0.27972934511544,-1.22861722526135,"1557244_a_at","up","nominal","GSE28702",NA
"238228_AT",-14.6269995047437,39.2263438634054,-3.34159334684449,0.00125818659272159,0.27972934511544,-1.24341741332797,"238228_at","down","nominal","GSE28702",NA
"1567105_AT",-5.28409849212179,17.7150696762955,-3.33546018301677,0.00128283318908145,0.27972934511544,-1.2574553496353,"1567105_at","down","nominal","GSE28702",NA
"1565876_X_AT",2.01772899608888,3.91309430759181,3.31754921068527,0.00135743294102784,0.27972934511544,-1.29834677176947,"1565876_x_at","up","nominal","GSE28702",NA
"231332_AT",7.31980183871373,21.8237781027725,3.30004760329921,0.00143424881113799,0.279777120593614,-1.33815293618371,"231332_at","up","nominal","GSE28702",NA
"215351_AT",9.52243524572155,26.7111329670489,3.28800796541188,0.00148944079910408,0.279777120593614,-1.3654493533421,"215351_at","up","nominal","GSE28702",NA
"241695_S_AT",-3.0019828242587,16.1565070271447,-3.27037087864889,0.00157390016527195,0.286843305120813,-1.40530789033987,"241695_s_at","down","nominal","GSE28702",NA
"227663_AT",107.653981343003,262.666794401219,3.19718655261977,0.00197465728787774,0.310261804523905,-1.56905032352247,"227663_at","up","nominal","GSE28702",NA
"235473_AT",11.8261015965255,51.0721067883583,3.17224672189999,0.00213175119229628,0.315639828683945,-1.6242364478097,"235473_at","up","nominal","GSE28702",NA
"1565830_AT",9.25812375138183,20.01388144288,3.16998852187208,0.00214653723947785,0.315639828683945,-1.62921775708994,"1565830_at","up","nominal","GSE28702",NA
"238631_AT",18.1497621610484,50.9620525620554,3.16812302561219,0.00215882414255393,0.315639828683945,-1.63333085486975,"238631_at","up","nominal","GSE28702",NA
"1559151_AT",3.56324556910569,13.6632920481928,3.16698320027084,0.00216636377070877,0.315763053044185,-1.63584310202066,"1559151_at","up","nominal","GSE28702",NA
"1561097_AT",-2.57263464436141,12.4947959014371,-3.16533976320498,0.00217727793319904,0.315763053044185,-1.63946417728389,"1561097_at","down","nominal","GSE28702",NA
"1563089_AT",-1.81139930782363,9.60170811874002,-3.12520868608426,0.00246026048907598,0.331317099113865,-1.72745877623232,"1563089_at","down","nominal","GSE28702",NA
"1554825_AT",-2.79955891902103,13.8942680468863,-3.10369584460944,0.00262571919550152,0.335357721235908,-1.7742885635274,"1554825_at","down","nominal","GSE28702",NA
"242085_AT",-2.85909604872451,11.941580158949,-3.10173233943136,0.00264132577734902,0.335357721235908,-1.77855085385497,"242085_at","down","nominal","GSE28702",NA
"237130_AT",4.50132412808026,14.1358509290173,3.10108026412107,0.00264652775539641,0.335357721235908,-1.77996590786691,"237130_at","up","nominal","GSE28702",NA
"1564984_AT",-7.83597068622923,32.7019779111627,-3.09348711685071,0.00270780877266699,0.335357721235908,-1.79642737569013,"1564984_at","down","nominal","GSE28702",NA
"244562_S_AT",3.74234401025705,6.74174923283495,3.08612268367657,0.00276850295756864,0.336446604074506,-1.81236437036866,"244562_s_at","up","nominal","GSE28702",NA
"237847_AT",-11.4444435980857,41.071405279431,-3.08508986804265,0.00277711541625869,0.336446604074506,-1.81459717606252,"237847_at","down","nominal","GSE28702",NA
"228464_AT",29.4827098960301,129.258606408768,3.08505907439004,0.00277737258100744,0.336446604074506,-1.81466373918034,"228464_at","up","nominal","GSE28702",NA
"228465_AT",29.1610617166925,74.9663132805922,3.08013763769277,0.00281875844135919,0.339461713174699,-1.82529549203364,"228465_at","up","nominal","GSE28702",NA
"241286_AT",-3.0566696207478,17.875913507766,-3.07072960752435,0.00289947383195806,0.339609591960696,-1.84558441288682,"241286_at","down","nominal","GSE28702",NA
"1559808_AT",-25.196625130697,122.818621203368,-3.06579196505733,0.00294269059279138,0.339609591960696,-1.85621417676968,"1559808_at","down","nominal","GSE28702",NA
"241094_AT",2.57979908015336,10.7544482174481,3.06326198795672,0.00296506546173449,0.339609591960696,-1.86165576581209,"241094_at","up","nominal","GSE28702",NA
"243958_AT",4.68382463711991,12.0115413884453,3.04812599150479,0.00310226209999185,0.339802099695461,-1.89414075254765,"243958_at","up","nominal","GSE28702",NA
"235656_S_AT",3.81959331633152,13.3338677282624,3.04594010746431,0.00312255575333203,0.339802099695461,-1.89882215397703,"235656_s_at","up","nominal","GSE28702",NA
"236916_AT",4.99390575003847,21.2838879895486,3.03622966501809,0.00321420568402426,0.344581756419659,-1.91958807451046,"236916_at","up","nominal","GSE28702",NA
"231136_AT",-5.01913809285923,24.816518532443,-3.02629288697926,0.00331057112560428,0.347487597538629,-1.9407864308195,"231136_at","down","nominal","GSE28702",NA
"233703_X_AT",1.30910421980605,2.7217044338801,3.02529052958915,0.00332043921320337,0.347487597538629,-1.94292187991565,"233703_x_at","up","nominal","GSE28702",NA
"216495_X_AT",-7.15084805647677,36.5164878734214,-3.02196345325115,0.0033533897792943,0.349231592729364,-1.95000615412662,"216495_x_at","down","nominal","GSE28702",NA
"1563553_AT",-28.1585638759218,65.4953521846422,-3.01247528529757,0.00344903108201769,0.353800702456505,-1.97017683662703,"1563553_at","down","nominal","GSE28702",NA
"224005_AT",-10.6107238638876,40.8685607562781,-3.00690050107557,0.00350639817995083,0.355595934339116,-1.98200581705949,"224005_at","down","nominal","GSE28702",NA
"235123_AT",82.597583591159,208.092523228335,3.00433261396533,0.00353311926475077,0.355595934339116,-1.98744897689979,"235123_at","up","nominal","GSE28702",NA
"236987_AT",9.83916166855575,31.3215656205545,3.00345790137149,0.00354226440156995,0.355595934339116,-1.98930230577032,"236987_at","up","nominal","GSE28702",NA
"1557757_AT",-2.5964110692946,9.12517538975178,-2.99995860059755,0.00357906945602094,0.355595934339116,-1.99671249309744,"1557757_at","down","nominal","GSE28702",NA
"243769_AT",-2.40082948966598,7.81393852518508,-2.99739474690141,0.00360626014607485,0.355595934339116,-2.00213761063672,"243769_at","down","nominal","GSE28702",NA
"236092_AT",9.02502009550396,18.9391781797068,2.99153149403643,0.00366916292402485,0.356959933934268,-2.01453105899755,"236092_at","up","nominal","GSE28702",NA
"237337_AT",9.53285151120159,38.8878819828712,2.98561521017055,0.0037336631211609,0.358573141670286,-2.02701795633494,"237337_at","up","nominal","GSE28702",NA
"231037_AT",10.8051751355247,15.1126823102047,2.98452691484053,0.00374564156817928,0.358573141670286,-2.02931286846011,"231037_at","up","nominal","GSE28702",NA
"1569540_AT",34.781995419028,76.7939510015968,2.97608655585602,0.00383975608077649,0.361340212937099,-2.04708966450432,"1569540_at","up","nominal","GSE28702",NA
"217396_AT",3.07499227796202,8.13631988314705,2.97458527140523,0.0038567236748808,0.362313345230426,-2.05024761098595,"217396_at","up","nominal","GSE28702",NA
"221380_AT",-1.87594071334117,7.90628419581942,-2.96851841756642,0.00392600053463487,0.364499313945175,-2.06299686964114,"221380_at","down","nominal","GSE28702",NA
"1565616_AT",2.05349986951289,7.1211045855712,2.96325147822923,0.00398707466866501,0.365035471663948,-2.07404906792034,"1565616_at","up","nominal","GSE28702",NA
"243720_AT",-4.14650968060394,30.151415060241,-2.95795571987468,0.00404936766492424,0.365035471663948,-2.08514665788244,"243720_at","down","nominal","GSE28702",NA
"239735_AT",180.047256013881,433.231560744665,2.95621524020978,0.00407003622224801,0.365035471663948,-2.08879063521836,"239735_at","up","nominal","GSE28702",NA
"236959_S_AT",-5.05661340427913,27.6620385019596,-2.9211752779255,0.00450744681151102,0.379084257795606,-2.16180328060084,"236959_s_at","down","nominal","GSE28702",NA
"240286_AT",5.53622252763667,13.0455757853099,2.90820641950258,0.00468005256537785,0.379084257795606,-2.1886569773263,"240286_at","up","nominal","GSE28702",NA
"241783_AT",-4.88152893560304,26.2737363347365,-2.90110615730394,0.00477711343257671,0.381841242838636,-2.20332000999165,"241783_at","down","nominal","GSE28702",NA
