"Gene","Priority"
"VIM","Tier1_Capecitabine_DEG_WGCNA"
"SORBS1","Tier2_DEG_WGCNA"
"DOCK2","Tier2_DEG_WGCNA"
"FAM26F","Tier2_DEG_WGCNA"
"CHRNA3","Tier2_DEG_WGCNA"
"SLC11A1","Tier2_DEG_WGCNA"
"QKI","Tier2_DEG_WGCNA"
"HAVCR2","Tier2_DEG_WGCNA"
"S1PR3","Tier2_DEG_WGCNA"
"RGS2","Tier2_DEG_WGCNA"
"FYN","Tier2_DEG_WGCNA"
"PDLIM3","Tier2_DEG_WGCNA"
"COL3A1","Tier2_DEG_WGCNA"
"TSPAN4","Tier2_DEG_WGCNA"
"COL16A1","Tier2_DEG_WGCNA"
"AOC3","Tier2_DEG_WGCNA"
"COL4A1","Tier2_DEG_WGCNA"
"OGN","Tier2_DEG_WGCNA"
"GJC1","Tier2_DEG_WGCNA"
"LRRFIP1","Tier2_DEG_WGCNA"
"MMP11","Tier2_DEG_WGCNA"
"IGFBP5","Tier2_DEG_WGCNA"
"HSPB8","Tier2_DEG_WGCNA"
"FILIP1L","Tier2_DEG_WGCNA"
"JPH2","Tier2_DEG_WGCNA"
"LAIR1","Tier2_DEG_WGCNA"
"CYGB","Tier2_DEG_WGCNA"
"TPM2","Tier2_DEG_WGCNA"
"ITGBL1","Tier2_DEG_WGCNA"
"EPHA3","Tier2_DEG_WGCNA"
"ADAM12","Tier2_DEG_WGCNA"
"TFEC","Tier2_DEG_WGCNA"
"PDE5A","Tier2_DEG_WGCNA"
"ADAMTS5","Tier2_DEG_WGCNA"
"GAS7","Tier2_DEG_WGCNA"
"IL18BP","Tier2_DEG_WGCNA"
"RNASE6","Tier2_DEG_WGCNA"
"ADAMTS12","Tier2_DEG_WGCNA"
"CLU","Tier2_DEG_WGCNA"
"CHST15","Tier2_DEG_WGCNA"
"RGS16","Tier2_DEG_WGCNA"
"ASB2","Tier2_DEG_WGCNA"
"SAMD4A","Tier2_DEG_WGCNA"
"RDX","Tier2_DEG_WGCNA"
"DERL3","Tier2_DEG_WGCNA"
"AMOTL1","Tier2_DEG_WGCNA"
"ST8SIA4","Tier2_DEG_WGCNA"
"PTGER3","Tier2_DEG_WGCNA"
"PECAM1","Tier2_DEG_WGCNA"
"CD74","Tier2_DEG_WGCNA"
"APOC1","Tier2_DEG_WGCNA"
"LSAMP","Tier2_DEG_WGCNA"
"FRMD4A","Tier2_DEG_WGCNA"
