"Pathway","Mean_Coef","Median_Coef","SD_Coef","Q025_Coef","Q975_Coef","Selection_Freq"
"KEGG_ECM_RECEPTOR_INTERACTION",0.5883,0.4101,0.5951,0.0572,2.2108,0.445
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",-0.3904,-0.3124,0.3444,-1.2354,-0.0067,0.362
"KEGG_BASE_EXCISION_REPAIR",-0.8223,-0.4553,0.9588,-3.3933,-0.0085,0.315
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.1768,0.1482,0.4662,-0.7543,1.0965,0.295
"HALLMARK_ANGIOGENESIS",0.263,0.2482,0.4607,-0.6638,1.1562,0.26
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.048,-0.0846,0.2478,-0.4496,0.5694,0.248
"HALLMARK_INFLAMMATORY_RESPONSE",-0.4357,-0.3017,0.4298,-1.6214,-0.0132,0.237
"KEGG_HOMOLOGOUS_RECOMBINATION",0.4437,0.3766,0.4424,-0.2849,1.3109,0.226
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",-0.2156,-0.2266,0.3608,-0.8392,0.7119,0.219
"HALLMARK_HYPOXIA",1.2613,1.1267,1.0092,0.0407,3.5645,0.211
"KEGG_WNT_SIGNALING_PATHWAY",0.4672,0.3972,0.7895,-1.0467,2.0936,0.209
"HALLMARK_APOPTOSIS",-2.6771,-2.217,2.0361,-7.8028,-0.0998,0.209
"KEGG_TGF_BETA_SIGNALING_PATHWAY",-0.322,-0.2609,0.61,-1.7095,0.7818,0.203
"HALLMARK_E2F_TARGETS",-1.0046,-0.4992,1.4205,-4.8968,-0.0035,0.196
"KEGG_MTOR_SIGNALING_PATHWAY",0.3433,0.2474,0.6155,-0.7807,1.8706,0.183
"KEGG_COLORECTAL_CANCER",0.7652,0.6227,0.8845,-0.7653,2.5375,0.172
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",-0.0609,-0.0481,0.3207,-0.8993,0.568,0.171
"KEGG_NOTCH_SIGNALING_PATHWAY",-1.1793,-1.0375,0.9494,-3.5933,-0.0104,0.17
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.0224,-4e-04,0.2043,-0.2949,0.4879,0.169
"KEGG_ABC_TRANSPORTERS",0.0802,0.0705,0.2317,-0.3814,0.5432,0.167
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-1.1424,-0.8957,0.9709,-3.306,-0.0243,0.159
"HALLMARK_TGF_BETA_SIGNALING",0.4615,0.4385,1.0009,-1.6358,2.2934,0.158
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.3987,0.3624,0.5583,-0.6783,1.6102,0.155
"KEGG_MISMATCH_REPAIR",1.0907,0.8965,0.901,0.0062,3.2059,0.147
"HALLMARK_P53_PATHWAY",1.262,1.0717,1.0226,0.0042,3.6499,0.147
"HALLMARK_MYC_TARGETS_V2",0.3013,0.1555,0.7901,-0.9358,1.9231,0.144
"KEGG_FOCAL_ADHESION",-1.3977,-1.1199,1.5972,-4.7509,1.0659,0.143
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.1317,0.1036,0.3259,-0.5188,0.9218,0.142
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",-0.2175,-0.1954,0.4998,-1.3529,0.8105,0.13
"KEGG_P53_SIGNALING_PATHWAY",-0.5318,-0.4338,0.5121,-1.8258,0.4974,0.127
"KEGG_MAPK_SIGNALING_PATHWAY",0.2112,0.1442,0.5284,-0.8064,1.3886,0.123
"KEGG_GLUTATHIONE_METABOLISM",0.1954,0.021,0.8367,-1.4061,2.0432,0.111
"KEGG_CELL_CYCLE",-0.9829,-0.7356,0.9563,-3.31,-0.0282,0.109
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",-1.0566,-0.5588,1.2565,-4.0243,0.5562,0.107
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.1188,-0.0824,0.8469,-1.2394,1.831,0.097
"KEGG_PATHWAYS_IN_CANCER",0.5121,0.439,0.9924,-0.9808,2.9782,0.09
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.2697,2.0504,1.6264,0.0857,6.2447,0.081
"KEGG_APOPTOSIS",0.3134,0.1773,0.7274,-0.8508,1.7808,0.067
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",-0.2487,-0.2213,0.7076,-1.8005,1.0769,0.066
"HALLMARK_MYC_TARGETS_V1",1.3202,1.2672,2.0042,-2.2144,5.5018,0.066
"HALLMARK_G2M_CHECKPOINT",0.4469,-0.0298,1.7153,-1.974,4.7379,0.057
"HALLMARK_GLYCOLYSIS",1.0929,1.0614,0.9974,-0.7627,2.9158,0.05
"HALLMARK_DNA_REPAIR",1.6184,1.2171,1.7065,-0.2053,5.9896,0.044
"HALLMARK_MTORC1_SIGNALING",0.4997,0.4665,2.2053,-4.9192,3.225,0.03
