"","KEGG_ECM_RECEPTOR_INTERACTION","KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG_BASE_EXCISION_REPAIR","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_ANGIOGENESIS","KEGG_DRUG_METABOLISM_OTHER_ENZYMES","HALLMARK_INFLAMMATORY_RESPONSE","KEGG_HOMOLOGOUS_RECOMBINATION","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","HALLMARK_HYPOXIA","KEGG_WNT_SIGNALING_PATHWAY","HALLMARK_APOPTOSIS","KEGG_TGF_BETA_SIGNALING_PATHWAY","HALLMARK_E2F_TARGETS","KEGG_MTOR_SIGNALING_PATHWAY","KEGG_COLORECTAL_CANCER","KEGG_DRUG_METABOLISM_CYTOCHROME_P450","KEGG_NOTCH_SIGNALING_PATHWAY","KEGG_JAK_STAT_SIGNALING_PATHWAY","KEGG_ABC_TRANSPORTERS"
"KEGG_ECM_RECEPTOR_INTERACTION",1,0.0414937353642947,0.246157110145045,0.223815413696285,0.203223859671046,0.0915124590851442,-0.00220034111452852,0.276304284485735,-0.0460031384939157,0.242169524520085,0.212779640809863,0.366196755941989,0.138397102523699,0.221918342559252,0.153856133146638,0.19973854601984,0.106380092691814,0.0447297500720689,-0.00647018480879808,0.127780962687624
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.0414937353642947,1,-0.125561909159087,0.0830882773017192,0.0516133130058689,-0.00855743435112834,0.0988733575107369,0.0108857408999078,0.0438837652658241,-0.0682459166914562,0.0580448420199858,-0.13642738481474,0.0595640776112666,-0.0259573259908758,0.0363462708453164,0.0922800137826278,-0.00498501641177712,0.0136272108472301,0.160035239827729,0.0365199891696091
"KEGG_BASE_EXCISION_REPAIR",0.246157110145045,-0.125561909159087,1,0.245823359449346,0.14772819759195,-0.00558319375211869,-0.0488782078099056,0.292414919120632,-0.0363595310678093,0.293012726983789,0.244427965232246,0.387383777238542,0.209025321382556,0.234601018053869,0.230245361333081,0.244268074206267,0.166586245149492,0.0713518572281232,-0.0243281445637317,0.111945975467122
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.223815413696285,0.0830882773017192,0.245823359449346,1,0.34143858925639,0.136283156641346,0.149977827955562,0.363488716385615,0.113438153852203,0.353381236773038,0.320049521987264,0.390158946299918,0.371329980531951,0.188803669960188,0.323330734654775,0.332710406830588,0.236191094560629,0.139225667909369,0.176386709090182,0.139541354184867
"HALLMARK_ANGIOGENESIS",0.203223859671046,0.0516133130058689,0.14772819759195,0.34143858925639,1,0.0977695660977463,0.114622196096788,0.262954171816351,0.055455914634854,0.285744882087469,0.278447162479621,0.261625948475617,0.329983699821039,0.132319509054672,0.309070752568767,0.279583427403562,0.118316878966685,0.101963149321645,0.0977010301481755,0.156356978730496
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.0915124590851442,-0.00855743435112834,-0.00558319375211869,0.136283156641346,0.0977695660977463,1,0.0284467047732624,-0.0058023219426229,-0.018544195325062,0.0775921095962899,0.0692983757518971,0.0863837741128185,0.0440747628708608,0.0256195507941504,0.105495993831763,0.0941508916372441,-0.0455607529240741,0.0606592212998479,-0.011814334503517,0.0595019649864222
"HALLMARK_INFLAMMATORY_RESPONSE",-0.00220034111452852,0.0988733575107369,-0.0488782078099056,0.149977827955562,0.114622196096788,0.0284467047732624,1,0.041821059599481,0.159762899972789,-0.0403846149344004,0.11837401078916,-0.112972079579062,0.104585732488888,-0.00860149842848361,0.0950513251801209,0.082478532405654,0.127870311745249,0.0232259753486289,0.263221039486322,0.103533864038889
"KEGG_HOMOLOGOUS_RECOMBINATION",0.276304284485735,0.0108857408999078,0.292414919120632,0.363488716385615,0.262954171816351,-0.0058023219426229,0.041821059599481,1,0.0376133300342924,0.365158320386318,0.351453688640411,0.39261715650647,0.250384306148645,0.377671737414224,0.263679455246717,0.247904013565673,0.256263391373776,0.111900148776964,0.0689439876722898,0.13627524344222
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",-0.0460031384939157,0.0438837652658241,-0.0363595310678093,0.113438153852203,0.055455914634854,-0.018544195325062,0.159762899972789,0.0376133300342924,1,-0.0130908670512967,0.078671613491755,-0.105682458489831,0.0994465029564441,0.000462924277973612,0.0557990423583626,0.0597926447975873,0.0549153823333288,0.0242677922812629,0.193495355772047,0.0157340840462458
"HALLMARK_HYPOXIA",0.242169524520085,-0.0682459166914562,0.293012726983789,0.353381236773038,0.285744882087469,0.0775921095962899,-0.0403846149344004,0.365158320386318,-0.0130908670512967,1,0.355043490129551,0.572044316001163,0.3727007542729,0.263282592281255,0.338391320102617,0.329319434179395,0.22079436745025,0.177013568628487,0.048009991670258,0.175862939728539
