"Pathway","Selection_Frequency","N_Selected"
"KEGG_ECM_RECEPTOR_INTERACTION",0.445,445
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.362,362
"KEGG_BASE_EXCISION_REPAIR",0.315,315
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.295,295
"HALLMARK_ANGIOGENESIS",0.26,260
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.248,248
"HALLMARK_INFLAMMATORY_RESPONSE",0.237,237
"KEGG_HOMOLOGOUS_RECOMBINATION",0.226,226
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.219,219
"HALLMARK_HYPOXIA",0.211,211
"KEGG_WNT_SIGNALING_PATHWAY",0.209,209
"HALLMARK_APOPTOSIS",0.209,209
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.203,203
"HALLMARK_E2F_TARGETS",0.196,196
"KEGG_MTOR_SIGNALING_PATHWAY",0.183,183
"KEGG_COLORECTAL_CANCER",0.172,172
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.171,171
"KEGG_NOTCH_SIGNALING_PATHWAY",0.17,170
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.169,169
"KEGG_ABC_TRANSPORTERS",0.167,167
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.159,159
"HALLMARK_TGF_BETA_SIGNALING",0.158,158
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.155,155
"KEGG_MISMATCH_REPAIR",0.147,147
"HALLMARK_P53_PATHWAY",0.147,147
"HALLMARK_MYC_TARGETS_V2",0.144,144
"KEGG_FOCAL_ADHESION",0.143,143
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.142,142
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.13,130
"KEGG_P53_SIGNALING_PATHWAY",0.127,127
"KEGG_MAPK_SIGNALING_PATHWAY",0.123,123
"KEGG_GLUTATHIONE_METABOLISM",0.111,111
"KEGG_CELL_CYCLE",0.109,109
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.107,107
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.097,97
"KEGG_PATHWAYS_IN_CANCER",0.09,90
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.081,81
"KEGG_APOPTOSIS",0.067,67
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.066,66
"HALLMARK_MYC_TARGETS_V1",0.066,66
"HALLMARK_G2M_CHECKPOINT",0.057,57
"HALLMARK_GLYCOLYSIS",0.05,50
"HALLMARK_DNA_REPAIR",0.044,44
"HALLMARK_MTORC1_SIGNALING",0.03,30
