"threshold","nb_treat_all","nb_treat_none","nb_model"
0.01,0.180085372553992,0,0.180085372553992
0.02,0.171718896763726,0,0.171718896763726
0.03,0.163179916317992,0,0.163438726653151
0.04,0.154463040446304,0,0.155334728033473
0.05,0.14556265139837,0,0.147985025324818
0.06,0.136472892370693,0,0.140746016202261
0.07,0.127187654654249,0,0.134746029603635
0.08,0.117700563943969,0,0.120247407676915
0.09,0.108004965745552,0,0.107821049243643
0.1,0.098093909809391,0,0.099023709902371
0.11,0.0879601335151145,0,0.0965163838089417
0.12,0.0775960441232408,0,0.0789273488018258
0.13,0.0669936998028182,0,0.0582407540999375
0.14,0.0561447893354091,0,0.0388245596964095
0.15,0.0450406103864139,0,0.0317499384691115
0.16,0.0336720462243475,0,0.0300856744371389
0.17,0.0220295407571709,0,0.0265161062660685
0.18,0.0101030717420145,0,0.0297989590774569
0.19,-0.00211787798956559,0,0.0270675138178625
0.2,-0.0146443514644352,0,0.0177824267782427
0.21,-0.0274879508500609,0,0.0208675387956146
0.22,-0.0406608732968566,0,0.0234953331187641
0.23,-0.0541759495734391,0,0.0207574851926316
0.24,-0.068046685752037,0,0.0319312926668135
0.25,-0.0822873082287308,0,0.0278940027894003
0.26,-0.096912812393984,0,0.0341513061178333
0.27,-0.111939015303491,0,0.0397202957528515
0.28,-0.127382612738261,0,0.0253370525337052
0.29,-0.143261241086688,0,0.0319995285520655
0.3,-0.159593544530783,0,0.0280932456664674
0.31,-0.176399248074707,0,0.0303802073858468
0.32,-0.193699237016983,0,0.024612355402412
0.33,-0.211515643539624,0,0.0233560232311247
0.34,-0.229871941169012,0,0.0139470013947001
0.35,-0.248793047956228,0,0.0128741551335694
0.36,-0.268305439330544,0,0.00758368200836819
0.37,-0.28843727170087,0,0.00471541475725576
0.38,-0.309218518018626,0,0.00620866513699555
0.39,-0.330681116674669,0,0.007888058165855
0.4,-0.352859135285914,0,0.00697350069735007
0.41,-0.375788951138217,0,0.00893553648677399
0.42,-0.399509450295773,0,0.00807964218727456
0.43,-0.424062247669383,0,0.0103501431402775
0.44,-0.449491930663479,0,0.0128511655708308
0.45,-0.475846329402815,0,0.0155952833777102
0.46,-0.503176816984348,0,0.0185960018596002
0.47,-0.531538643719902,0,0.0181574169100813
0.48,-0.560991309945285,0,0.0173801094303186
0.49,-0.59159898268931,0,0.012880465993929
0.5,-0.623430962343096,0,0.0125523012552301
