"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C0555198","Malignant Glioma","135/2069","724/21671",0.18646408839779,1.95305135798381,8.47391649153938,1.55501971056862e-14,1.71254320724922e-10,1.35614087390116e-10,"VIM/QKI/HAVCR2/MMP11/PECAM1/LAYN/ICAM1/TCF4/IL2RB/AKT3/DKK3/FGFR1/SOX7/SLIT2/LATS2/CCL5/GJA1/CD2/CTSB/WWTR1/EFS/CAV2/TNC/EFEMP1/TIMP2/MYLK/DCN/CAV1/RECK/ALDH1A3/ANGPTL1/DES/SPARC/LTBP1/CCL2/PDPN/SERPINF1/EMP3/MMP2/LGALS1/THBS1/CDH11/CTSK/STC1/ERCC1/TK1/MTHFR/ABCC3/AKT2/ANGPT2/ANKRD49/ATG7/ATP6V0A2/ATRX/BCAN/BCL2L11/BEX2/BRMS1L/C1QL1/CASR/CDC42/CFLAR/CLCN3/CREB1/CTSZ/CYP2B6/DKK1/EGFR/EGR1/EPOR/ERBB2/FLT1/GIPC1/GLS/GOPC/HBEGF/HLA-B/HLA-C/HMGA1/HOXA11-AS/HSPA5/IKBKE/IL24/ING1/ITGB3/KDM6B/KLK6/LAMP1/LGALS9/LHX9/LPL/LRIG1/MAPK14/MAPK8/MCL1/MCPH1/MEF2D/MSLN/MVD/MYB/MYCN/NFE2L2/NPAS3/NTRK3/NUMB/PART1/PCSK6/PCSK9/PEA15/PEG10/PIK3CD/PLK1/PLTP/PPP1R1A/PRKAR1A/PSD3/PTEN/PTGS2/RAC1/RBPJ/SATB1/SOX11/STK11/SUZ12/TCF3/TCF7L2/TEAD2/TERF2IP/TFRC/TGFA/TRAF4/XIAP/YAP1/ZFX/CD27",135
"C4086152","Childhood Astrocytoma","113/2069","615/21671",0.183739837398374,1.92451716590631,7.55655956043143,6.15754447815464e-12,3.39065186689585e-08,2.68501347376375e-08,"VIM/QKI/RGS2/PTGER3/FLI1/ICAM1/SMARCA1/TCF4/ADARB1/RAB23/AKT3/FGFR1/LATS2/EDNRA/SERPINE1/CCL5/GJA1/ACKR3/AKAP12/CYP1B1/GEM/AXL/TNC/TIMP2/CAV1/VCAM1/GAP43/SPARC/CCL2/MMP2/A2M/CDH11/AKR1B1/CCDC88A/ABCC3/ACTN1/ADCY1/ANGPT2/APRT/ARHGEF28/ATP2A2/ATRX/CASR/CCNG2/CD47/CDC42/CHPT1/CREB1/CUL3/E2F4/EGFR/EGR1/ELK1/EZH1/FASTK/FCN2/FOXP3/GATA4/GRM2/GSN/HAMP/HES1/HFE/HLA-G/HSPA5/ID4/ILK/ING1/ITIH4/JUNB/KLK6/LAMP1/LPP/LSM4/MAPK14/MAPK8/MCL1/MCPH1/MIB1/MYCN/NAP1L1/NEFL/NFATC3/NFE2L2/NFKB1/NPAS3/NUFIP2/PEA15/PIK3CD/PLA2G4A/PPP1R1A/PRKCA/PTEN/PTGS2/PTPN6/RAC1/RARB/SATB1/SMARCA4/SNCA/SOX4/SPAG9/STAT5B/TACR1/TBXA2R/TCF7L2/TFRC/TGFA/TNKS/TOP3A/TRAF3/WT1-AS/YAP1",113
"C1535926","Neurodevelopmental Disorders","101/2069","535/21671",0.188785046728972,1.97736140534729,7.43669867435744,1.65522455289551e-11,6.07632933367941e-08,4.81176681429448e-08,"ICAM1/SMARCA1/TCF4/NLGN4X/SETBP1/AP1S2/CD38/EDNRA/ACKR3/GNB5/KCNMA1/CPQ/ITPR1/ANK2/ZEB2/MEF2C/GREM1/ELN/MTRR/CDH2/ATP7A/MTR/CTLA4/ACTL6B/ADAM10/ADCY5/ADRA1A/AFF3/ALDH1L1/ALG13/ATG7/CC2D1A/CHRNA4/CUL3/DDX3X/DDX6/DLGAP4/DMD/DSCAM/DYRK1A/EBF3/EHMT1/EPG5/FEM1B/FZR1/GIGYF2/GNAO1/GRM2/HES1/HIVEP3/INTS1/KAT6A/KDM5B/KDM6B/KIDINS220/KIF21A/KIRREL3/KMT2A/LAMB1/LIMK1/LPAR2/MCPH1/MECP2/MED13/NEDD4L/NFIC/NPAS3/NRXN1/NRXN3/NUFIP2/PAK1/PARD3B/PIK3CD/PLK1/PNKP/POU3F3/PPP1R9A/PPP2R5D/PTEN/RBFOX3/RHOBTB2/SCN8A/SMARCA4/SNCA/SOX11/SOX4/SOX5/SRY/TANC1/TAOK2/TCF7L2/TNRC6B/TRAK1/UBE3A/VAMP2/WDFY3/YAP1/ZBTB20/ZFX/ZMIZ1/ZNF292",101
"C0023465","Acute monocytic leukemia","113/2069","633/21671",0.178515007898894,1.86979155929286,7.21563118759163,3.98421055447776e-11,1.09695277091159e-07,8.68662748522322e-08,"VIM/HAVCR2/RGS2/GAS7/DERL3/CD74/GLI3/MLLT11/RUNX1T1/FGFR1/TIAM1/IL6ST/LATS2/CD38/GLIS2/HIP1/CTSB/EFS/GEM/MYH11/MITF/VCAM1/TWIST2/MEIS1/SPARC/HOXB2/CCL2/FLNA/MMP2/VEGFC/NFATC1/ELN/LILRB2/AKR1B1/CTSK/RORA/LCP2/ABCC2/CDH2/MTHFR/ABCC3/AKAP13/ATG7/BCL2L11/BCLAF1/BRIP1/CADM1/CASR/CD47/CD6/CEBPA/CIRBP/CLEC12A/CSNK1A1/CTDSPL/CXCL9/CYP3A4/DICER1/DKK1/DNMT3A/EBF3/EGFR/EIF4B/FANCB/FANCC/FANCM/FLT1/FOXP3/HDAC4/IKBKE/IL3RA/INPP4B/INPP5D/IRF3/KAT6A/KDM5B/KDM6B/KMT2A/LAMP2/LRP1/MAPK8/MCL1/MYB/NCAM1/NCOA2/NFE2L2/NSD1/PARP9/PBK/PIGN/PIK3CD/PLA2G4A/PML/PRDX2/PRKAA2/PRKAR1A/PSMB9/RREB1/SATB1/SLX4/SMAD4/SMAD5/SOCS3/SOX6/STAT5B/TFRC/UBE2I/WNK1/WT1-AS/XIAP/ZC3H15/ZMYM2/LILRB4",113
"C0042373","Vascular Diseases","119/2069","688/21671",0.17296511627907,1.81166120584037,7.02901914628661,9.53886132152219e-11,2.10102959467848e-07,1.66377823260655e-07,"VIM/AOC3/COL4A1/IGFBP5/PDE5A/CLU/VWF/FLI1/ICAM1/AGTR1/CYBB/POSTN/ATXN1/JAK3/TGFBR1/DKK3/IL6ST/EDNRA/SERPINE1/ACKR3/PKD2/AXL/TNC/KCNMA1/ACTA2/MYLK/DCN/CAV1/GBP1/NEXN/VCAM1/NR3C1/SYNPO2/MYL9/ANTXR1/F2R/HTRA1/MYOCD/CCL2/FLNA/PDPN/MGP/MMP2/FBXO32/CFH/FSTL1/PDGFC/THBS1/LOXL1/EFEMP2/ELN/PRKCB/AKR1B1/CDH5/CCDC88A/THBD/MTRR/MTR/CTLA4/MTHFR/ABI2/ADRA1A/ANGPT2/BACE1/BHMT/CADM1/CASR/CD47/CDC42/CHDH/CPB2/DENR/DKK2/DMD/DNM2/DNMT3A/EGR1/EHMT1/ESM1/F5/FCN2/FGB/FOSL2/HDAC4/HMGA1/IL24/IRF3/JUNB/KALRN/KDM6B/KLK3/LAD1/LAMP2/LIPG/LMNA/LPAR2/LPL/LRP6/NFE2L2/PAWR/PCSK9/PDE4A/PDE4D/PIK3CD/PRDX2/PRKAA2/PRKAR1A/PRKCA/PROC/PTEN/PTGS2/RAC1/SMAD4/SMPD1/SRF/STAT1/STAT5B/TGFA/TRPC1",119
"C0220611","Childhood Rhabdomyosarcoma","96/2069","517/21671",0.18568665377176,1.94490839723916,7.06477343312319,1.35698292290068e-10,2.49074215498419e-07,1.97238658179511e-07,"VIM/EPHA3/ST8SIA4/PECAM1/ICAM1/GLI3/SMARCA1/TGFBR1/TRAC/FGFR1/IL6ST/SERPINE1/CCL5/ACKR3/RPS6KA2/PTPRC/EFS/CAV2/TNC/CAV1/SERPING1/TWIST2/MEF2C/F2R/DES/CCL2/SERPINF1/MMP2/CFH/PDGFC/SLFN11/IGFBP6/RRM2/ABCC3/ARRB1/ATP2B1/CD47/CDC42/CEP164/CETN1/CHPT1/CIITA/COIL/CYP2B6/DICER1/DMD/DYRK1B/EGFR/EGR1/EIF3K/EML4/EPOR/ERBB2/ERBB3/ETV7/EWSR1/FLT1/HDAC4/HES1/HES6/IL24/ILK/ITGA2/KIDINS220/LMO4/MAPK14/MAPK8/MCL1/MEF2D/MIB1/MYCN/NCOA2/NFE2L2/PAK1/PDLIM5/PIK3CD/PLIN5/PLK1/PNPLA2/PPP1R12A/PTEN/PTGS2/RBPJ/SMAD4/SMARCA4/SOX11/SPRY1/SPRY4/SUFU/SUZ12/TANC1/TBX3/TFRC/WNK1/XIAP/YAP1",96
"C0279550","Adult Rhabdomyosarcoma","94/2069","509/21671",0.18467583497053,1.93432093748012,6.93004613617634,2.85806082438809e-10,3.97295639828621e-07,3.14613292040519e-07,"VIM/EPHA3/ST8SIA4/ICAM1/GLI3/SMARCA1/TGFBR1/TRAC/FGFR1/IL6ST/SERPINE1/CCL5/ACKR3/RPS6KA2/PTPRC/EFS/CAV2/TNC/CAV1/SERPING1/TWIST2/MEF2C/F2R/DES/CCL2/SERPINF1/MMP2/CFH/PDGFC/SLFN11/IGFBP6/RRM2/ARRB1/ATP2B1/CD47/CDC42/CEP164/CETN1/CHPT1/CIITA/COIL/CYP2B6/DICER1/DMD/DYRK1B/EGFR/EGR1/EIF3K/EML4/EPOR/ERBB2/ERBB3/ETV7/EWSR1/FLT1/HDAC4/HES1/HES6/IL24/ILK/ITGA2/KIDINS220/LMO4/MAPK14/MAPK8/MCL1/MEF2D/MIB1/MYCN/NCOA2/NFE2L2/PAK1/PDLIM5/PIK3CD/PLIN5/PLK1/PNPLA2/PPP1R12A/PTEN/PTGS2/RBPJ/SMAD4/SMARCA4/SOX11/SPRY1/SPRY4/SUFU/SUZ12/TANC1/TBX3/TFRC/WNK1/XIAP/YAP1",94
"C0151650","Renal fibrosis","102/2069","570/21671",0.178947368421053,1.87432016483936,6.87251841934206,3.13902490361078e-10,3.97295639828621e-07,3.14613292040519e-07,"VIM/RGS2/CYGB/IL18BP/CLU/ICAM1/GLI3/AGTR1/CYBB/SMARCA1/POSTN/TGFBR1/DKK3/NREP/IL6ST/SLIT2/EDNRA/SERPINE1/GJA1/PTPRC/GLIS2/PKD2/WWTR1/EFS/TNC/FERMT2/DCN/C1R/ANGPTL2/TWIST2/ZEB2/DES/MYOCD/CCL2/PLEKHO1/GLIPR2/SERPINF1/MMP2/LGALS1/MSN/THBS1/C3/ELN/RTN1/CDH1/ACLY/ADAM10/AKT2/ANGPT2/APRT/ARRB1/CASR/CUL3/DENR/DNMT3A/DOT1L/EGFR/EGR1/EHMT1/ERBB2/FOXP3/HDAC4/HSPD1/ICAM3/ILK/ITGA2/JUNB/LINC00667/MAPK14/MAPK8/NFE2L2/NFKB1/PDE4A/PIK3CD/PLA2G4A/PLD4/PRKAA2/PRKCA/PTEN/PTGES/PTGS2/PTPN6/RAC1/RGCC/RNF111/SH2D1A/SKIL/SMAD4/SMURF2/SOCS7/SRF/STAT1/STX2/TCF3/TERF2IP/TFAM/TFRC/TGFB3/TRIM69/TRPC1/XPR1/YAP1",102
"C0007787","Transient Ischemic Attack","71/2069","344/21671",0.206395348837209,2.1618142120112,7.05684421382947,3.24676360524615e-10,3.97295639828621e-07,3.14613292040519e-07,"HAVCR2/COL3A1/CD74/VWF/ICAM1/PAPPA/CYBB/ADARB1/TGFBR1/FGFR1/SERPINE1/GJA1/CTSB/PRKG1/MFAP5/ACTA2/MYLK/CAV1/ITPR1/MYH11/ANK2/HTRA1/LTBP1/CCL2/SERPINF1/MMP2/THBS1/ADAMTS1/C3/ELN/THBD/MTHFR/BACE1/CADM1/CAMK2A/CBX5/CEBPA/CREB1/ELK1/F5/GATA3/GATA4/HNRNPAB/HSPA5/ILK/ITGB3/LMNA/MBD1/MECP2/MYB/NEFL/NFE2L2/NFKB1/NRXN1/PAWR/PBK/PCSK9/PDE4D/PIK3CD/PPP1R9A/PROC/PTEN/PTGS2/RRAD/SMAD4/SMPD3/TCF7L2/TGFB3/TIAL1/WNK1/WNK2",71
"C0423798","Increased tendency to bruise","38/2069","133/21671",0.285714285714286,2.99261202789477,7.48868202017623,3.88464292105009e-10,4.07784135136924e-07,3.22918996172888e-07,"COL3A1/VWF/TGFBR1/PRKG1/C1S/MFAP5/ACTA2/MYLK/C1R/MYH11/FLNA/AEBP1/COL1A2/WIPF1/ELN/ADAMTS2/ATP7B/ATP7A/ANKRD26/ATRX/CLCN7/F5/FANCC/GGCX/GSN/IRF2BP2/ITGA2/ITGB3/LYST/NFIX/PML/PRKACA/PRKAR1A/PRKCD/SIK3/STAT5B/TBXA2R/TGFB3",38
