"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C0042373","Vascular Diseases","56/460","688/21671",0.0813953488372093,3.83460566228514,11.1270714975488,5.28450395665439e-18,3.90102082080227e-14,2.77519897260513e-14,"VIM/AOC3/COL4A1/IGFBP5/PDE5A/CLU/VWF/FLI1/ICAM1/AGTR1/CYBB/POSTN/ATXN1/JAK3/TGFBR1/DKK3/IL6ST/EDNRA/SERPINE1/ACKR3/PKD2/AXL/TNC/KCNMA1/ACTA2/MYLK/DCN/CAV1/GBP1/NEXN/VCAM1/NR3C1/SYNPO2/MYL9/ANTXR1/F2R/HTRA1/MYOCD/CCL2/FLNA/PDPN/MGP/MMP2/FBXO32/CFH/FSTL1/PDGFC/THBS1/LOXL1/EFEMP2/ELN/PRKCB/AKR1B1/CDH5/CCDC88A/THBD",56
"C0017658","Glomerulonephritis","37/460","391/21671",0.0946291560102302,4.45806182586456,10.1616239750885,3.15369359303573e-14,1.16402830518949e-10,8.28093543981856e-11,"VIM/RGS2/COL3A1/MMP11/PDE5A/CD74/FLI1/LAYN/ICAM1/AGTR1/CYBB/IL2RB/CD38/SERPINE1/CCL5/AXL/DCN/FHL1/SERPING1/MASP1/TAGLN/VCAM1/CNN1/MYL9/DES/LTBP1/CCL2/TGFB1I1/MMP2/CFH/GREM1/MSN/PDGFC/HLA-DQB1/C3/AKR1B1/THBD",37
"C0003493","Aortic Diseases","14/460","43/21671",0.325581395348837,15.3384226491405,13.8597445123742,1.38447336356363e-13,2.89922223976333e-10,2.062516185056e-10,"COL3A1/AOC3/TGFBR1/PRKG1/TNC/ACTA2/MYLK/MYH11/VCAM1/PALMD/MMP2/MCAM/ADAMTS1/ELN",14
"C0151650","Renal fibrosis","44/460","570/21671",0.0771929824561404,3.63662852784134,9.39426172210252,1.57096843119118e-13,2.89922223976333e-10,2.062516185056e-10,"VIM/RGS2/CYGB/IL18BP/CLU/ICAM1/GLI3/AGTR1/CYBB/SMARCA1/POSTN/TGFBR1/DKK3/NREP/IL6ST/SLIT2/EDNRA/SERPINE1/GJA1/PTPRC/GLIS2/PKD2/WWTR1/EFS/TNC/FERMT2/DCN/C1R/ANGPTL2/TWIST2/ZEB2/DES/MYOCD/CCL2/PLEKHO1/GLIPR2/SERPINF1/MMP2/LGALS1/MSN/THBS1/C3/ELN/RTN1",44
"C1449563","Cardiomyopathy, Familial Idiopathic","52/460","773/21671",0.0672703751617076,3.16916586984645,9.04394570864392,2.02705134992329e-13,2.99273861302675e-10,2.12904403889838e-10,"VIM/PDLIM3/JPH2/CLU/PECAM1/AGTR1/RBMS3/CYBB/POSTN/TCF4/SGCD/FGFR1/PRKD1/SOX7/HSPB7/SYNE1/EDNRA/SERPINE1/GJA1/ACKR3/PTPRC/CTSB/PRKG1/LDB3/AXL/ACTA2/TIMP2/MYLK/CFL2/PLN/HSPB6/CNN1/CRYAB/HOPX/MEF2C/KCNJ8/CAP2/DES/MYOCD/CCL2/PDPN/SERPINF1/MMP2/FBXO32/HLA-DQB1/THBS1/EFEMP2/ELN/LUM/CTSC/CDH5/PCDH17",52
"C0162871","Aortic Aneurysm, Abdominal","44/460","586/21671",0.0750853242320819,3.53733491615967,9.16996336599162,4.08873864202406e-13,5.03051144257026e-10,3.57872229562421e-10,"VIM/COL3A1/ADAMTS5/PECAM1/VWF/ICAM1/AGTR1/CYBB/POSTN/HLA-DOA/TGFBR1/CD8A/SERPINE1/PTPRC/IGKC/CTSB/PRKG1/MFAP5/ACTA2/TIMP2/MYLK/DCN/CAV1/RECK/ANGPTL2/MYH11/TAGLN/VCAM1/GNG2/CCL2/FLNA/SERPINF1/SPARCL1/MMP2/MCAM/AEBP1/COL1A2/THBS1/ADAMTS1/C3/ELN/CTSC/CTSK/THBD",44
"C0013264","Muscular Dystrophy, Duchenne","34/460","375/21671",0.0906666666666667,4.27138550724638,9.41079124264504,1.21911544792815e-12,1.28564431951509e-09,9.14611574393014e-10,"VIM/PDE5A/ADAMTS5/ST8SIA4/CYBB/POSTN/SSPN/SGCD/PMP22/SYNE1/CD38/SERPINE1/GJA1/CTSB/TNC/TIMP2/TUBB6/DCN/PLN/FHL1/ITPR1/ACTG2/VCAM1/NR3C1/SYNM/CCL2/THBS4/MMP2/LGALS1/THBS1/EFEMP2/CTSC/PRKCB/ITGA4",34
"C0242383","Age related macular degeneration","47/460","685/21671",0.0686131386861314,3.23242462710251,8.74349479447261,1.58747821446212e-12,1.46484552239492e-09,1.04209589630941e-09,"VIM/AOC3/FILIP1L/PDE5A/CLU/VWF/ICAM1/AGTR1/POSTN/HMCN1/SGCD/TGFBR1/FGFR1/IL6ST/IGFBP7/SERPINE1/GEM/TNC/EFEMP1/TIMP2/CAV1/FHL1/SERPING1/ANGPTL2/MASP1/MFGE8/RGS10/ZEB2/CRYAB/HTRA1/CCL2/SERPINF1/MMP2/VEGFC/CFH/LGALS1/HLA-DQB1/THBS1/C3/LOXL1/FNDC1/ELN/COL8A1/STC1/RORA/MYO5A/THBD",47
"C0856169","Endothelial dysfunction","48/460","716/21671",0.0670391061452514,3.1582705853777,8.64861112424451,2.08331652693538e-12,1.63175641739116e-09,1.16083685299441e-09,"VIM/AOC3/PDE5A/ADAMTS5/CLU/PECAM1/VWF/LIPA/ICAM1/AGTR1/CYBB/STON1/TGFBR1/CD8A/CD38/EDNRA/SERPINE1/CCL5/ARHGAP9/ACKR3/AKAP12/PRKG1/GEM/CAV1/SERPING1/ANGPTL2/MASP1/CLIC4/MFGE8/VCAM1/ZEB2/SYNM/CCL2/FLNA/MGP/SERPINF1/MMP2/CFH/MCAM/TFPI/MSN/THBS1/ELN/LUM/PRKCB/AKR1B1/CDH5/THBD",48
"C0339573","Glaucoma, Primary Open Angle","34/460","383/21671",0.0887728459530026,4.18216596662504,9.25300043032088,2.21045301732751e-12,1.63175641739116e-09,1.16083685299441e-09,"OGN/PDE5A/GAS7/CLU/EBF1/EDNRA/SERPINE1/GJA1/IGKC/CYP1B1/CACNA2D1/AXL/CAV2/DCLK1/EFEMP1/TIMP2/DCN/CAV1/MFGE8/COL8A2/ACTG2/NR3C1/CRYAB/SPARC/CCL2/MMP2/VEGFC/HLA-DQB1/THBS1/C3/LOXL1/ELN/COL8A1/CDH5",34
