"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C0042373","Vascular Diseases","55/459","688/21671",0.0799418604651163,3.77433563864822,10.878384844827,2.16733524744231e-17,1.59060733809791e-13,1.14412487009718e-13,"AOC3/COL4A1/IGFBP5/PDE5A/CLU/VWF/FLI1/ICAM1/AGTR1/CYBB/POSTN/ATXN1/JAK3/TGFBR1/DKK3/IL6ST/EDNRA/SERPINE1/ACKR3/PKD2/AXL/TNC/KCNMA1/ACTA2/MYLK/DCN/CAV1/GBP1/NEXN/VCAM1/NR3C1/SYNPO2/MYL9/ANTXR1/F2R/HTRA1/MYOCD/CCL2/FLNA/PDPN/MGP/MMP2/FBXO32/CFH/FSTL1/PDGFC/THBS1/LOXL1/EFEMP2/ELN/PRKCB/AKR1B1/CDH5/CCDC88A/THBD",55
"C0003493","Aortic Diseases","14/459","43/21671",0.325581395348837,15.3718396919491,13.876610580358,1.34404543288556e-13,3.73338039938727e-10,2.68542289612484e-10,"COL3A1/AOC3/TGFBR1/PRKG1/TNC/ACTA2/MYLK/MYH11/VCAM1/PALMD/MMP2/MCAM/ADAMTS1/ELN",14
"C0017658","Glomerulonephritis","36/459","391/21671",0.0920716112531969,4.34702371997392,9.82440700856646,1.5261127126532e-13,3.73338039938727e-10,2.68542289612484e-10,"RGS2/COL3A1/MMP11/PDE5A/CD74/FLI1/LAYN/ICAM1/AGTR1/CYBB/IL2RB/CD38/SERPINE1/CCL5/AXL/DCN/FHL1/SERPING1/MASP1/TAGLN/VCAM1/CNN1/MYL9/DES/LTBP1/CCL2/TGFB1I1/MMP2/CFH/GREM1/MSN/PDGFC/HLA-DQB1/C3/AKR1B1/THBD",36
"C0151650","Renal fibrosis","43/459","570/21671",0.0754385964912281,3.56172075067844,9.11722524781131,6.0932966391795e-13,9.95569641237638e-10,7.16113876235362e-10,"RGS2/CYGB/IL18BP/CLU/ICAM1/GLI3/AGTR1/CYBB/SMARCA1/POSTN/TGFBR1/DKK3/NREP/IL6ST/SLIT2/EDNRA/SERPINE1/GJA1/PTPRC/GLIS2/PKD2/WWTR1/EFS/TNC/FERMT2/DCN/C1R/ANGPTL2/TWIST2/ZEB2/DES/MYOCD/CCL2/PLEKHO1/GLIPR2/SERPINF1/MMP2/LGALS1/MSN/THBS1/C3/ELN/RTN1",43
"C1449563","Cardiomyopathy, Familial Idiopathic","51/459","773/21671",0.0659767141009056,3.11499209429352,8.8082802117038,6.78273362336584e-13,9.95569641237638e-10,7.16113876235362e-10,"PDLIM3/JPH2/CLU/PECAM1/AGTR1/RBMS3/CYBB/POSTN/TCF4/SGCD/FGFR1/PRKD1/SOX7/HSPB7/SYNE1/EDNRA/SERPINE1/GJA1/ACKR3/PTPRC/CTSB/PRKG1/LDB3/AXL/ACTA2/TIMP2/MYLK/CFL2/PLN/HSPB6/CNN1/CRYAB/HOPX/MEF2C/KCNJ8/CAP2/DES/MYOCD/CCL2/PDPN/SERPINF1/MMP2/FBXO32/HLA-DQB1/THBS1/EFEMP2/ELN/LUM/CTSC/CDH5/PCDH17",51
"C0162871","Aortic Aneurysm, Abdominal","43/459","586/21671",0.0733788395904437,3.46447240253705,8.8967411251449,1.53959417463204e-12,1.88318027460409e-09,1.35457276943503e-09,"COL3A1/ADAMTS5/PECAM1/VWF/ICAM1/AGTR1/CYBB/POSTN/HLA-DOA/TGFBR1/CD8A/SERPINE1/PTPRC/IGKC/CTSB/PRKG1/MFAP5/ACTA2/TIMP2/MYLK/DCN/CAV1/RECK/ANGPTL2/MYH11/TAGLN/VCAM1/GNG2/CCL2/FLNA/SERPINF1/SPARCL1/MMP2/MCAM/AEBP1/COL1A2/THBS1/ADAMTS1/C3/ELN/CTSC/CTSK/THBD",43
"C0339573","Glaucoma, Primary Open Angle","34/459","383/21671",0.0887728459530026,4.19127743931922,9.26918408759428,2.08006651266702e-12,2.1808011623519e-09,1.56865166331205e-09,"OGN/PDE5A/GAS7/CLU/EBF1/EDNRA/SERPINE1/GJA1/IGKC/CYP1B1/CACNA2D1/AXL/CAV2/DCLK1/EFEMP1/TIMP2/DCN/CAV1/MFGE8/COL8A2/ACTG2/NR3C1/CRYAB/SPARC/CCL2/MMP2/VEGFC/HLA-DQB1/THBS1/C3/LOXL1/ELN/COL8A1/CDH5",34
"C0242383","Age related macular degeneration","46/459","685/21671",0.0671532846715329,3.1705421179015,8.49168074813559,5.42814397571939e-12,4.59341083227947e-09,3.3040433335793e-09,"AOC3/FILIP1L/PDE5A/CLU/VWF/ICAM1/AGTR1/POSTN/HMCN1/SGCD/TGFBR1/FGFR1/IL6ST/IGFBP7/SERPINE1/GEM/TNC/EFEMP1/TIMP2/CAV1/FHL1/SERPING1/ANGPTL2/MASP1/MFGE8/RGS10/ZEB2/CRYAB/HTRA1/CCL2/SERPINF1/MMP2/VEGFC/CFH/LGALS1/HLA-DQB1/THBS1/C3/LOXL1/FNDC1/ELN/COL8A1/STC1/RORA/MYO5A/THBD",46
"C0013264","Muscular Dystrophy, Duchenne","33/459","375/21671",0.088,4.15478867102397,9.06529364852371,5.63301505525484e-12,4.59341083227947e-09,3.3040433335793e-09,"PDE5A/ADAMTS5/ST8SIA4/CYBB/POSTN/SSPN/SGCD/PMP22/SYNE1/CD38/SERPINE1/GJA1/CTSB/TNC/TIMP2/TUBB6/DCN/PLN/FHL1/ITPR1/ACTG2/VCAM1/NR3C1/SYNM/CCL2/THBS4/MMP2/LGALS1/THBS1/EFEMP2/CTSC/PRKCB/ITGA4",33
"C0856169","Endothelial dysfunction","47/459","716/21671",0.0656424581005587,3.09921069607235,8.40260016607762,6.94948163227375e-12,5.1002245699257e-09,3.6685947774582e-09,"AOC3/PDE5A/ADAMTS5/CLU/PECAM1/VWF/LIPA/ICAM1/AGTR1/CYBB/STON1/TGFBR1/CD8A/CD38/EDNRA/SERPINE1/CCL5/ARHGAP9/ACKR3/AKAP12/PRKG1/GEM/CAV1/SERPING1/ANGPTL2/MASP1/CLIC4/MFGE8/VCAM1/ZEB2/SYNM/CCL2/FLNA/MGP/SERPINF1/MMP2/CFH/MCAM/TFPI/MSN/THBS1/ELN/LUM/PRKCB/AKR1B1/CDH5/THBD",47
