"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C0013221","Drug toxicity","8/19","86/21671",0.0930232558139535,106.100367197062,28.9290837926766,3.21310033843115e-15,3.88172139378294e-12,1.53574878305763e-12,"ABCC2/MTRR/DHFR/MTR/SLC19A1/MTHFR/TYMS/CES2",8
"C0041755","Adverse reaction to drug","8/19","87/21671",0.0919540229885057,104.880822746521,28.7598282189526,3.53687598522364e-15,3.88172139378294e-12,1.53574878305763e-12,"ABCC2/MTRR/DHFR/MTR/SLC19A1/MTHFR/TYMS/CES2",8
"C4721579","Secondary malignant neoplasm of colon and/or rectum","10/19","397/21671",0.0251889168765743,28.7299482964338,16.518742476502,3.03375545391035e-13,2.2196977404444e-10,8.78192368237206e-11,"ABCC2/ERCC1/TK1/CTLA4/SLC19A1/UMPS/MTHFR/CDH1/TYMS/CES2",10
"C0023530","Leukopenia","10/19","440/21671",0.0227272727272727,25.9222488038278,15.6453609597402,8.43952222497528e-13,4.63118782095518e-10,1.83226469358016e-10,"ABCC2/ERCC1/DHFR/MTR/CTLA4/SLC19A1/UMPS/MTHFR/TYMS/ABCC3",10
"C1302401","Adenoma of large intestine","10/19","452/21671",0.0221238938053097,25.2340475081509,15.4237494898335,1.1024748267547e-12,4.83986448945313e-10,1.91482469910027e-10,"ABCC2/MTRR/CDH2/ERCC1/MTR/CTLA4/SLC19A1/MTHFR/CDH1/TYMS",10
"C1853238","Conotruncal defect","6/19","51/21671",0.117647058823529,134.185758513932,28.207998937309,3.32109406301413e-12,1.214966911386e-09,4.80684667015203e-10,"MTRR/DHFR/MTR/SLC19A1/MTHFR/TYMS",6
"C0002888","Anemia, Megaloblastic","5/19","26/21671",0.192307692307692,219.342105263158,32.9991398145367,1.89964419970611e-11,5.95674145479273e-09,2.35670145076322e-09,"MTRR/DHFR/MTR/UMPS/MTHFR",5
"C0016412","Folic Acid Deficiency","6/19","70/21671",0.0857142857142857,97.7639097744361,24.0205388867875,2.39433122579979e-11,6.56944630078818e-09,2.59910955432214e-09,"MTRR/DHFR/MTR/SLC19A1/MTHFR/TYMS",6
"C0080178","Spina Bifida","7/19","179/21671",0.0391061452513966,44.6036459864746,17.3527436664899,1.08061489357932e-10,2.63549965711845e-08,1.0426985815239e-08,"ABCC2/MTRR/DHFR/MTR/SLC19A1/MTHFR/TYMS",7
"C0278987","Metastatic non-small cell lung cancer","6/19","106/21671",0.0566037735849057,64.5610724925521,19.432409998814,3.05788096061513e-10,6.7120487085502e-08,2.65552820263945e-08,"ABCC2/ERCC1/CTLA4/MTHFR/CDH1/TYMS",6
"C1443924","Severe diarrhea","5/19","47/21671",0.106382978723404,121.338185890258,24.4647971819616,4.37996325350709e-10,8.74001758313461e-08,3.45786572645297e-08,"ABCC2/ERCC1/CTLA4/MTHFR/CES2",5
"C0158646","Cleft palate with cleft lip","6/19","119/21671",0.0504201680672269,57.5081822202565,18.3104187024717,6.1786719578455e-10,1.07735420008573e-07,4.26240122321412e-08,"MTRR/CDH2/MTR/SLC19A1/MTHFR/CDH1",6
"C0027947","Neutropenia","8/19","389/21671",0.0205655526992288,23.4566364497362,13.2394680662382,6.38068546747811e-10,1.07735420008573e-07,4.26240122321412e-08,"ABCC2/ERCC1/DHFR/MTR/CTLA4/UMPS/MTHFR/TYMS",8
"C0685938","Malignant neoplasm of gastrointestinal tract","8/19","423/21671",0.0189125295508274,21.5712330471569,12.6569401361788,1.23530778904815e-09,1.9367861406862e-07,7.66262350349416e-08,"ABCC2/ERCC1/TK1/UMPS/MTHFR/AXIN2/CDH1/TYMS",8
"C1837218","Cleft palate, isolated","7/19","295/21671",0.023728813559322,27.064585191793,13.3522929494283,3.53408275005804e-09,5.17154109091827e-07,2.04604790792834e-07,"MTR/CTLA4/SLC19A1/MTHFR/AXIN2/CDH1/TYMS",7
"C0027794","Neural Tube Defects","7/19","304/21671",0.0230263157894737,26.2633310249307,13.1405298279294,4.35164048484241e-09,5.96990679014318e-07,2.36191013157565e-07,"MTRR/DHFR/MTR/SLC19A1/MTHFR/CDH1/TYMS",7
"C0030297","Pancreatic Neoplasm","9/19","764/21671",0.0117801047120419,13.4361394323505,10.3667744394041,5.40069253411994e-09,6.97324712493722e-07,2.7588677031882e-07,"ABCC2/MTRR/ERCC1/MTR/UMPS/MTHFR/CDH1/TYMS/ABCC3",9
"C1257931","Mammary Neoplasms, Human","8/19","527/21671",0.015180265654649,17.3142914211525,11.2314853582892,6.92683735340834e-09,8.44689332818406e-07,3.34189521436367e-07,"CDH2/ATP7B/DHFR/MTR/UMPS/MTHFR/CDH1/TYMS",8
"C1336076","Sporadic Breast Carcinoma","6/19","184/21671",0.0326086956521739,37.1927917620137,14.6049592845853,8.54631437143185e-09,9.87324212910153e-07,3.90621016976802e-07,"ERCC1/CTLA4/SLC19A1/MTHFR/CDH1/TYMS",6
"C4704874","Mammary Carcinoma, Human","8/19","545/21671",0.0146788990825688,16.7424432641236,11.0260256161046,9.00314897955495e-09,9.88095600506155e-07,3.90926205691202e-07,"CDH2/ATP7B/DHFR/MTR/UMPS/MTHFR/CDH1/TYMS",8
"C0034885","Rectal Neoplasms","5/19","93/21671",0.0537634408602151,61.3214487832484,17.2689085869568,1.4476004492982e-08,1.51308713629026e-06,5.98631764747375e-07,"MTRR/ERCC1/MTHFR/CDH1/TYMS",5
"C0007138","Carcinoma, Transitional Cell","8/19","623/21671",0.0128410914927769,14.646278617893,10.2378812257961,2.54877086739583e-08,2.54297820633356e-06,1.00609376344572e-06,"ATP7A/ERCC1/MTR/CTLA4/MTHFR/RRM2/AXIN2/CDH1",8
"C1866558","Neural tube defect, folate-sensitive","3/19","8/21671",0.375,427.717105263158,35.7588046555872,3.19068110681865e-08,2.95056478676017e-06,1.16734969383869e-06,"MTRR/MTR/MTHFR",3
"C0038362","Stomatitis","5/19","109/21671",0.0458715596330275,52.3201352003863,15.9115968603514,3.22613006297239e-08,2.95056478676017e-06,1.16734969383869e-06,"ABCC2/MTRR/SLC19A1/MTHFR/TYMS",5
"C2721734","Methylenetetrahydrofolate reductase polymorphism","3/19","9/21671",0.333333333333333,380.19298245614,33.7046263849573,4.78337110421551e-08,4.19979982950121e-06,1.66159206778012e-06,"DHFR/MTHFR/TYMS",3
"C3146250","Stage III Colorectal Cancer AJCC v7","4/19","44/21671",0.0909090909090909,103.688995215311,20.1980456521907,5.6016478415978e-08,4.72908346627199e-06,1.87099573656607e-06,"ERCC1/MTR/MTHFR/TYMS",4
"C0008924","Cleft upper lip","6/19","255/21671",0.0235294117647059,26.8371517027864,12.2942713193139,5.97282305413234e-08,4.81058817746414e-06,1.90324193569496e-06,"MTR/SLC19A1/MTHFR/AXIN2/CDH1/TYMS",6
"C0677949","Stage III Colorectal Cancer","4/19","45/21671",0.0888888888888889,101.384795321637,19.9684034296624,6.14474291137969e-08,4.81058817746414e-06,1.90324193569496e-06,"ERCC1/MTR/MTHFR/TYMS",4
"C2145472","Urothelial Carcinoma","7/19","449/21671",0.0155902004454343,17.7818544133161,10.6445476763122,6.35567458526014e-08,4.81058817746414e-06,1.90324193569496e-06,"ATP7A/ERCC1/MTR/CTLA4/MTHFR/RRM2/AXIN2",7
"C3806347","Hyperhomocystinemia","3/19","11/21671",0.272727272727273,311.066985645933,30.4705217386071,9.38550327721119e-08,6.86705989782619e-06,2.71685621182429e-06,"MTRR/MTR/MTHFR",3
"C1565321","Cholera Infantum","3/19","12/21671",0.25,285.144736842105,29.1654233904481,1.25070739659863e-07,8.70610260406419e-06,3.44444773928927e-06,"ABCC2/MTR/MTHFR",3
"C0278996","Malignant Head and Neck Neoplasm","8/19","767/21671",0.0104302477183833,11.8965209634255,9.10181678767341,1.26922680332599e-07,8.70610260406419e-06,3.44444773928927e-06,"ATP7B/ERCC1/DHFR/CTLA4/MTHFR/AXIN2/CDH1/TYMS",8
"C3887461","Head and Neck Carcinoma","8/19","786/21671",0.0101781170483461,11.6089460291951,8.97477398059978,1.53148399341031e-07,1.01866889864716e-05,4.03022103529028e-06,"ATP7B/ERCC1/DHFR/CTLA4/MTHFR/AXIN2/CDH1/TYMS",8
"C0280803","Primary central nervous system lymphoma","5/19","156/21671",0.032051282051282,36.5570175438596,13.2030478400298,1.94283904926381e-07,1.23345059606978e-05,4.8799747836354e-06,"DHFR/MTR/SLC19A1/MTHFR/TYMS",5
"C1708349","Hereditary Diffuse Gastric Cancer","6/19","312/21671",0.0192307692307692,21.9342105263158,11.0331792360561,1.96677771582881e-07,1.23345059606978e-05,4.8799747836354e-06,"CDH2/ERCC1/UMPS/MTHFR/CDH1/TYMS",6
"C0079740","High Grade Lymphoma (neoplasm)","4/19","62/21671",0.0645161290322581,73.5857385398981,16.954580822409,2.27904231156801e-07,1.37309542335738e-05,5.43246001328299e-06,"CTLA4/MTHFR/CDH1/TYMS",4
"C1319315","Adenocarcinoma of large intestine","7/19","543/21671",0.0128913443830571,14.7035960065911,9.57993394143616,2.31455720565936e-07,1.37309542335738e-05,5.43246001328299e-06,"ABCC2/ATP7B/ATP7A/MTHFR/AXIN2/CDH1/TYMS",7
"C0079758","Lymphoma, Mixed-Cell, Follicular","3/19","15/21671",0.2,228.115789473684,26.0652012953763,2.58239505895657e-07,1.4534249113871e-05,5.7502723984863e-06,"MTR/MTHFR/TYMS",3
"C1956132","Lymphoma, Follicular, Grade 2","3/19","15/21671",0.2,228.115789473684,26.0652012953763,2.58239505895657e-07,1.4534249113871e-05,5.7502723984863e-06,"MTR/MTHFR/TYMS",3
"C0025500","Mesothelioma","7/19","560/21671",0.0125,14.2572368421053,9.41564059412753,2.85137633356067e-07,1.54432878632462e-05,6.10992086664817e-06,"ABCC2/ERCC1/CTLA4/SLC19A1/CDH1/TYMS/ABCC3",7
