"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"C1535926","Neurodevelopmental Disorders","78/1573","535/21671",0.145794392523364,2.0085888622847,6.60841114398155,2.54701742431671e-09,2.48104967302691e-05,2.26577307925268e-05,"ACTL6B/ADAM10/ADCY5/ADRA1A/AFF3/ALDH1L1/ALG13/ATG7/CC2D1A/CHRNA4/CUL3/DDX3X/DDX6/DLGAP4/DMD/DSCAM/DYRK1A/EBF3/EHMT1/EPG5/FEM1B/FZR1/GIGYF2/GNAO1/GRM2/HES1/HIVEP3/INTS1/KAT6A/KDM5B/KDM6B/KIDINS220/KIF21A/KIRREL3/KMT2A/LAMB1/LIMK1/LPAR2/MCPH1/MECP2/MED13/NEDD4L/NFIC/NPAS3/NRXN1/NRXN3/NUFIP2/PAK1/PARD3B/PIK3CD/PLK1/PNKP/POU3F3/PPP1R9A/PPP2R5D/PTEN/RBFOX3/RHOBTB2/SCN8A/SMARCA4/SNCA/SOX11/SOX4/SOX5/SRY/TANC1/TAOK2/TCF7L2/TNRC6B/TRAK1/UBE3A/VAMP2/WDFY3/YAP1/ZBTB20/ZFX/ZMIZ1/ZNF292",78
"C0454644","Delayed speech and language development","78/1573","560/21671",0.139285714285714,1.91891971664699,6.16360184722502,1.9737264312384e-08,9.61303458334664e-05,8.77892740547144e-05,"ACTL6B/AFF3/ALG13/ARID2/ATP6AP2/ATP6V0A2/ATRX/ATXN3/BRWD3/CAMK2A/CC2D1A/CCDC28B/CLCN4/CLN8/CUL4B/DDX3X/DMD/DNAAF1/DNMT3A/DYNC1H1/DYRK1A/EBF3/EHMT1/FA2H/GATM/GFM2/GLS/GRIN2D/HGSNAT/HOOK2/IRF2BPL/KAT6A/KDM5B/KIDINS220/KMT2A/LAMA2/LMAN2L/MECP2/MED13/MED23/MED25/MFSD8/MID2/MYO9A/NALCN/NFE2L2/NFIX/NSD1/PBX1/PDE4D/PIGG/POMT1/POU3F3/PRKAR1A/PRMT7/PTEN/RUSC2/SCN8A/SET/SGCB/SOBP/SOX5/SPG11/SPR/STAG2/STAT1/TENM3/THOC2/TRAK1/TRIP11/TRMT1/UBE3A/VAC14/VLDLR/WIPI2/ZMIZ1/ZMYND11/ZNF81",78
"C0038379","Strabismus","91/1573","716/21671",0.127094972067039,1.75096957384921,5.71679232967596,1.09686169203166e-07,0.000356150991402678,0.000325248356468755,"ACOX1/ACTL6B/ADAT3/ALG3/AP4E1/AP4S1/ARID2/ARL3/ATP6V0A2/ATP8A2/BRIP1/CABP4/CACNA1G/CAMK2A/CC2D2A/CCDC28B/CDC42/CEP290/CHRNE/CLCN4/DHCR7/DYNC1H1/DYNC2LI1/EBF3/EHMT1/FA2H/FANCB/FANCC/FANCM/GATA4/GGCX/GNAO1/GNAT1/GPR143/HOOK2/HSPD1/KAT6A/KDM5B/KIF21A/KMT2A/LIMK1/LYST/MAP2K2/MECP2/MED25/MID2/MRAS/MYH3/NALCN/NDUFAF3/NDUFS7/NEDD4L/NFIX/NHLRC2/NRXN1/NSD1/PBX1/PNKP/POMT1/POMT2/PPP2R5D/PRKAR1A/PRMT7/PTEN/RAB11B/RBPJ/RNF111/RNH1/RREB1/SCN4A/SLC25A22/SLX4/SMAD4/SMARCA4/SOS2/SOX11/SOX4/SOX5/SUFU/TBL2/TCF12/THOC2/TMEM67/TRAPPC6B/TRIP11/TUBGCP4/UBA1/UBE3A/UBR1/VLDLR/YAP1",91
"C0344482","Hypoplasia of corpus callosum","56/1573","385/21671",0.145454545454545,2.00390683696469,5.56024776004893,4.82813894915187e-07,0.00117577253759221,0.00107375269103375,"ACTL6B/AP4E1/AP4S1/ARID2/ATP6AP2/CC2D1A/CDC42/CEP290/CHMP1A/CLCN4/COG7/DDX3X/DHCR7/DYRK1A/EARS2/FA2H/FBXL4/GNAO1/IBA57/KCNT2/KDM5B/KIDINS220/KMT2A/LMAN2L/MAP2K2/MBTPS2/MECP2/MED23/MED25/NEFL/NFIX/NHLRC2/NSD1/PCNT/PIGG/PIGN/PNKP/POMT1/POMT2/RAB3GAP1/RAC1/RHOBTB2/SFXN1/SLC25A22/SMARCA4/SOX11/SOX4/SPG11/SPTAN1/STAG2/TMTC3/TRAPPC6B/WDR45B/ZBTB20/ZFR/ZNHIT3",56
"C4086152","Childhood Astrocytoma","78/1573","615/21671",0.126829268292683,1.74730901028019,5.25977584764043,9.66440472165274e-07,0.00180688896140634,0.00165010818221894,"ACTN1/ADCY1/ANGPT2/APRT/ARHGEF28/ATP2A2/ATRX/CASR/CCNG2/CD47/CDC42/CHPT1/CREB1/CUL3/E2F4/EGFR/EGR1/ELK1/EZH1/FASTK/FCN2/FOXP3/GATA4/GRM2/GSN/HAMP/HES1/HFE/HLA-G/HSPA5/ID4/ILK/ING1/ITIH4/JUNB/KLK6/LAMP1/LPP/LSM4/MAPK14/MAPK8/MCL1/MCPH1/MIB1/MYCN/NAP1L1/NEFL/NFATC3/NFE2L2/NFKB1/NPAS3/NUFIP2/PEA15/PIK3CD/PLA2G4A/PPP1R1A/PRKCA/PTEN/PTGS2/PTPN6/RAC1/RARB/SATB1/SMARCA4/SNCA/SOX4/SPAG9/STAT5B/TACR1/TBXA2R/TCF7L2/TFRC/TGFA/TNKS/TOP3A/TRAF3/WT1-AS/YAP1",78
"C0392885","High density lipoprotein measurement","71/1573","545/21671",0.130275229357798,1.79478353173099,5.25721658369918,1.11295901534114e-06,0.00180688896140634,0.00165010818221894,"ABCA1/ADCY5/ADRA1A/AGPAT5/ARHGEF28/ARNT/ARRB1/ATG7/ATP2A2/ATP2B1/CADM1/CD300LG/CEP164/CEP68/CMIP/CNTLN/CUBN/CYP2B6/DAGLB/DHCR7/DR1/F5/FANCB/FANCM/GFOD2/GREB1/HMBS/IL17RB/INPP4B/IRF3/KPNB1/LIPG/LPL/LRP1/MED23/MEFV/NAA25/NCAM1/NCOA2/NFATC3/NFIC/NFKB1/NSD1/NUCKS1/OSBP2/PER3/PLCL1/PLTP/POLK/PSMB10/PTEN/SARM1/SBNO1/SCARB1/SIK3/SLC2A5/SLC46A1/SMAD4/SMPD3/SOX6/STAB1/TBL2/TCF7L2/TIRAP/TOMM40/TP53BP1/TRAM2/TTBK2/TUBGCP4/ZCCHC8/ZNF652",71
"C0036857","Severe intellectual disability","58/1573","429/21671",0.135198135198135,1.86260571384538,5.0484803524922,3.33339282591282e-06,0.00405629485389869,0.00370433683025063,"ACOX1/AFF3/ALG13/AP4E1/AP4S1/ATRX/CACNA1G/CAMK2A/CC2D1A/CLCN4/CUL4B/DBT/DDX3X/DMD/DNMT3A/DYNC1H1/DYRK1A/EHMT1/IBA57/KAT6A/KDM5B/KIRREL3/KMT2A/LMAN2L/MBTPS2/MCPH1/MECP2/MED23/MED25/MID2/NALCN/NDUFS7/NFIX/NRXN1/PAK1/PAX8/PLEKHG2/PNKP/POMT1/POMT2/PRMT7/RAB3GAP1/SCAF11/SCN8A/SLC25A1/SLC35C1/SLC6A17/SOBP/SPTAN1/SUFU/TADA2A/THOC2/TMEM67/TRAPPC6B/UBE3A/WIPI2/ZNF81/ZNHIT3",58
"C0555198","Malignant Glioma","86/1573","724/21671",0.11878453038674,1.63647778640245,4.87314140735742,4.06777381605256e-06,0.00405629485389869,0.00370433683025063,"AKT2/ANGPT2/ANKRD49/ATG7/ATP6V0A2/ATRX/BCAN/BCL2L11/BEX2/BRMS1L/C1QL1/CASR/CDC42/CFLAR/CLCN3/CREB1/CTSZ/CYP2B6/DKK1/EGFR/EGR1/EPOR/ERBB2/FLT1/GIPC1/GLS/GOPC/HBEGF/HLA-B/HLA-C/HMGA1/HOXA11-AS/HSPA5/IKBKE/IL24/ING1/ITGB3/KDM6B/KLK6/LAMP1/LGALS9/LHX9/LPL/LRIG1/MAPK14/MAPK8/MCL1/MCPH1/MEF2D/MSLN/MVD/MYB/MYCN/NFE2L2/NPAS3/NTRK3/NUMB/PART1/PCSK6/PCSK9/PEA15/PEG10/PIK3CD/PLK1/PLTP/PPP1R1A/PRKAR1A/PSD3/PTEN/PTGS2/RAC1/RBPJ/SATB1/SOX11/STK11/SUZ12/TCF3/TCF7L2/TEAD2/TERF2IP/TFRC/TGFA/TRAF4/XIAP/YAP1/ZFX",86
"C2674608","Feeding difficulties in infancy","45/1573","305/21671",0.147540983606557,2.03265140224902,5.08111989570276,4.26944645838313e-06,0.00405629485389869,0.00370433683025063,"ARID2/ARL3/ATP6V0A2/ATRX/CASR/CC2D2A/CHRNE/DBT/DDC/DHCR7/DYNC2LI1/DYRK1A/EPG5/GCDH/HSPD1/IRAK1BP1/KMT2A/LAMA2/MAP2K2/MECP2/MRAS/MYH3/NALCN/NFIX/NSD1/PAX8/PIGN/PRKCSH/RAB3GAP1/RAC1/RREB1/SCN4A/SEC63/SLC46A1/SMARCA4/SMPD1/SOS2/SOX11/SOX4/SUZ12/TMEM67/TSPYL1/UBE3A/WNK1/ZNHIT3",45
"C0013421","Dystonia","60/1573","453/21671",0.132450331125828,1.82474960319632,4.96290988823744,4.40254234730151e-06,0.00405629485389869,0.00370433683025063,"ACOX1/ADCY5/AP4E1/AP4S1/ATXN3/CACNA1G/CC2D1A/CHRNA4/COX20/DBT/DDC/DNAJC12/DNTT/DST/EARS2/EIF2B5/FA2H/GCDH/GFM2/GIGYF2/GLUD2/GM2A/GNAL/GNAO1/GSN/HLA-B/HSPA5/IRF2BPL/JPH3/KAT6A/KDM5B/LMAN2L/MECP2/MED23/MED25/MMADHC/MR1/MRPS34/NDUFAF3/NDUFS7/NHLRC2/PLEKHG2/PNKP/PTEN/RAB11B/RARB/RHOBTB2/SAR1A/SCN8A/SLC25A22/SLC46A1/SNCA/SPR/TFDP1/TRAF3/TTBK2/UBQLN2/VAC14/VPS13D/ZNF292",60
