"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061061","muscle structure development","113/2030","573/18842",0.197207678883072,1.83043698793834,7.0148261247279,1.04895045196848e-10,8.69160344501081e-07,8.69160344501081e-07,"ITGB1/RGS2/SOX6/PLEKHO1/PDLIM4/BASP1/SGCB/AKAP6/DKK1/TCF12/EFEMP2/NID1/ADAM12/MYLK/GATA4/SKIL/CSRP2/RBPJ/KDM6B/TGFBR1/SGCE/PDLIM5/HES1/SRF/LMNA/SLC8A1/QKI/ZFPM2/DOCK2/PLEKHM3/GREM1/EGR2/EDNRA/LDB3/TAGLN/TCF7L2/HDAC4/CSRP1/CFL2/SGCD/ZFP36L1/JPH2/TBX3/ANK2/SMAD4/CAV1/CD9/ACTN1/SORBS2/MYL9/DDX5/NFATC3/NFATC1/MYEF2/ADAMTS5/KY/BOC/PRICKLE1/LAMA2/ID2/RORA/LMOD1/PAK1/CAV2/MAPK14/EHD1/LAMB1/MEIS1/POPDC2/OBSL1/DES/CFLAR/PGM5/COL6A1/TPM1/HBEGF/TBX18/FHL1/ACTL6B/MYH3/FOXK1/RPLP2/ITGA11/CACYBP/PRKD1/NRAP/RBPMS2/TMEM182/MYH11/LAMB2/MYOCD/EHD2/SMARCA4/PDLIM7/MEF2D/AKAP13/MEF2C/FXR1/SMTN/SOX4/COL3A1/SCN11A/PAXBP1/PDLIM3/ARID2/SVIL/EHMT1/MECP2/NPNT/DMD/SYNE1/SEMA4C/ASB2",113
"GO:0030036","actin cytoskeleton organization","131/2030","705/18842",0.185815602836879,1.72469831953324,6.81489845949891,2.19966704673296e-10,9.11322057461467e-07,9.11322057461467e-07,"FHDC1/ITGB3/MYO5A/DPYSL3/DIAPH3/PDLIM4/RGCC/FARP2/NCKAP1L/EPB41L5/CNN1/CAPZB/DLC1/MYO6/MYO1G/TNFAIP1/ABI2/CDC42EP4/CCDC88A/PAWR/PLEKHG2/CSRP2/PLEKHH2/ESPN/TGFBR1/PDLIM5/TPM2/RNH1/TACR1/RAC1/OAZ3/SRF/ARFIP2/SORBS1/RHOBTB2/DOCK2/SPIRE2/COBL/RHOQ/CD2AP/LDB3/FARP1/CD47/EVL/CSRP1/CFL2/TAOK2/PIP5K1C/CDC42BPG/ARRB1/CAP2/RHOF/CDC42/TLE6/ANTXR1/RHOV/SMAD4/FGD2/PARVA/PARVB/MRAS/RDX/ARHGEF12/ACTN1/KANK2/MYL9/AMOTL1/SSH1/SLIT2/LCP1/DIXDC1/LIMK1/LMOD1/PAK1/LUZP1/ARHGAP28/EPHA3/CPNE6/TTC17/PKP3/WIPF1/OBSL1/PAK2/ILK/LRP1/CFLAR/PHLDB2/FLNA/PGM5/TPM1/DNM2/FCHSD2/SYDE1/MYH3/ZYX/FGD3/CUL3/HMCN1/PRKD1/NRAP/TGFB3/DAAM1/MYH11/AGAP2/JMY/CALD1/MYO5C/SYNPO2/PPP1R9A/FER/PRKCD/MYO19/GIPC1/RUFY3/PDLIM7/PALLD/WIPF3/AKAP13/CYTH2/SMTN/HIP1/PDLIM3/GAS2L1/SVIL/ATXN3/ZEB2/GSN/SPTAN1/CDC42EP5/FERMT2/ASB2",131
"GO:0007507","heart development","90/2030","438/18842",0.205479452054795,1.90721371212632,6.67545467986233,1.02611656713276e-09,2.83413395842068e-06,2.83413395842068e-06,"RGS2/KCNQ1/SOX6/PDLIM4/BASP1/IHH/AKAP6/DKK1/DLC1/PKD2/GATA4/RBPJ/CDH11/GJA1/SPRED1/HSPB7/KDM6B/TGFBR1/PDLIM5/HES1/RAC1/NRP2/SRF/HOPX/SLC8A1/GATA3/ZFPM2/YAP1/GREM1/DZIP1/EDNRA/LDB3/VCAM1/SGCD/JPH2/TBX3/CDC42/ANK2/SMAD4/PARVA/DNAAF1/WNK1/SORBS2/SLIT2/NFATC1/MIXL1/ADAMTS5/PRICKLE1/ID2/PAK1/ECE2/MMP2/MEIS1/POPDC2/PTEN/OBSL1/ILK/NPHP3/TPM1/TBX18/PAX8/CACYBP/ADAMTS9/NRAP/TGFB3/PCSK5/CFC1/MYH11/SPRY1/MYOCD/ELN/PDLIM7/MEF2D/AKAP13/MEF2C/AXIN2/SMAD5/PLXNA4/HEG1/SOX4/HTR2B/COL3A1/CACNA1G/ERBB3/PDLIM3/SOX11/NTRK3/EGFR/OXCT1/ASB2",90
"GO:0097435","supramolecular fiber organization","140/2030","794/18842",0.17632241813602,1.63658473030487,6.36857444994257,2.04176994249048e-09,4.22952643586902e-06,4.22952643586902e-06,"FHDC1/MYO5A/DPYSL3/DIAPH3/BASP1/TUBGCP4/RGCC/KATNBL1/NCKAP1L/PCNT/CNN1/HOOK1/CAPZB/EFEMP2/DLC1/MYO6/ZNF207/MYO1G/TNFAIP1/ABI2/CLIP4/CDC42EP4/CCDC88A/PAWR/PLEKHG2/CSRP2/PLEKHH2/ESPN/HOOK2/PCM1/SLAIN2/TGFBR1/CLU/NEFL/TPM2/RNH1/TACR1/RAC1/OAZ3/ARFIP2/SORBS1/RHOBTB2/SPIRE2/COBL/RAD51D/RHOQ/CD2AP/MAP1B/CD47/EVL/CSRP1/CFL2/ATP7A/ARRB1/CAP2/RHOF/CDC42/TLE6/RHOV/SMAD4/PARVA/RDX/ARHGEF12/ACTN1/KANK2/MYL9/SSH1/SLIT2/LCP1/CRYAB/LIMK1/BACE1/LMOD1/PAK1/LUZP1/EPPK1/ARHGAP28/PRPH/KPNB1/TTC17/WIPF1/DYRK1A/OBSL1/MAP4/PAK2/ILK/DES/CFLAR/PHLDB2/FLNA/PGM5/TPM1/CAMSAP3/TUBA1A/DNM2/FCHSD2/MYH3/ZYX/DYNC1H1/CUL3/OCLN/SNCA/PRKD1/NRAP/TGFB3/TTBK2/MYH11/KIF21A/JMY/CALD1/MYO5C/TACC1/SYNPO2/PPP1R9A/FER/PRKCD/CDH5/MYO19/VIM/KATNAL1/HAUS6/GIPC1/RUFY3/WIPF3/AKAP13/MAP2/COL3A1/HIP1/GAS2L1/SVIL/PLK1/MECP2/ZEB2/GSN/TUBGCP5/NME7/SPTAN1/CDC42EP5/FERMT2/ASB2",140
"GO:0000902","cell morphogenesis","134/2030","761/18842",0.176084099868594,1.63437271414978,6.20748820563905,5.00385279960349e-09,8.29238485950291e-06,8.29238485950291e-06,"SDC2/SPARC/GFRA3/NCKAP1L/ITGA4/RAB21/CCL2/SPG11/ABI2/CDC42EP4/SKIL/CDH11/ITPR1/GAP43/CLU/KIAA1755/TIAM1/PDLIM5/PRKG1/CDH19/PDPN/RAC1/NRP2/ITGA1/RHOBTB2/NUMBL/NCAM1/GREM1/COBL/GAS7/EDNRA/VPS33A/FARP1/MAP1B/CDH7/NEDD4L/MAGI1/ARHGAP32/UNK/EVL/CNTN1/TAOK2/ATP7A/STC1/DICER1/MSN/LLPH/CAP2/CDC42/RREB1/RHOV/FGD2/PARVA/PARVB/RDX/ZDHHC17/ACTN1/EPHA8/CDH4/SSH1/BRWD3/SLIT2/FEZ1/LIMK1/COCH/NRXN3/STK11/BOC/PRICKLE1/PAK1/LUZP1/MAP4K4/EPHA3/LST1/MYO16/DSCAM/CPNE6/ULK2/PTEN/OBSL1/LMO4/PAK2/ILK/CHRNA3/MYO10/FLNA/LYPLA2/TPM1/TUBA1A/DNM2/KALRN/METRN/FGD3/CUL7/PRKCA/FRY/PPP1R12A/YWHAH/SARM1/UNC5C/RGMA/PPP1R12B/PALMD/TENM3/ARHGAP33/B4GALT6/KIF21A/LHX9/CDH5/PTPRM/CDH1/MYO9A/VLDLR/VIM/RUFY3/PALLD/MEF2C/BRWD1/PLXNA4/FYN/MAP2/SCN11A/FZD3/NEXN/DCLK1/NRXN1/MYO9B/KCTD12/CDH8/CDC42EP5/SEMA4C/FERMT2/CDH2/SNX1",134
"GO:0007015","actin filament organization","88/2030","448/18842",0.196428571428571,1.82320548909219,6.12772796047171,1.51945185468357e-08,2.09836301131801e-05,2.09836301131801e-05,"FHDC1/MYO5A/DPYSL3/DIAPH3/RGCC/NCKAP1L/CNN1/CAPZB/DLC1/MYO6/MYO1G/TNFAIP1/ABI2/CDC42EP4/CCDC88A/PAWR/PLEKHG2/PLEKHH2/ESPN/TGFBR1/TPM2/RNH1/TACR1/RAC1/OAZ3/ARFIP2/SORBS1/RHOBTB2/SPIRE2/COBL/RHOQ/CD2AP/CD47/EVL/CFL2/ARRB1/CAP2/RHOF/CDC42/TLE6/RHOV/PARVA/RDX/ARHGEF12/ACTN1/KANK2/MYL9/SSH1/SLIT2/LCP1/LIMK1/LMOD1/PAK1/LUZP1/ARHGAP28/TTC17/WIPF1/PAK2/ILK/PHLDB2/FLNA/TPM1/DNM2/FCHSD2/ZYX/CUL3/NRAP/TGFB3/JMY/CALD1/MYO5C/SYNPO2/PPP1R9A/FER/PRKCD/MYO19/GIPC1/RUFY3/WIPF3/HIP1/GAS2L1/SVIL/ZEB2/GSN/SPTAN1/CDC42EP5/FERMT2/ASB2",88
"GO:0030048","actin filament-based movement","38/2030","138/18842",0.27536231884058,2.55585064610552,6.37427071384925,3.35178701233853e-08,3.96755816917672e-05,3.96755816917672e-05,"MYO5A/KCNQ1/TRPM4/SCN4A/MYO6/MYO1G/GATA4/GJA1/PLN/PDPN/QKI/SCN2B/KCNE4/NEDD4L/STC1/SCN8A/KCNJ8/ANK2/CAV1/PARVA/LUZP1/ACTA2/WIPF1/FLNA/TPM1/PDE4D/MYH3/GJC1/MYO5C/MYO19/ATP1A2/ATP2A2/SCN11A/CACNA1G/MYO9B/ZEB2/GSN/CACNA2D1",38
"GO:0046649","lymphocyte activation","123/2030","707/18842",0.173974540311174,1.61479226036608,5.78988078418829,4.40335996716782e-08,4.56078008599406e-05,4.56078008599406e-05,"MYB/ITGB1/HLA-DQB1/PIK3CD/LILRB2/IHH/NCKAP1L/HLA-G/PBX1/ITGA4/CCL2/TRAC/CD27/JUNB/HMCES/SLAMF7/CD3D/SASH3/FLT3LG/INPP5D/TACR1/PECAM1/HSPD1/ZMIZ1/AXL/TP53BP1/GATA3/JAK3/VCAM1/CD2/LAMP1/HDAC4/IL12RB1/CD47/ICAM3/ATP7A/MSN/ZFP36L1/HLA-F/PPP2R3C/ICAM1/LAPTM5/CD6/CAV1/CTLA4/CD38/IRF2BP2/SOCS3/DCAF15/CD300A/PRDM1/PRKCB/PIK3R3/NFATC3/LCP1/HLA-DOA/LGALS1/CEBPG/PTPN6/LGALS9/ZBTB7B/PSMB8/TIRAP/TFRC/ID2/HELLS/RORA/HAVCR2/MICB/HLA-DRA/CD74/LST1/IL21R/C3/CHRNA4/METTL14/NFE2L2/NKG7/CCL5/UFL1/CD8A/RC3H1/ACTL6B/RC3H2/TCF3/SIRPG/TNFRSF4/IGHM/SLC15A4/HFE/HLA-DMB/IL6ST/CD84/SH2D1A/PSMB9/PTPRC/KMT2A/SMARCA4/CUL4B/SLA2/GLI3/MR1/SLAMF8/TIGIT/MEF2C/PSMB10/FOXP3/FYN/NFKBID/SOX4/CLEC12A/HLA-DPA1/CLEC4A/ARID2/BTN3A1/SOX11/CLPTM1/CLEC2B/SLC11A1/SLC7A1/GSN/PRKAR1A/LILRB4",123
"GO:0070848","response to growth factor","123/2030","715/18842",0.172027972027972,1.59672465465569,5.65267919034602,8.40328619043473e-08,7.63577472390634e-05,7.63577472390634e-05,"NREP/SMURF2/LDLRAD4/ITGB3/ITGB1/SOX6/SAP30L/PIK3CD/RGCC/DKK3/ADAM9/DOK5/XIAP/VEPH1/CCL2/ATP2B4/GATA4/SKIL/RBPJ/TGFB1I1/SPRED1/SUDS3/TGFBR1/FGFR1/ACVR1B/HES1/CHRDL2/NRP2/GLG1/ZMIZ1/STAT5B/DNM3OS/GAB1/GREM1/PEG10/BRMS1L/VCAM1/RPS6KB1/ERBB2/MAP1B/LUM/ERN1/KDM5B/ZFP36L1/ELK1/SMAD4/CAV1/PRKCB/ZDHHC17/FLT1/KCNC2/DDX5/CASR/ZNF451/SLIT2/FEZ1/SOX5/LATS2/MTMR4/STK11/NR3C1/TRIM33/MAPK14/EHD1/MEIS2/ARNT/RAPGEF1/ACTA2/FSTL1/PAK2/ILK/CFLAR/FNTA/THBS1/CCL5/CHURC1/ACVR2B/PCSK6/NLK/ZYX/SNCA/PRKD1/RGMA/HFE/TGFB3/KIDINS220/CEP128/RBPMS2/AKT1S1/DCN/PDGFRL/DDR2/SPRY1/MYOCD/FER/CDH5/GIPC1/KMT2A/PDE8A/VEGFC/CHRDL1/ANGPT2/MEF2C/SMAD5/FYN/RNF111/IL17RD/COL3A1/COL1A2/PPM1A/SPRY4/RAB14/SOX11/NRXN1/ING1/CREB1/ZEB2/ADAMTS12/NTRK3/DMD/EGFR/FERMT2/EHD4",123
"GO:0003013","circulatory system process","102/2030","564/18842",0.180851063829787,1.67861859343884,5.68579599506738,9.29245844659628e-08,7.63577472390634e-05,7.63577472390634e-05,"SCARB1/ABCC2/ITGB1/RGS2/KCNQ1/TRPM4/SCN4A/WWTR1/SLC27A4/GNA11/ITGA4/FGB/ATP2B4/SLC7A2/GATA4/ATP1B1/GJA1/TRPC1/HSPB7/PLN/TACR1/PRKG1/PECAM1/ITGA1/PRKACA/SLC8A1/GAB1/SCN2B/ZDHHC21/PTGS2/YAP1/EDNRA/KCNE4/NEDD4L/SGCD/STC1/SCN8A/JPH2/ABCC9/KCNJ8/CDC42/ADRA1A/SLC6A17/ANK2/CAV1/SERPING1/ATP6AP2/CD38/WNK1/CASR/SLIT2/SLC22A8/TACR2/TBXA2R/TFRC/ID2/CTSZ/AGTR1/GNA13/KLK3/AKAP12/MMP2/SLC38A2/SLC2A5/POPDC2/ABCA2/LRP1/DES/FLNA/TPM1/PDE4D/TBX18/SLC19A1/OCLN/F5/ABCC3/PCSK5/GJC1/JPH3/NPFF/KCNMA1/ATP2B1/CDH5/ATP1A2/C2CD4B/ELN/VEGFC/F2R/FYN/ATP2A2/ADAMTS16/HTR2B/COL1A2/SCN11A/CACNA1G/SLC7A1/ZEB2/GSN/DMD/CACNA2D1/SLC24A3/FERMT2",102
