"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015629","actin cytoskeleton","106/2100","502/19979",0.211155378486056,2.00889205084424,7.84602280708594,1.33531119953476e-12,1.1729943090733e-09,1.1729943090733e-09,"FHDC1/MYO5A/DPYSL3/DIAPH3/PDLIM4/SH3PXD2A/PKNOX2/CNN1/CAPZB/DLC1/MYO6/MYO1G/MYLK/ABI2/CDC42EP4/PAWR/PLEKHH2/ESPN/ACTR1A/HSPB7/PDLIM5/TPM2/FILIP1/RAC1/SORBS1/COBL/HNRNPC/RHOQ/CD2AP/FKBP15/LDB3/VCAM1/EVL/CFL2/TAOK2/SCN8A/DST/ACTG2/PARVA/PARVB/RDX/PRKCB/ACTN1/SORBS2/MYL9/LCP1/CLIC4/CRYAB/ABLIM1/DIXDC1/LMOD1/PAK1/LUZP1/MYO16/ACTA2/TTC17/ACTR1B/WIPF1/DYRK1A/JAM3/MYO10/PHLDB2/FLNA/PGM5/TPM1/DNM2/LAD1/KALRN/MYH3/ZYX/SNCA/PPP1R12A/PPP1R12B/PALMD/DAAM1/MYH11/CALD1/MYO5C/KIF9/SYNPO2/PPP1R9A/FER/CDH1/MYO9A/MYO19/FILIP1L/LPP/PDLIM7/PALLD/AKAP13/IPP/FYN/SMTN/HIP1/NEXN/PDLIM3/GAS2L1/SVIL/MYO9B/GSN/DMD/SPTAN1/GBP1/FERMT2/ASB2/CDH2",106
"GO:0031012","extracellular matrix","107/2100","512/19979",0.208984375,1.98823753720238,7.76355889103259,2.06331452783343e-12,1.1729943090733e-09,1.1729943090733e-09,"SERPINB1/ADAMTS2/SDC2/POSTN/LMAN1/LTBP1/SPARC/IHH/ADAMTS8/GFOD2/CSPG4/MGP/GPLD1/SERPINE1/COL28A1/TNC/PTPRZ1/EFEMP2/NID1/FGB/OGN/AEBP1/COL8A1/FCN2/TGFB1I1/SDC3/MFAP5/ITIH4/OLFML2A/GLG1/AGRN/SPARCL1/NCAM1/GREM1/COL6A2/LUM/VWF/COL8A2/DST/ICAM1/ADAM19/SERPING1/COL16A1/IGFBP7/COL13A1/LGALS1/ESM1/HTRA1/COCH/LGALS9/ADAMTS5/CCDC80/LAMA4/LAMA2/CTSZ/LAMB1/THBS4/ANGPTL2/MMP2/ACTA2/COL4A6/EFEMP1/CRISPLD2/CTSC/EDIL3/COL6A1/THBS1/HSD17B12/PCSK6/TIMP2/LAD1/MMP11/GPC6/BCAN/COL4A1/C1QC/SPOCK3/HMCN1/ADAMTS1/ADAMTS9/TGFB3/DCN/ANGPTL1/LAMB2/MMP25/SERPINF1/FGL2/CD151/CTSB/ELN/SRPX/ANGPT2/MMP16/PRELP/ADAMTS16/A2M/COL3A1/COL1A2/ZAN/MFGE8/COL12A1/NPNT/ADAMTS12/PAPLN/LOXL1/SERPINB6/CDH2",107
"GO:0030312","external encapsulating structure","107/2100","517/19979",0.206963249516441,1.96900893432808,7.65056233980512,3.88821791418071e-12,1.47363458947449e-09,1.47363458947449e-09,"SERPINB1/ADAMTS2/SDC2/POSTN/LMAN1/LTBP1/SPARC/IHH/ADAMTS8/GFOD2/CSPG4/MGP/GPLD1/SERPINE1/COL28A1/TNC/PTPRZ1/EFEMP2/NID1/FGB/OGN/AEBP1/COL8A1/FCN2/TGFB1I1/SDC3/MFAP5/ITIH4/OLFML2A/GLG1/AGRN/SPARCL1/NCAM1/GREM1/COL6A2/LUM/VWF/COL8A2/DST/ICAM1/ADAM19/SERPING1/COL16A1/IGFBP7/COL13A1/LGALS1/ESM1/HTRA1/COCH/LGALS9/ADAMTS5/CCDC80/LAMA4/LAMA2/CTSZ/LAMB1/THBS4/ANGPTL2/MMP2/ACTA2/COL4A6/EFEMP1/CRISPLD2/CTSC/EDIL3/COL6A1/THBS1/HSD17B12/PCSK6/TIMP2/LAD1/MMP11/GPC6/BCAN/COL4A1/C1QC/SPOCK3/HMCN1/ADAMTS1/ADAMTS9/TGFB3/DCN/ANGPTL1/LAMB2/MMP25/SERPINF1/FGL2/CD151/CTSB/ELN/SRPX/ANGPT2/MMP16/PRELP/ADAMTS16/A2M/COL3A1/COL1A2/ZAN/MFGE8/COL12A1/NPNT/ADAMTS12/PAPLN/LOXL1/SERPINB6/CDH2",107
"GO:0031252","cell leading edge","92/2100","439/19979",0.209567198177677,1.99378240590086,7.21564774636028,6.34047459515214e-11,1.7391223341394e-08,1.7391223341394e-08,"ITGB3/MYO5A/ITGB1/DPYSL3/PLEKHO1/PDLIM4/AKT2/CSPG4/STX2/EPB41L5/PKN2/CAPZB/DLC1/MYO6/PKD2/AAK1/MYO1G/MYLK/ABI2/PSD3/CCDC88A/PLEKHH2/PDE4A/EPS8L2/SGCE/MCC/RNH1/PDPN/RAC1/ARFIP2/COBL/CD2AP/RAB3IP/ERBB2/EVL/PIP5K1C/PDE9A/CDC42BPG/DDX3X/DST/MEFV/CDC42/ANTXR1/FGD2/ACTG2/ATP6AP2/PARVB/RDX/ACTN1/SORBS2/KCNC2/SSH1/CLCN3/DPP9/LCP1/DGKZ/ABLIM1/LAYN/LIMK1/TIRAP/SNTG1/PAK1/PLEKHA1/ACTA2/WIPF1/LMO4/ILK/MYO10/PHLDB2/TPM1/FGD3/OCLN/UNC5C/STON1/JMY/FER/PTPRM/CDH1/VIM/RUFY3/PDLIM7/PALLD/MTMR14/SSX2IP/SPRY4/MYO9B/ARHGAP1/GSN/EGFR/FERMT2/CDH2/SNX1",92
"GO:0030055","cell-substrate junction","88/2100","414/19979",0.21256038647343,2.02225902921555,7.20336197872356,7.64785547114951e-11,1.7391223341394e-08,1.7391223341394e-08,"ITGB3/ITGB1/HMGA1/ADAM9/CSPG4/EPB41L5/CNN1/TNC/DLC1/ITGA4/RAB21/HSPA5/CSRP2/TGFB1I1/MPZL1/GJA1/SNTB2/RAC1/ITGA1/MCAM/SORBS1/EVL/CSRP1/PIP5K1C/MSN/RPS29/LIMS2/DST/CDC42/ICAM1/CAV1/PARVA/CD9/PARVB/RDX/ACTN1/FLT1/SORBS2/MAP2K2/LCP1/DIXDC1/LAYN/LIMK1/ITGBL1/SCARF2/TSPAN4/PAK1/MAP4K4/CAV2/EPPK1/GNA13/EFS/TNS1/AKAP12/ILK/LRP1/PHLDB2/FLNA/PGM5/ITGB8/DNM2/FHL1/ZYX/RPLP2/ITGA11/HMCN1/PPP1R12A/NRAP/ITGA2/DDR2/SYNPO2/PTPRC/VIM/CD151/LPP/PDLIM7/PALLD/NEXN/SPRY4/ADAM10/SVIL/GSN/DMD/EGFR/FZD1/NUMB/FERMT2/CDH2",88
"GO:0005925","focal adhesion","84/2100","403/19979",0.208436724565757,1.98302729528536,6.83235087361983,5.68622757079661e-10,1.07754012466596e-07,1.07754012466596e-07,"ITGB3/ITGB1/HMGA1/ADAM9/CSPG4/EPB41L5/CNN1/TNC/DLC1/ITGA4/RAB21/HSPA5/CSRP2/TGFB1I1/MPZL1/GJA1/SNTB2/RAC1/ITGA1/MCAM/SORBS1/EVL/CSRP1/PIP5K1C/MSN/RPS29/LIMS2/DST/CDC42/ICAM1/CAV1/PARVA/CD9/PARVB/RDX/ACTN1/FLT1/SORBS2/MAP2K2/LCP1/DIXDC1/LAYN/LIMK1/ITGBL1/SCARF2/TSPAN4/PAK1/MAP4K4/CAV2/GNA13/EFS/TNS1/AKAP12/ILK/LRP1/PHLDB2/FLNA/PGM5/ITGB8/DNM2/FHL1/ZYX/RPLP2/ITGA11/PPP1R12A/ITGA2/DDR2/SYNPO2/PTPRC/VIM/CD151/LPP/PDLIM7/PALLD/NEXN/SPRY4/ADAM10/SVIL/GSN/EGFR/FZD1/NUMB/FERMT2/CDH2",84
"GO:0005911","cell-cell junction","102/2100","537/19979",0.189944134078212,1.80709231178505,6.49761423115585,1.95220842356022e-09,3.17094425369711e-07,3.17094425369711e-07,"ITGB3/ABCC2/ITGB1/PDLIM4/WWTR1/AKAP6/EPB41L5/PKN2/PKD2/ABI2/CDC42EP4/ATP1B1/TGFB1I1/CDH11/GJA1/STRN/KAZN/CADM1/CADM3/TGFBR1/ABCB11/TIAM1/PDLIM5/CDH19/PECAM1/SORBS1/SLC8A1/GAB1/YAP1/CD2AP/LDB3/CD2/CDH7/MAGI1/PIP5K1C/MSN/LIMS2/FRMD6/CDC42/TMEM47/ANK2/LCP2/RDX/ACTN1/CDH4/MAP2K2/AMOTL1/PARD6G/CLIC4/PTPN6/PAK1/CLDN11/LUZP1/EPPK1/CLMP/SYNM/PKP3/OBSL1/PAK2/JAM3/MARVELD3/DES/PARD3B/FLNA/PGM5/CAMSAP3/ZYX/VAPA/OCLN/HMCN1/PRKD1/YWHAH/NRAP/GJC1/PLXDC1/FER/PRKCD/CDH5/PTPRM/CDH1/ATP1A2/MPDZ/PDLIM7/SLC2A2/DDX6/HEG1/CYTH2/ATP2A2/KIRREL3/SSX2IP/NEXN/PNN/PDLIM3/ADAM10/TRAF4/FRMD4A/CDH8/UBA1/PMP22/FERMT2/CDH2/EHD4",102
"GO:0043292","contractile muscle fiber","59/2100","253/19979",0.233201581027668,2.21863542254847,6.68541826493156,2.82155153683309e-09,4.01013012172402e-07,4.01013012172402e-07,"PDLIM4/LMAN1/CAPZB/ATP2B4/CSRP2/PDLIM5/TPM2/PECAM1/SLC8A1/MTMR12/LDB3/CSRP1/CFL2/SCN8A/DST/JPH2/ABCC9/KCNJ8/ANK2/SYNC/PARVA/FBXO32/PARVB/ACTN1/SORBS2/MYL9/CRYAB/KY/LMOD1/PAK1/MMP2/ACTA2/SYNM/OBSL1/ILK/DES/FLNA/PGM5/COL6A1/TPM1/MYH3/PPP1R12A/PRKD1/NRAP/PPP1R12B/MYH11/CALD1/SYNPO2/PDLIM7/PALLD/FXR1/NEXN/PDLIM3/SVIL/NPNT/DMD/SYNE1/FERMT2/ASB2",59
"GO:0001725","stress fiber","29/2100","85/19979",0.341176470588235,3.24588795518207,7.11132507400672,4.35230784023601e-09,4.55920260817855e-07,4.55920260817855e-07,"PDLIM4/MYLK/PDLIM5/SORBS1/LDB3/EVL/DST/ACTN1/MYL9/LCP1/ABLIM1/DIXDC1/LUZP1/ACTA2/PGM5/TPM1/ZYX/PPP1R12A/PPP1R12B/DAAM1/CALD1/SYNPO2/LPP/PDLIM7/PALLD/PDLIM3/GAS2L1/FERMT2/ASB2",29
"GO:0097517","contractile actin filament bundle","29/2100","85/19979",0.341176470588235,3.24588795518207,7.11132507400672,4.35230784023601e-09,4.55920260817855e-07,4.55920260817855e-07,"PDLIM4/MYLK/PDLIM5/SORBS1/LDB3/EVL/DST/ACTN1/MYL9/LCP1/ABLIM1/DIXDC1/LUZP1/ACTA2/PGM5/TPM1/ZYX/PPP1R12A/PPP1R12B/DAAM1/CALD1/SYNPO2/LPP/PDLIM7/PALLD/PDLIM3/GAS2L1/FERMT2/ASB2",29
