"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003779","actin binding","90/2088","446/18706",0.201793721973094,1.80783207051183,6.12058395299952,1.47722841342299e-08,3.00911427814263e-05,3.00911427814263e-05,"FHDC1/MYO5A/ITGB1/DIAPH3/PDLIM4/PKNOX2/CNN1/HOOK1/CAPZB/MYO6/MYO1G/UACA/MYLK/CCDC88A/PAWR/PLEKHH2/ESPN/EPS8L2/PDLIM5/TPM2/SNTB2/SORBS1/SPIRE2/COBL/CD2AP/FKBP15/LDB3/TAGLN/MAP1B/EVL/CFL2/MSN/DST/CAP2/MEFV/ANTXR1/PARVA/PARVB/RDX/ACTN1/SSH1/LCP1/ABLIM1/DIXDC1/SNTG1/LMOD1/LUZP1/KLHL5/MYO16/TNS1/WIPF1/DYRK1A/MYO10/FLNA/TPM1/CAMSAP3/MYH3/SNCA/YWHAH/NRAP/DAAM1/MYH11/JMY/CALD1/MYO5C/SYNPO2/PPP1R9A/KCNMA1/MYO9A/MYO19/GIPC1/PDLIM7/PALLD/WIPF3/IPP/SMTN/HIP1/NEXN/PDLIM3/GAS2L1/SVIL/MYO9B/GSN/DMD/SLC6A2/EGFR/SYNE1/SPTAN1/GBP1/FERMT2",90
"GO:0046332","SMAD binding","27/2088","79/18706",0.341772151898734,3.06187254474029,6.50966486072005,5.01268085843428e-08,5.10541545431532e-05,5.10541545431532e-05,"SMURF2/LDLRAD4/IPO7/RGCC/TCF12/GATA4/SKIL/TGFB1I1/TGFBR1/ACVR1B/ZMIZ1/SMAD4/DDX5/RANBP3/MTMR4/TRIM33/FLNA/MYOCD/AXIN2/SMAD5/RNF111/COL3A1/COL1A2/PPM1A/ZEB2/PML/FERMT2",27
"GO:0005518","collagen binding","23/2088","65/18706",0.353846153846154,3.17004126142057,6.21219089680976,2.36212640349567e-07,0.000160388382797356,0.000160388382797356,"ITGB1/SPARC/ADAM9/NID1/AEBP1/ITGA1/COL6A2/LUM/VWF/ANTXR1/SMAD4/COCH/PAK1/CRTAP/LRRC15/COL6A1/THBS1/CTSK/HSD17B12/ITGA11/ITGA2/DDR2/CTSB",23
"GO:0005201","extracellular matrix structural constituent","44/2088","181/18706",0.243093922651934,2.17783281471603,5.64415010138788,4.30080195388045e-07,0.000194203252560819,0.000194203252560819,"POSTN/LTBP1/SPARC/MGP/COL28A1/TNC/EFEMP2/NID1/FGB/OGN/AEBP1/COL8A1/MFAP5/AGRN/COL6A2/LUM/VWF/COL8A2/COL16A1/IGFBP7/COL13A1/ESM1/LAMA4/LAMA2/LAMB1/COL4A6/EFEMP1/EDIL3/COL6A1/THBS1/COL4A1/HMCN1/DCN/LAMB2/FGL2/ELN/SRPX/PRELP/COL3A1/COL1A2/ZAN/MFGE8/COL12A1/NPNT",44
"GO:0050839","cell adhesion molecule binding","113/2088","641/18706",0.176287051482059,1.57932259819128,5.29036002012126,4.76689377910699e-07,0.000194203252560819,0.000194203252560819,"DOCK9/ITGB3/KTN1/ITGB1/PCDHB4/DIAPH3/POSTN/ZC3H15/LILRB2/ADAM9/ADAMTS8/PKN2/TNC/PTPRZ1/CAPZB/ITGA4/FGB/HSPA5/NLGN4X/CDH11/EPS8L2/PDLIM5/CC2D1A/STAT1/CDH19/ARFIP2/ITGA1/GAPVD1/CD2AP/VCAM1/CDH7/CD47/ICAM3/CNTN1/VWF/MSN/DDX3X/DST/ICAM1/PARVA/CD9/S1PR3/PCDH17/COL16A1/RDX/ACTN1/CDH4/CASR/LCP1/ESM1/PTPN6/ADAMTS5/NRXN3/ITGBL1/TSPAN4/PCDHB14/EHD1/LAMB1/HDLBP/THBS4/PCDHGA10/DSCAM/PCDH7/PKP3/GIGYF2/PAK2/ILK/JAM3/EDIL3/PHLDB2/FLNA/LRRFIP1/LYPLA2/THBS1/ITGB8/RANBP1/LAD1/VAPA/PRKCA/ITGA11/HMCN1/PCDHB3/ITGA2/CALD1/LAMB2/CDH5/PTPRM/CDH1/CD151/GIPC1/RAB11B/PCDHAC1/PALLD/DDX6/EPS15L1/KIRREL3/COL3A1/EPS15/NEXN/ADAM10/MFGE8/NRXN1/NPNT/ARHGAP1/PCDHB5/CDH8/EGFR/SPTAN1/NUMB/FERMT2/CDH2/EHD4/SNX1",113
"GO:0019904","protein domain specific binding","114/2088","651/18706",0.175115207373272,1.56882426682204,5.23630083656533,5.98843188623505e-07,0.00020330726253768,0.00020330726253768,"MYB/LPAR2/DPYSL3/FKBP8/SDC2/BASP1/MCL1/ADAM9/SOCS7/TCF12/EPB41L5/DLC1/PKD2/ADAM12/ATP2B4/ABI2/HSPA5/CCDC88A/SKIL/PAWR/ESPN/PLSCR4/ITPR1/STRN/CADM1/FGFR1/NEFL/PRRG4/HES1/INPP5D/OAZ3/ARFIP2/PRKACA/QKI/GATA3/TEAD2/INSC/RHOQ/CD2AP/TCF7L2/LAMP1/EVL/DICER1/DTNA/STRN3/TFDP1/CDC42/ADAM19/TRPS1/RDX/ENKUR/MAP2K2/DDX5/CLCN3/IKZF4/DIXDC1/TOM1L1/ZXDB/PTPN6/CEP68/STK11/MOSPD2/POU3F3/PLEKHA1/RAPGEF1/ATXN1/KPNB1/EFS/ACSL3/WIPF1/PTEN/NFE2L2/OSBP/DNM2/NLK/KCNAB1/LSM4/VAPA/WBP11/ARHGAP5/UBE2I/CUL3/OCLN/SNCA/USP47/NCOA2/CACYBP/YWHAH/KIDINS220/KIF21A/SRP72/CEBPA/CNTLN/E2F4/TRADD/EHD2/VIM/LAMP2/DDX6/FYN/CHMP1A/SSX2IP/IRF3/FZD3/EPS15/ATRX/ADAM10/EHMT1/ARHGAP1/ACOX1/RUFY2/PRKAR1A/TRAF4/FZD1",114
"GO:0005178","integrin binding","38/2088","151/18706",0.251655629139073,2.25453553576413,5.48650384631153,1.03523777532071e-06,0.000301254192618326,0.000301254192618326,"ITGB3/ITGB1/ADAM9/ADAMTS8/TNC/PTPRZ1/ITGA4/VCAM1/ICAM3/VWF/DST/ICAM1/CD9/S1PR3/COL16A1/ACTN1/CASR/LCP1/ESM1/ADAMTS5/ITGBL1/TSPAN4/LAMB1/THBS4/ILK/JAM3/EDIL3/THBS1/ITGB8/PRKCA/ITGA2/LAMB2/CD151/COL3A1/ADAM10/MFGE8/NPNT/FERMT2",38
"GO:0008134","transcription factor binding","102/2088","594/18706",0.171717171717172,1.53838190332443,4.72666907421514,5.67581799562902e-06,0.00144520515713704,0.00144520515713704,"NAAA/HMGA1/TCF12/ZBTB49/PBX1/GATA4/RBPJ/TGFB1I1/CNOT2/ID4/TAF10/DOT1L/DACT1/STRN/HES1/PER3/STAT1/ZNHIT3/SRF/STAT5B/WIZ/MED16/TP53BP1/MED13/GATA3/ZFPM2/TEAD2/YAP1/AKAP8/EGR2/MED25/TCF7L2/HDAC4/ZNF516/DNMT3A/HES6/CAND1/DDX3X/TBX3/SUZ12/TFDP1/ELK1/CIITA/SMAD4/PRKCB/DDX5/MED17/IKZF4/PARP9/NFATC1/TFAM/CEBPG/MIXL1/MED14/RUNX1T1/ID2/RORA/ERCC1/LCOR/NR3C1/BDP1/MAPK14/MEIS2/ARNT/TCF4/LMO4/NFE2L2/FLNA/WWP2/NUCKS1/SRY/NLK/ZNF618/TCF3/UBE2I/CNOT7/NCOA2/YWHAH/MAX/ESRRB/TACC1/GTF2A1/CEBPA/HMGN3/CBX5/MYOCD/PARP10/SMARCA4/KAT6A/NFKB1/MEF2D/MEF2C/FOXP3/NSD1/TMF1/RERG/EHMT1/CTBP2/CREB1/BBS10/DR1/SMARCA1",102
"GO:0046977","TAP binding","6/2088","7/18706",0.857142857142857,7.67898193760263,6.26476557187246,1.21692114488701e-05,0.00275429819126093,0.00275429819126092,"HLA-B/HLA-F/TAPBP/HLA-C/TAP1/TAP2",6
"GO:0001968","fibronectin binding","12/2088","29/18706",0.413793103448276,3.70709472849782,5.17134627016159,3.03398700219733e-05,0.00601283487398636,0.00601283487398636,"ITGB3/ITGB1/ITGA4/IGFBP6/CCDC80/MMP2/LRRC15/THBS1/CTSK/HSD17B12/IGFBP5/LILRB4",12
