"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","68/492","512/19979",0.1328125,5.39321328760163,16.0012465790669,1.72246917080945e-30,1.78398824603364e-27,1.78398824603364e-27,"EFEMP2/LOXL1/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/POSTN/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/CDH2/COL1A2/LUM/GREM1/AEBP1/IGFBP7/CCDC80/HMCN1/ADAMTS5/HTRA1/ICAM1/COL13A1/SDC2/COL16A1/VWF/PRELP/DCN/MFGE8/THBS4/ELN/OGN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/THBS1/CTSC/EDIL3/SERPINF1/COL12A1/MMP11/CRISPLD2/TIMP2/FGL2/GPC6/ANGPTL2/ANGPTL1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL6A2/MMP2",68
"GO:0030312","external encapsulating structure","68/492","517/19979",0.131528046421663,5.34105455174474,15.89032735158,3.13806199830016e-30,1.78398824603364e-27,1.78398824603364e-27,"EFEMP2/LOXL1/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/POSTN/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/CDH2/COL1A2/LUM/GREM1/AEBP1/IGFBP7/CCDC80/HMCN1/ADAMTS5/HTRA1/ICAM1/COL13A1/SDC2/COL16A1/VWF/PRELP/DCN/MFGE8/THBS4/ELN/OGN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/THBS1/CTSC/EDIL3/SERPINF1/COL12A1/MMP11/CRISPLD2/TIMP2/FGL2/GPC6/ANGPTL2/ANGPTL1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL6A2/MMP2",68
"GO:0043292","contractile muscle fiber","37/492","253/19979",0.146245059288538,5.93867894212539,12.5613872204734,2.2509621779539e-18,8.53114665444526e-16,8.53114665444526e-16,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/PECAM1/LDB3/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/ACTA2/SYNM/PDLIM4/FLNA/SYNC/PPP1R12B/SYNPO2/LMOD1/CSRP2/DES/MYH11/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1",37
"GO:0015629","actin cytoskeleton","50/492","502/19979",0.099601593625498,4.04459398179639,10.9775714939148,3.78328270912797e-17,1.07539811006963e-14,1.07539811006963e-14,"CDH1/SORBS1/FERMT2/CRYAB/DLC1/SORBS2/TPM2/RDX/FILIP1/DIXDC1/WIPF1/CDH2/PHLDB2/RHOQ/LDB3/LCP1/MYLK/GBP1/MYL9/SVIL/PALMD/PRKCB/CLIC4/ACTA2/PDLIM4/FLNA/DPYSL3/PPP1R12B/SYNPO2/LMOD1/FILIP1L/MYH11/ACTG2/HSPB7/PGM5/PALLD/VCAM1/CALD1/HIP1/FYN/PDLIM7/JAM3/MYO5A/PDLIM3/NEXN/ASB2/SMTN/CNN1/EVL/CFL2",50
"GO:0030016","myofibril","34/492","243/19979",0.139917695473251,5.68173910134163,11.6672053000223,2.22419029203133e-16,5.05780872407924e-14,5.05780872407924e-14,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/LDB3/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/SYNM/PDLIM4/FLNA/SYNC/PPP1R12B/SYNPO2/LMOD1/CSRP2/DES/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1",34
"GO:0030055","cell-substrate junction","43/492","414/19979",0.103864734299517,4.21771041985782,10.5121915174048,1.53723877799699e-15,2.91306748430429e-13,2.91306748430429e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/CDH2/ITGA1/FZD1/PHLDB2/CAV2/HMCN1/FHL1/LCP1/ICAM1/LAYN/DDR2/ITGA11/SVIL/EFS/ITGBL1/TSPAN4/AKAP12/GJA1/ITGA4/FLNA/SYNPO2/CSRP2/PGM5/CAV1/PALLD/PTPRC/PDLIM7/NEXN/CNN1/EVL/CSRP1",43
"GO:0005925","focal adhesion","42/492","403/19979",0.104218362282878,4.23207044725534,10.4149556835391,2.95816280390547e-15,4.80490158291503e-13,4.80490158291503e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/CDH2/ITGA1/FZD1/PHLDB2/CAV2/FHL1/LCP1/ICAM1/LAYN/DDR2/ITGA11/SVIL/EFS/ITGBL1/TSPAN4/AKAP12/GJA1/ITGA4/FLNA/SYNPO2/CSRP2/PGM5/CAV1/PALLD/PTPRC/PDLIM7/NEXN/CNN1/EVL/CSRP1",42
"GO:0005788","endoplasmic reticulum lumen","38/492","338/19979",0.112426035502959,4.56536537258864,10.5042889019539,5.70032431637908e-15,8.10158593465376e-13,8.10158593465376e-13,"CDH1/LTBP1/TNC/SPARCL1/CLU/CDH2/COL1A2/IGFBP7/PDGFC/ADAMTS5/FKBP7/COL13A1/SDC2/COL16A1/FAM20C/CHRDL1/PTGIS/CERCAM/MFGE8/CALU/RCN3/THBS1/FSTL1/C3/CTSC/COL12A1/IGFBP5/SERPING1/COL4A1/COL8A1/LAMB2/LGALS1/COL3A1/COL6A1/COL8A2/BCHE/COL6A2/CES2",38
"GO:0030018","Z disc","24/492","134/19979",0.17910447761194,7.27302511831089,11.576837500051,2.34029590258838e-14,2.71516582182298e-12,2.71516582182298e-12,"CRYAB/SORBS2/LDB3/JPH2/FBXO32/MYL9/ATP2B4/PDLIM4/FLNA/SYNC/PPP1R12B/SYNPO2/CSRP2/DES/ANK2/PGM5/PALLD/PDLIM7/PDLIM3/PRKD1/NEXN/ASB2/CFL2/CSRP1",24
"GO:0005614","interstitial matrix","21/492","98/19979",0.214285714285714,8.70165505226481,12.1440641196331,2.38800863836674e-14,2.71516582182298e-12,2.71516582182298e-12,"EFEMP2/LOXL1/LTBP1/TNC/MFAP5/COL1A2/LUM/CCDC80/COL16A1/PRELP/DCN/THBS4/ELN/OGN/THBS1/COL12A1/COL8A1/COL3A1/COL6A1/COL8A2/COL6A2",21
