"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","35/482","181/18706",0.193370165745856,7.50452763577176,14.3006726109422,6.78077014560943e-21,1.38124287866064e-17,1.38124287866064e-17,"EFEMP2/LTBP1/SPARC/NID1/LAMA4/MGP/POSTN/TNC/MFAP5/COL1A2/LUM/AEBP1/IGFBP7/HMCN1/COL13A1/COL16A1/VWF/PRELP/DCN/MFGE8/ELN/OGN/EFEMP1/THBS1/EDIL3/COL12A1/FGL2/COL4A1/COL8A1/LAMB2/COL3A1/COL6A1/COL8A2/SRPX/COL6A2",35
"GO:0005518","collagen binding","15/482","65/18706",0.230769230769231,8.95595276093201,10.449482738946,7.50821783724968e-11,7.6471198672388e-08,7.6471198672388e-08,"SPARC/NID1/CTSB/ITGA1/LUM/AEBP1/ANTXR1/DDR2/ITGA11/VWF/LRRC15/THBS1/CTSK/COL6A1/COL6A2",15
"GO:0003779","actin binding","37/482","446/18706",0.0829596412556054,3.21959138864596,7.7156158394894,4.26300523787232e-10,2.8945805565153e-07,2.8945805565153e-07,"SORBS1/FERMT2/SYNE1/TNS1/TPM2/RDX/DIXDC1/WIPF1/MSN/LDB3/MAP1B/LCP1/MYLK/ANTXR1/GBP1/SVIL/KLHL5/TAGLN/PDLIM4/KCNMA1/FLNA/SYNPO2/LMOD1/MYH11/CAP2/PALLD/CALD1/HIP1/PDLIM7/MYO5A/PDLIM3/CCDC88A/NEXN/SMTN/CNN1/EVL/CFL2",37
"GO:0019838","growth factor binding","19/482","135/18706",0.140740740740741,5.46202551098817,8.46178156712407,1.87661824128608e-09,9.55667839374938e-07,9.55667839374938e-07,"LTBP1/IL2RB/IGFBP6/TGFBR1/COL1A2/NRP2/IGFBP7/HTRA1/IL10RA/CHRDL1/IL6ST/THBS1/IGFBP5/COL4A1/FGFR1/COL3A1/A2M/COL6A1/OSMR",19
"GO:0019955","cytokine binding","19/482","143/18706",0.132867132867133,5.15645765023358,8.11423942695336,5.00800089544025e-09,2.04025956480236e-06,2.04025956480236e-06,"LTBP1/IL2RB/TGFBR1/GREM1/NRP2/CSF2RA/IL10RA/GBP1/IL18BP/CHRDL2/ACKR3/CHRDL1/IL6ST/PDPN/THBS1/ITGA4/CD74/A2M/OSMR",19
"GO:0005178","integrin binding","19/482","151/18706",0.125827814569536,4.88326784094969,7.79176530150298,1.24841965037696e-08,4.23838471302979e-06,4.23838471302979e-06,"FERMT2/TNC/LCP1/ADAMTS5/S1PR3/ICAM1/COL16A1/VWF/ITGBL1/MFGE8/TSPAN4/THBS4/THBS1/ITGA4/EDIL3/LAMB2/VCAM1/COL3A1/JAM3",19
"GO:0001968","fibronectin binding","9/482","29/18706",0.310344827586207,12.0442123336672,9.6796735151748,2.94288024752656e-08,8.5637815203023e-06,8.5637815203023e-06,"IGFBP6/LILRB4/CCDC80/LRRC15/THBS1/ITGA4/IGFBP5/CTSK/MMP2",9
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","10/482","42/18706",0.238095238095238,9.24026872159652,8.69449133382987,8.25537188005388e-08,2.04568637926413e-05,2.04568637926413e-05,"COL1A2/COL13A1/COL16A1/COL12A1/COL4A1/COL8A1/COL3A1/COL6A1/COL8A2/COL6A2",10
"GO:0050839","cell adhesion molecule binding","41/482","641/18706",0.0639625585023401,2.48233116046634,6.21063193265084,9.03837870072517e-08,2.04568637926413e-05,2.04568637926413e-05,"CDH1/FERMT2/LILRB2/LRRFIP1/POSTN/TNC/RDX/CDH19/NLGN4X/MSN/CDH2/ITGA1/PHLDB2/PCDH17/HMCN1/LCP1/ADAMTS5/S1PR3/ICAM1/ITGA11/COL16A1/VWF/ITGBL1/MFGE8/TSPAN4/THBS4/THBS1/PTPRM/ITGA4/FLNA/EDIL3/CDH5/PCDH7/CDH11/PALLD/LAMB2/VCAM1/CALD1/COL3A1/JAM3/NEXN",41
"GO:0008307","structural constituent of muscle","10/482","44/18706",0.227272727272727,8.8202565069785,8.44595505512334,1.32923713220728e-07,2.70765603830623e-05,2.70765603830623e-05,"SORBS2/TPM2/MYL9/SYNM/CSRP2/MYH11/PDLIM3/NEXN/SMTN/CSRP1",10
