"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","67/459","512/19979",0.130859375,5.6959465209695,16.5063499729861,1.67048320793375e-31,1.7251068009044e-28,1.7251068009044e-28,"EFEMP2/LOXL1/POSTN/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/COL1A2/LUM/GREM1/CCDC80/HMCN1/ADAMTS5/HTRA1/ICAM1/PRELP/COL13A1/SDC2/COL16A1/OGN/ANGPTL2/DCN/MFGE8/THBS4/ELN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/IGFBP7/CTSC/EDIL3/SERPINF1/MMP11/THBS1/CRISPLD2/VWF/TIMP2/FGL2/GPC6/ANGPTL1/AEBP1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL12A1/COL6A2/MMP2",67
"GO:0030312","external encapsulating structure","67/459","517/19979",0.129593810444874,5.64085999755587,16.394283656197,3.03448865594442e-31,1.7251068009044e-28,1.7251068009044e-28,"EFEMP2/LOXL1/POSTN/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/COL1A2/LUM/GREM1/CCDC80/HMCN1/ADAMTS5/HTRA1/ICAM1/PRELP/COL13A1/SDC2/COL16A1/OGN/ANGPTL2/DCN/MFGE8/THBS4/ELN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/IGFBP7/CTSC/EDIL3/SERPINF1/MMP11/THBS1/CRISPLD2/VWF/TIMP2/FGL2/GPC6/ANGPTL1/AEBP1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL12A1/COL6A2/MMP2",67
"GO:0043292","contractile muscle fiber","37/459","253/19979",0.146245059288538,6.36564278763767,13.1705812925441,2.22258928695885e-19,8.42361339757405e-17,8.42361339757405e-17,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/PECAM1/PPP1R12B/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/SYNPO2/LMOD1/ACTA2/SYNM/PDLIM4/FLNA/SYNC/CSRP2/DES/MYH11/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",37
"GO:0030016","myofibril","34/459","243/19979",0.139917695473251,6.09023014784332,12.2420296741068,2.71538231246133e-17,7.71847422317133e-15,7.71847422317133e-15,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/PPP1R12B/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/SYNPO2/LMOD1/SYNM/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",34
"GO:0015629","actin cytoskeleton","47/459","502/19979",0.0936254980079681,4.07525887734465,10.7007679860879,2.63454076498725e-16,5.990945699581e-14,5.990945699581e-14,"SORBS1/FERMT2/CRYAB/DLC1/SORBS2/TPM2/RDX/FILIP1/DIXDC1/WIPF1/PHLDB2/PPP1R12B/MYLK/GBP1/MYL9/SVIL/PALMD/PRKCB/SYNPO2/CLIC4/LMOD1/ACTA2/PDLIM4/FLNA/DPYSL3/FILIP1L/MYH11/ACTG2/HSPB7/PGM5/PALLD/VCAM1/CALD1/HIP1/FYN/PDLIM7/JAM3/MYO5A/PDLIM3/NEXN/ASB2/SMTN/CNN1/EVL/CFL2/LDB3/RHOQ",47
"GO:0030055","cell-substrate junction","42/459","414/19979",0.101449275362319,4.415806258091,10.7695092795469,6.6721175445753e-16,1.26436627469702e-13,1.26436627469702e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/ITGA1/FZD1/PHLDB2/HMCN1/FHL1/ICAM1/EFS/LAYN/DDR2/ITGA11/SVIL/AKAP12/ITGBL1/TSPAN4/SYNPO2/ITGA4/FLNA/GJA1/CSRP2/VIM/CAV2/PGM5/CAV1/PALLD/PTPRC/PDLIM7/NEXN/CNN1/EVL/CSRP1",42
"GO:0005925","focal adhesion","41/459","403/19979",0.101736972704715,4.42832892738016,10.6614302153564,1.36467564270779e-15,2.21662315108394e-13,2.21662315108394e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/ITGA1/FZD1/PHLDB2/FHL1/ICAM1/EFS/LAYN/DDR2/ITGA11/SVIL/AKAP12/ITGBL1/TSPAN4/SYNPO2/ITGA4/FLNA/GJA1/CSRP2/VIM/CAV2/PGM5/CAV1/PALLD/PTPRC/PDLIM7/NEXN/CNN1/EVL/CSRP1",41
"GO:0030018","Z disc","24/459","134/19979",0.17910447761194,7.79592234903912,12.103687324286,5.0686475745297e-15,7.20381536530033e-13,7.20381536530033e-13,"CRYAB/SORBS2/PPP1R12B/JPH2/FBXO32/MYL9/ATP2B4/SYNPO2/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/PDLIM7/PDLIM3/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",24
"GO:0005614","interstitial matrix","21/459","98/19979",0.214285714285714,9.32726423902895,12.6718117211831,6.09476353855057e-15,7.69971793703555e-13,7.69971793703555e-13,"EFEMP2/LOXL1/LTBP1/TNC/MFAP5/COL1A2/LUM/CCDC80/PRELP/COL16A1/OGN/DCN/THBS4/ELN/THBS1/COL8A1/COL3A1/COL6A1/COL8A2/COL12A1/COL6A2",21
"GO:0031674","I band","25/459","150/19979",0.166666666666667,7.25453885257807,11.7905199726956,7.78986225809182e-15,8.8570733874504e-13,8.8570733874504e-13,"FERMT2/CRYAB/SORBS2/PPP1R12B/JPH2/FBXO32/MYL9/ATP2B4/SYNPO2/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/PDLIM7/PDLIM3/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",25
