"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","35/447","181/18706",0.193370165745856,8.09213047078745,15.0013733281186,5.74819235954463e-22,1.17090678363924e-18,1.17090678363924e-18,"EFEMP2/POSTN/LTBP1/SPARC/NID1/LAMA4/MGP/TNC/MFAP5/COL1A2/LUM/HMCN1/PRELP/COL13A1/COL16A1/OGN/DCN/MFGE8/ELN/EFEMP1/IGFBP7/EDIL3/THBS1/VWF/FGL2/AEBP1/COL4A1/COL8A1/LAMB2/COL3A1/COL6A1/COL8A2/SRPX/COL12A1/COL6A2",35
"GO:0005518","collagen binding","15/447","65/18706",0.230769230769231,9.65720185854414,10.9394060451139,2.60458817733079e-11,2.65277305861141e-08,2.65277305861141e-08,"SPARC/NID1/CTSB/ITGA1/LUM/ANTXR1/DDR2/ITGA11/LRRC15/THBS1/VWF/AEBP1/COL6A1/COL6A2/CTSK",15
"GO:0003779","actin binding","36/447","446/18706",0.0807174887892377,3.37785535859391,7.95237039542032,1.98959045840257e-10,1.35093192125535e-07,1.35093192125535e-07,"SORBS1/FERMT2/SYNE1/TNS1/TPM2/RDX/DIXDC1/WIPF1/MSN/MYLK/ANTXR1/GBP1/SVIL/KLHL5/TAGLN/SYNPO2/LMOD1/PDLIM4/KCNMA1/FLNA/MYH11/CAP2/PALLD/CALD1/HIP1/MAP1B/PDLIM7/MYO5A/PDLIM3/CCDC88A/NEXN/SMTN/CNN1/EVL/CFL2/LDB3",36
"GO:0019838","growth factor binding","19/447","135/18706",0.140740740740741,5.8897008865689,8.92124889531905,5.37287973265368e-10,2.73613900385389e-07,2.73613900385389e-07,"LTBP1/IL2RB/IGFBP6/TGFBR1/FGFR1/COL1A2/HTRA1/CHRDL1/IL10RA/IL6ST/IGFBP7/IGFBP5/THBS1/COL4A1/COL3A1/A2M/COL6A1/OSMR/NRP2",19
"GO:0019955","cytokine binding","19/447","143/18706",0.132867132867133,5.56020713067693,8.56490655865125,1.4546217034554e-09,5.92612881987728e-07,5.92612881987728e-07,"LTBP1/IL2RB/TGFBR1/GREM1/CSF2RA/CHRDL1/IL10RA/GBP1/IL18BP/CHRDL2/ACKR3/IL6ST/PDPN/ITGA4/CD74/THBS1/A2M/OSMR/NRP2",19
"GO:0005178","integrin binding","18/447","151/18706",0.119205298013245,4.98848837726121,7.69946321884873,2.24592865267905e-08,7.62492777584537e-06,7.62492777584537e-06,"FERMT2/TNC/ADAMTS5/S1PR3/ICAM1/COL16A1/ITGBL1/MFGE8/TSPAN4/THBS4/ITGA4/EDIL3/THBS1/VWF/LAMB2/VCAM1/COL3A1/JAM3",18
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","10/447","42/18706",0.238095238095238,9.96377969532332,9.09929154189784,4.07545178659611e-08,1.18595646989947e-05,1.18595646989947e-05,"COL1A2/COL13A1/COL16A1/COL4A1/COL8A1/COL3A1/COL6A1/COL8A2/COL12A1/COL6A2",10
"GO:0008307","structural constituent of muscle","10/447","44/18706",0.227272727272727,9.51088061826317,8.84333074089867,6.58468786221755e-08,1.67662614691714e-05,1.67662614691714e-05,"SORBS2/TPM2/MYL9/SYNM/CSRP2/MYH11/PDLIM3/NEXN/SMTN/CSRP1",10
"GO:0042805","actinin binding","9/447","37/18706",0.243243243243243,10.1792127698168,8.74459891011655,1.61029632181803e-07,3.6446373417148e-05,3.6446373417148e-05,"PKD2/SYNPO2/PDLIM4/CSRP2/PALLD/PDLIM7/PDLIM3/CSRP1/LDB3",9
"GO:0050840","extracellular matrix binding","11/447","61/18706",0.180327868852459,7.54633806432684,8.01265191300207,1.82945004411111e-07,3.72658973985433e-05,3.72658973985433e-05,"LTBP1/NID1/MFAP5/ADAMTS5/LRRC15/DCN/ELN/OLFML2A/THBS1/SLIT2/LGALS1",11
