"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061061","muscle structure development","54/442","573/18842",0.0942408376963351,4.0173888322949,11.3685584677246,2.22855972421285e-18,1.84658458748277e-14,1.84658458748277e-14,"EFEMP2/RBPMS2/EGR2/PLEKHO1/NID1/SYNE1/ZFPM2/TGFBR1/SORBS2/SGCE/DOCK2/GREM1/JPH2/ADAMTS5/MYLK/POPDC2/BOC/RORA/ITGA11/ADAM12/MYL9/SVIL/TAGLN/LMOD1/MEIS1/PDLIM4/QKI/MEF2C/RGS2/CSRP2/DES/MYH11/CAV2/SGCD/ANK2/PGM5/CAV1/LAMB2/BASP1/FHL1/COL3A1/PDLIM7/COL6A1/PDLIM3/MYOCD/PRKD1/ASB2/PRICKLE1/SMTN/CFL2/CSRP1/LDB3/EDNRA/NFATC1",54
"GO:0001944","vasculature development","58/442","714/18842",0.0812324929971989,3.46285663586702,10.3984232257156,1.13089509351035e-16,4.68529837241339e-13,4.68529837241339e-13,"EFEMP2/LOXL1/EGR2/HSPB6/PTPN14/SPARC/SERPINE1/MCAM/CCL2/TGFBR1/AKT3/PECAM1/PLXDC1/AMOTL1/COL1A2/GREM1/MYLK/PKD2/PTGIS/RORA/ADAM12/PRKCB/ACKR3/ATP2B4/DCN/MFGE8/PDPN/THBS4/MEIS1/ACTA2/ADAMTS1/QKI/PTPRM/IGFBP7/C3/SERPINF1/RECK/THBS1/MEF2C/CDH5/AGTR1/COL4A1/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MYOCD/MMP2/PRKD1/EDNRA/NRP2/NFATC1",58
"GO:0003012","muscle system process","46/442","477/18842",0.0964360587002096,4.11096881907093,10.6662947172138,3.68104915065981e-16,8.22048311865831e-13,8.2204831186583e-13,"CRYAB/PRKG1/SORBS2/TPM2/PLN/PPP1R12B/JPH2/TACR2/MYLK/PTGER3/CD38/ATP1A2/KCNJ8/FBXO32/STC1/MYL9/CHRNA3/ATP2B4/IL6ST/DTNA/LMOD1/MEIS1/ACTA2/SYNM/KCNMA1/FLNA/IGFBP5/GJA1/RGS2/DES/MYH11/ANK2/CAV1/F2R/SSPN/GJC1/CALD1/CACNA2D1/HTR2B/MYOCD/PRKD1/ASB2/SMTN/CNN1/EDNRA/KCNE4",46
"GO:0030198","extracellular matrix organization","35/442","278/18842",0.12589928057554,5.36695530453465,11.3689292284989,4.75460980392032e-16,8.22048311865831e-13,8.2204831186583e-13,"EFEMP2/LOXL1/POSTN/ADAMTS2/NID1/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/CCDC80/ADAMTS5/COL13A1/DDR2/COL16A1/PDPN/ELN/ADAMTS1/RECK/MMP11/MYH11/AEBP1/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/HMCN1/COL3A1/COL8A2/COL12A1/CYP1B1/MMP2/PRICKLE1/CTSK",35
"GO:0043062","extracellular structure organization","35/442","279/18842",0.125448028673835,5.34771890559367,11.3394939856468,5.32133529198655e-16,8.22048311865831e-13,8.2204831186583e-13,"EFEMP2/LOXL1/POSTN/ADAMTS2/NID1/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/CCDC80/ADAMTS5/COL13A1/DDR2/COL16A1/PDPN/ELN/ADAMTS1/RECK/MMP11/MYH11/AEBP1/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/HMCN1/COL3A1/COL8A2/COL12A1/CYP1B1/MMP2/PRICKLE1/CTSK",35
"GO:0045229","external encapsulating structure organization","35/442","280/18842",0.125,5.32861990950226,11.3101999328283,5.95255837701543e-16,8.22048311865831e-13,8.2204831186583e-13,"EFEMP2/LOXL1/POSTN/ADAMTS2/NID1/TGFBR1/COL1A2/LUM/PHLDB2/GREM1/CCDC80/ADAMTS5/COL13A1/DDR2/COL16A1/PDPN/ELN/ADAMTS1/RECK/MMP11/MYH11/AEBP1/COL4A1/ADAMTS12/COL8A1/LAMB2/PAPLN/HMCN1/COL3A1/COL8A2/COL12A1/CYP1B1/MMP2/PRICKLE1/CTSK",35
"GO:0006936","muscle contraction","40/442","375/18842",0.106666666666667,4.54708898944193,10.7533490089036,1.16369702086518e-15,1.37748478784127e-12,1.37748478784127e-12,"CRYAB/PRKG1/TPM2/PLN/PPP1R12B/JPH2/TACR2/MYLK/PTGER3/CD38/ATP1A2/KCNJ8/STC1/MYL9/CHRNA3/ATP2B4/DTNA/LMOD1/ACTA2/SYNM/KCNMA1/FLNA/GJA1/RGS2/DES/MYH11/ANK2/CAV1/F2R/SSPN/GJC1/CALD1/CACNA2D1/HTR2B/MYOCD/PRKD1/SMTN/CNN1/EDNRA/KCNE4",40
"GO:0001568","blood vessel development","55/442","687/18842",0.0800582241630277,3.41279877755603,9.98517185711163,1.41596268530675e-15,1.46658335130647e-12,1.46658335130647e-12,"EFEMP2/LOXL1/EGR2/HSPB6/SPARC/SERPINE1/MCAM/CCL2/TGFBR1/AKT3/PECAM1/PLXDC1/AMOTL1/COL1A2/GREM1/MYLK/PKD2/PTGIS/RORA/ADAM12/PRKCB/ACKR3/ATP2B4/DCN/MFGE8/THBS4/MEIS1/ACTA2/ADAMTS1/QKI/PTPRM/IGFBP7/C3/SERPINF1/RECK/THBS1/MEF2C/CDH5/AGTR1/COL4A1/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MYOCD/MMP2/PRKD1/EDNRA/NRP2",55
"GO:0035239","tube morphogenesis","56/442","776/18842",0.0721649484536082,3.07631664878481,9.15477430436854,6.40566241749917e-14,5.8974798657109e-11,5.8974798657109e-11,"EFEMP2/RBPMS2/HSPB6/SPARC/SERPINE1/DLC1/MCAM/CCL2/TGFBR1/DACT1/AKT3/PLXDC1/AMOTL1/GREM1/KIF26B/MYLK/PKD2/PTGIS/RORA/ADAM12/PRKCB/ACKR3/ATP2B4/DCN/MFGE8/THBS4/MEIS1/ADAMTS1/QKI/PTPRM/IGFBP7/C3/SERPINF1/RECK/THBS1/MEF2C/CDH5/AGTR1/COL4A1/ADAMTS12/CAV1/COL8A1/SLIT2/CYBB/FYN/VEGFC/COL3A1/JAM3/COL8A2/CYP1B1/MMP2/PRKD1/ASB2/PRICKLE1/EDNRA/NRP2",56
"GO:0009887","animal organ morphogenesis","48/442","620/18842",0.0774193548387097,3.30030652459495,9.02688132339083,3.64999145831632e-13,3.02438292236091e-10,3.02438292236091e-10,"PBX3/EFEMP2/RBPMS2/SPARC/MGP/SERPINE1/DLC1/CCL2/ZFPM2/TGFBR1/MFAP5/FGFR1/MSN/COL1A2/GREM1/ADAMTS5/KIF26B/MYLK/COL13A1/PKD2/RAB23/STC1/FAM20C/DCN/ELN/TUBA1A/MEIS1/ACTA2/EFEMP1/PTPRM/ALDH1A3/MEF2C/GLI3/ACTG2/CAV1/MEIS2/SLIT2/BASP1/FHL1/COL3A1/HTR2B/MMP2/ASB2/PRICKLE1/EVL/FLI1/EDNRA/NRP2",48
