"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","67/458","512/19979",0.130859375,5.70838308542576,16.5316030858587,1.45933749778823e-31,1.50744388547517e-28,1.50744388547517e-28,"EFEMP2/LOXL1/POSTN/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/COL1A2/LUM/GREM1/CCDC80/ADAMTS5/HTRA1/ICAM1/PRELP/COL13A1/SDC2/COL16A1/OGN/ANGPTL2/DCN/MFGE8/THBS4/ELN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/IGFBP7/CTSC/EDIL3/SERPINF1/MMP11/THBS1/CRISPLD2/VWF/TIMP2/FGL2/GPC6/ANGPTL1/AEBP1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/HMCN1/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL12A1/COL6A2/MMP2",67
"GO:0030312","external encapsulating structure","67/458","517/19979",0.129593810444874,5.65317628576014,16.4194556971654,2.65161633328966e-31,1.50744388547517e-28,1.50744388547517e-28,"EFEMP2/LOXL1/POSTN/ADAMTS2/LTBP1/SPARC/NID1/LAMA4/CTSB/MGP/SERPINE1/TNC/TGFB1I1/MFAP5/SPARCL1/C1QC/ADAM19/COL1A2/LUM/GREM1/CCDC80/ADAMTS5/HTRA1/ICAM1/PRELP/COL13A1/SDC2/COL16A1/OGN/ANGPTL2/DCN/MFGE8/THBS4/ELN/ACTA2/OLFML2A/ADAMTS1/EFEMP1/IGFBP7/CTSC/EDIL3/SERPINF1/MMP11/THBS1/CRISPLD2/VWF/TIMP2/FGL2/GPC6/ANGPTL1/AEBP1/SERPING1/COL4A1/ADAMTS12/COL8A1/LAMB2/LGALS1/PAPLN/HMCN1/COL3A1/A2M/COL6A1/COL8A2/SRPX/COL12A1/COL6A2/MMP2",67
"GO:0043292","contractile muscle fiber","37/458","253/19979",0.146245059288538,6.37954157101679,13.1899675406912,2.06558723959771e-19,7.82857563807532e-17,7.82857563807532e-17,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/PECAM1/PPP1R12B/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/SYNPO2/LMOD1/ACTA2/SYNM/PDLIM4/FLNA/SYNC/CSRP2/DES/MYH11/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",37
"GO:0030016","myofibril","34/458","243/19979",0.139917695473251,6.10352759358097,12.2603183867901,2.54053901472575e-17,7.22148214935796e-15,7.22148214935796e-15,"FERMT2/CRYAB/SYNE1/SORBS2/TPM2/PPP1R12B/JPH2/KCNJ8/FBXO32/MYL9/SVIL/ATP2B4/SYNPO2/LMOD1/SYNM/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/CALD1/PDLIM7/COL6A1/PDLIM3/MMP2/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",34
"GO:0015629","actin cytoskeleton","47/458","502/19979",0.0936254980079681,4.08415682249169,10.7197582653543,2.41968460461621e-16,5.50236279089727e-14,5.50236279089727e-14,"SORBS1/FERMT2/CRYAB/DLC1/SORBS2/TPM2/RDX/FILIP1/DIXDC1/WIPF1/PHLDB2/PPP1R12B/MYLK/GBP1/MYL9/SVIL/PALMD/PRKCB/SYNPO2/CLIC4/LMOD1/ACTA2/PDLIM4/FLNA/DPYSL3/FILIP1L/MYH11/ACTG2/HSPB7/PGM5/PALLD/VCAM1/CALD1/HIP1/FYN/PDLIM7/JAM3/MYO5A/PDLIM3/NEXN/ASB2/SMTN/CNN1/EVL/CFL2/LDB3/RHOQ",47
"GO:0030055","cell-substrate junction","41/458","414/19979",0.0990338164251208,4.32007995274561,10.4560222669205,3.2145894888371e-15,6.0916470813463e-13,6.0916470813463e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/ITGA1/FZD1/PHLDB2/ICAM1/EFS/LAYN/DDR2/ITGA11/SVIL/AKAP12/ITGBL1/TSPAN4/SYNPO2/ITGA4/FLNA/GJA1/CSRP2/CAV2/PGM5/CAV1/PALLD/PTPRC/FHL1/HMCN1/PDLIM7/NEXN/CNN1/EVL/CSRP1",41
"GO:0030018","Z disc","24/458","134/19979",0.17910447761194,7.81294401355667,12.1204677490916,4.8296143356168e-15,7.84467357085186e-13,7.84467357085186e-13,"CRYAB/SORBS2/PPP1R12B/JPH2/FBXO32/MYL9/ATP2B4/SYNPO2/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/PDLIM7/PDLIM3/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",24
"GO:0005614","interstitial matrix","21/458","98/19979",0.214285714285714,9.34762944479102,12.6886319455694,5.83779535218888e-15,8.29696664429845e-13,8.29696664429845e-13,"EFEMP2/LOXL1/LTBP1/TNC/MFAP5/COL1A2/LUM/CCDC80/PRELP/COL16A1/OGN/DCN/THBS4/ELN/THBS1/COL8A1/COL3A1/COL6A1/COL8A2/COL12A1/COL6A2",21
"GO:0005925","focal adhesion","40/458","403/19979",0.0992555831265509,4.32975391983703,10.3433303695181,6.59608595887951e-15,8.33305526138445e-13,8.33305526138445e-13,"SORBS1/FERMT2/DLC1/MCAM/TNS1/TNC/MAP4K4/TGFB1I1/SORBS2/RDX/DIXDC1/MSN/ITGA1/FZD1/PHLDB2/ICAM1/EFS/LAYN/DDR2/ITGA11/SVIL/AKAP12/ITGBL1/TSPAN4/SYNPO2/ITGA4/FLNA/GJA1/CSRP2/CAV2/PGM5/CAV1/PALLD/PTPRC/FHL1/PDLIM7/NEXN/CNN1/EVL/CSRP1",40
"GO:0031674","I band","25/458","150/19979",0.166666666666667,7.27037845705968,11.8071937502824,7.41096720753863e-15,8.42626971497142e-13,8.42626971497142e-13,"FERMT2/CRYAB/SORBS2/PPP1R12B/JPH2/FBXO32/MYL9/ATP2B4/SYNPO2/PDLIM4/FLNA/SYNC/CSRP2/DES/ANK2/PGM5/PALLD/PDLIM7/PDLIM3/PRKD1/NEXN/ASB2/CFL2/CSRP1/LDB3",25
