"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","extracellular matrix structural constituent","35/446","181/18706",0.193370165745856,8.11027426108069,15.0225075520282,5.33947681831979e-22,1.08765142789174e-18,1.08765142789174e-18,"EFEMP2/POSTN/LTBP1/SPARC/NID1/LAMA4/MGP/TNC/MFAP5/COL1A2/LUM/PRELP/COL13A1/COL16A1/OGN/DCN/MFGE8/ELN/EFEMP1/IGFBP7/EDIL3/THBS1/VWF/FGL2/AEBP1/COL4A1/COL8A1/LAMB2/HMCN1/COL3A1/COL6A1/COL8A2/SRPX/COL12A1/COL6A2",35
"GO:0005518","collagen binding","15/446","65/18706",0.230769230769231,9.67885477750949,10.954193179558,2.52362492639257e-11,2.57031198753084e-08,2.57031198753084e-08,"SPARC/NID1/CTSB/ITGA1/LUM/ANTXR1/DDR2/ITGA11/LRRC15/THBS1/VWF/AEBP1/COL6A1/COL6A2/CTSK",15
"GO:0003779","actin binding","36/446","446/18706",0.0807174887892377,3.38542902531722,7.96855255192613,1.86982088963855e-10,1.26960838406458e-07,1.26960838406458e-07,"SORBS1/FERMT2/SYNE1/TNS1/TPM2/RDX/DIXDC1/WIPF1/MSN/MYLK/ANTXR1/GBP1/SVIL/KLHL5/TAGLN/SYNPO2/LMOD1/PDLIM4/KCNMA1/FLNA/MYH11/CAP2/PALLD/CALD1/HIP1/MAP1B/PDLIM7/MYO5A/PDLIM3/CCDC88A/NEXN/SMTN/CNN1/EVL/CFL2/LDB3",36
"GO:0019838","growth factor binding","19/446","135/18706",0.140740740740741,5.90290649393788,8.93508624667989,5.17546991049268e-10,2.6356080519184e-07,2.6356080519184e-07,"LTBP1/IL2RB/IGFBP6/TGFBR1/FGFR1/COL1A2/HTRA1/CHRDL1/IL10RA/IL6ST/IGFBP7/IGFBP5/THBS1/COL4A1/COL3A1/A2M/COL6A1/OSMR/NRP2",19
"GO:0019955","cytokine binding","19/446","143/18706",0.132867132867133,5.57267396280849,8.5784746490027,1.40175276273211e-09,5.71074075537061e-07,5.71074075537061e-07,"LTBP1/IL2RB/TGFBR1/GREM1/CSF2RA/CHRDL1/IL10RA/GBP1/IL18BP/CHRDL2/ACKR3/IL6ST/PDPN/ITGA4/CD74/THBS1/A2M/OSMR/NRP2",19
"GO:0005178","integrin binding","18/446","151/18706",0.119205298013245,4.99967332877973,7.71220233976371,2.17030212687027e-08,7.36817572072455e-06,7.36817572072455e-06,"FERMT2/TNC/ADAMTS5/S1PR3/ICAM1/COL16A1/ITGBL1/MFGE8/TSPAN4/THBS4/ITGA4/EDIL3/THBS1/VWF/LAMB2/VCAM1/COL3A1/JAM3",18
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","10/446","42/18706",0.238095238095238,9.98612000854153,9.11151082710594,3.99058417297973e-08,1.1612599943371e-05,1.1612599943371e-05,"COL1A2/COL13A1/COL16A1/COL4A1/COL8A1/COL3A1/COL6A1/COL8A2/COL12A1/COL6A2",10
"GO:0008307","structural constituent of muscle","10/446","44/18706",0.227272727272727,9.53220546269874,8.8553238766261,6.44820106484439e-08,1.641873196136e-05,1.641873196136e-05,"SORBS2/TPM2/MYL9/SYNM/CSRP2/MYH11/PDLIM3/NEXN/SMTN/CSRP1",10
"GO:0042805","actinin binding","9/446","37/18706",0.243243243243243,10.2020361168343,8.75629060757255,1.58003599747498e-07,3.57614814095171e-05,3.57614814095171e-05,"PKD2/SYNPO2/PDLIM4/CSRP2/PALLD/PDLIM7/PDLIM3/CSRP1/LDB3",9
"GO:0050840","extracellular matrix binding","11/446","61/18706",0.180327868852459,7.56325810482982,8.02415124924332,1.78887452349488e-07,3.64393740435907e-05,3.64393740435907e-05,"LTBP1/NID1/MFAP5/ADAMTS5/LRRC15/DCN/ELN/OLFML2A/THBS1/SLIT2/LGALS1",11
