"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006760","folic acid-containing compound metabolic process","6/19","27/18842",0.222222222222222,220.374269005848,36.2409698650039,1.27733783566157e-13,1.05840213062917e-09,1.05840213062917e-09,"MTHFR/DHFR/MTR/MTRR/TYMS/SLC19A1",6
"GO:0042558","pteridine-containing compound metabolic process","6/19","34/18842",0.176470588235294,175.003095975232,32.2633515389797,5.7794998503148e-13,2.39444678798542e-09,2.39444678798542e-09,"MTHFR/DHFR/MTR/MTRR/TYMS/SLC19A1",6
"GO:0046653","tetrahydrofolate metabolic process","4/19","20/18842",0.2,198.336842105263,28.0526983337704,3.5407127944502e-09,9.77944873827144e-06,9.77944873827144e-06,"MTHFR/DHFR/MTR/TYMS",4
"GO:0006575","modified amino acid metabolic process","6/19","179/18842",0.0335195530726257,33.2408115260218,13.7697516172269,1.65509009335329e-08,3.42851912838134e-05,3.42851912838134e-05,"MTHFR/DHFR/MTR/MTRR/TYMS/SLC19A1",6
"GO:0072528","pyrimidine-containing compound biosynthetic process","4/19","44/18842",0.0909090909090909,90.1531100478469,18.8101114002751,9.77001037781423e-08,0.000143417134270879,0.000143417134270879,"DHFR/TYMS/TK1/UMPS",4
"GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process","3/19","10/18842",0.3,297.505263157895,29.7967253694301,1.03850205844228e-07,0.000143417134270879,0.000143417134270879,"DHFR/TYMS/UMPS",3
"GO:0009636","response to toxic substance","6/19","256/18842",0.0234375,23.2425986842105,11.3840526718591,1.38788384939421e-07,0.000147804711627489,0.000147804711627489,"CDH1/DHFR/ATP7B/ATP7A/SLC19A1/CES2",6
"GO:0071265","L-methionine biosynthetic process","3/19","11/18842",0.272727272727273,270.459330143541,28.4012353616115,1.42703076637691e-07,0.000147804711627489,0.000147804711627489,"MTHFR/MTR/MTRR",3
"GO:0019856","pyrimidine nucleobase biosynthetic process","3/19","12/18842",0.25,247.921052631579,27.1836604539157,1.90149570915855e-07,0.000175064371623197,0.000175064371623197,"DHFR/TYMS/UMPS",3
"GO:0006555","methionine metabolic process","3/19","14/18842",0.214285714285714,212.503759398496,25.1515276529589,3.14210436448885e-07,0.000222242046071556,0.000222242046071556,"MTHFR/MTR/MTRR",3
"GO:0009067","aspartate family amino acid biosynthetic process","3/19","15/18842",0.2,198.336842105263,24.2911231890447,3.92512864985491e-07,0.000222242046071556,0.000222242046071556,"MTHFR/MTR/MTRR",3
"GO:0046655","folic acid metabolic process","3/19","15/18842",0.2,198.336842105263,24.2911231890447,3.92512864985491e-07,0.000222242046071556,0.000222242046071556,"DHFR/MTRR/SLC19A1",3
"GO:0050667","homocysteine metabolic process","3/19","15/18842",0.2,198.336842105263,24.2911231890447,3.92512864985491e-07,0.000222242046071556,0.000222242046071556,"MTHFR/MTR/MTRR",3
"GO:0042908","xenobiotic transport","4/19","63/18842",0.0634920634920635,62.9640768588137,15.6515870810424,4.23537164760765e-07,0.000222242046071556,0.000222242046071556,"ABCC2/ATP7B/ABCC3/SLC19A1",4
"GO:0000097","sulfur amino acid biosynthetic process","3/19","16/18842",0.1875,185.940789473684,23.5124576058127,4.8278503853343e-07,0.000222242046071556,0.000222242046071556,"MTHFR/MTR/MTRR",3
"GO:0009263","deoxyribonucleotide biosynthetic process","3/19","16/18842",0.1875,185.940789473684,23.5124576058127,4.8278503853343e-07,0.000222242046071556,0.000222242046071556,"TYMS/TK1/RRM2",3
"GO:0009265","2'-deoxyribonucleotide biosynthetic process","3/19","16/18842",0.1875,185.940789473684,23.5124576058127,4.8278503853343e-07,0.000222242046071556,0.000222242046071556,"TYMS/TK1/RRM2",3
"GO:0046385","deoxyribose phosphate biosynthetic process","3/19","16/18842",0.1875,185.940789473684,23.5124576058127,4.8278503853343e-07,0.000222242046071556,0.000222242046071556,"TYMS/TK1/RRM2",3
"GO:0006206","pyrimidine nucleobase metabolic process","3/19","17/18842",0.176470588235294,175.003095975232,22.8033313532456,5.85865555413534e-07,0.000241611921751429,0.000241611921751429,"DHFR/TYMS/UMPS",3
"GO:0009130","pyrimidine nucleoside monophosphate biosynthetic process","3/19","17/18842",0.176470588235294,175.003095975232,22.8033313532456,5.85865555413534e-07,0.000241611921751429,0.000241611921751429,"TYMS/TK1/UMPS",3
"GO:0072527","pyrimidine-containing compound metabolic process","4/19","69/18842",0.0579710144927536,57.488939740656,14.9350087999359,6.12340134779148e-07,0.000241611921751429,0.000241611921751429,"DHFR/TYMS/TK1/UMPS",4
"GO:0006855","xenobiotic transmembrane transport","3/19","18/18842",0.166666666666667,165.280701754386,22.1539514160239,7.02590848070335e-07,0.0002646212621414,0.0002646212621414,"ABCC2/ABCC3/SLC19A1",3
"GO:0046112","nucleobase biosynthetic process","3/19","21/18842",0.142857142857143,141.669172932331,20.4913979797703,1.14296728976734e-06,0.000402615857899557,0.000402615857899557,"DHFR/TYMS/UMPS",3
"GO:0009410","response to xenobiotic stimulus","6/19","368/18842",0.016304347826087,16.1687643020595,9.33636876471687,1.16615744503854e-06,0.000402615857899557,0.000402615857899557,"ABCC2/CDH1/MTHFR/ABCC3/SLC19A1/CES2",6
"GO:0009129","pyrimidine nucleoside monophosphate metabolic process","3/19","23/18842",0.130434782608696,129.350114416476,19.5679919566809,1.52001290863538e-06,0.000503793078438111,0.000503793078438111,"TYMS/TK1/UMPS",3
"GO:0006730","one-carbon metabolic process","3/19","24/18842",0.125,123.960526315789,19.1500078501118,1.73605108444711e-06,0.000553266126374181,0.000553266126374181,"MTHFR/DHFR/TYMS",3
"GO:0000096","sulfur amino acid metabolic process","3/19","33/18842",0.0909090909090909,90.1531100478469,16.2852702028374,4.65303000337749e-06,0.00137696452171378,0.00137696452171378,"MTHFR/MTR/MTRR",3
"GO:0006221","pyrimidine nucleotide biosynthetic process","3/19","33/18842",0.0909090909090909,90.1531100478469,16.2852702028374,4.65303000337749e-06,0.00137696452171378,0.00137696452171378,"TYMS/TK1/UMPS",3
"GO:0009112","nucleobase metabolic process","3/19","34/18842",0.0882352941176471,87.5015479876161,16.0389666387754,5.10007255192555e-06,0.00145721383328466,0.00145721383328466,"DHFR/TYMS/UMPS",3
"GO:0006231","dTMP biosynthetic process","2/19","5/18842",0.4,396.673684210526,28.1125767580408,9.61637056368231e-06,0.00252062266559475,0.00252062266559475,"TYMS/TK1",2
"GO:0009177","pyrimidine deoxyribonucleoside monophosphate biosynthetic process","2/19","5/18842",0.4,396.673684210526,28.1125767580408,9.61637056368231e-06,0.00252062266559475,0.00252062266559475,"TYMS/TK1",2
"GO:0009124","nucleoside monophosphate biosynthetic process","3/19","42/18842",0.0714285714285714,70.8345864661654,14.3946344491533,9.73448289874875e-06,0.00252062266559475,0.00252062266559475,"TYMS/TK1/UMPS",3
"GO:0009394","2'-deoxyribonucleotide metabolic process","3/19","46/18842",0.0652173913043478,64.675057208238,13.7372529644653,1.28391386105337e-05,0.00312897360373182,0.00312897360373182,"TYMS/TK1/RRM2",3
"GO:0170034","L-amino acid biosynthetic process","3/19","46/18842",0.0652173913043478,64.675057208238,13.7372529644653,1.28391386105337e-05,0.00312897360373182,0.00312897360373182,"MTHFR/MTR/MTRR",3
