"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005542","folic acid binding","3/19","13/18706",0.230769230769231,227.198380566802,26.0140235128869,2.52453014724878e-07,0.000514246790994577,0.000514246790994577,"DHFR/TYMS/SLC19A1",3
"GO:0072341","modified amino acid binding","4/19","94/18706",0.0425531914893617,41.8947368421053,12.6742038117997,2.18741947428807e-06,0.00162575215178963,0.00162575215178963,"MTHFR/DHFR/TYMS/SLC19A1",4
"GO:0042626","ATPase-coupled transmembrane transporter activity","4/19","99/18706",0.0404040404040404,39.7788410419989,12.335595159813,2.69153656521541e-06,0.00162575215178963,0.00162575215178963,"ABCC2/ATP7B/ABCC3/ATP7A",4
"GO:0042910","xenobiotic transmembrane transporter activity","3/19","29/18706",0.103448275862069,101.847549909256,17.3299238750617,3.19244408795215e-06,0.00162575215178963,0.00162575215178963,"ABCC2/ABCC3/SLC19A1",3
"GO:0019842","vitamin binding","4/19","151/18706",0.0264900662251656,26.0801673056814,9.86675370717601,1.4390857935713e-05,0.00543011690602982,0.00543011690602982,"DHFR/MTR/TYMS/SLC19A1",4
"GO:0005375","copper ion transmembrane transporter activity","2/19","7/18706",0.285714285714286,281.293233082707,23.6503899692031,2.04640077246467e-05,0.00543011690602982,0.00543011690602982,"ATP7B/ATP7A",2
"GO:0015399","primary active transmembrane transporter activity","4/19","166/18706",0.0240963855421687,23.7235256816741,9.3769318262608,2.08930351085535e-05,0.00543011690602982,0.00543011690602982,"ABCC2/ATP7B/ABCC3/ATP7A",4
"GO:0050661","NADP binding","3/19","54/18706",0.0555555555555556,54.6959064327485,12.5997294138775,2.13259377752767e-05,0.00543011690602982,0.00543011690602982,"MTHFR/DHFR/MTRR",3
"GO:0015431","ABC-type glutathione S-conjugate transporter activity","2/19","8/18706",0.25,246.131578947368,22.1122299649244,2.72688135518648e-05,0.00617184146723873,0.00617184146723873,"ABCC2/ABCC3",2
"GO:0045295","gamma-catenin binding","2/19","12/18706",0.166666666666667,164.087719298246,18.0196614454549,6.41208838714226e-05,0.0130614240446088,0.0130614240446088,"CDH1/CDH2",2
"GO:0022804","active transmembrane transporter activity","5/19","459/18706",0.0108932461873638,10.724687535833,6.7262363944956,7.6135932024491e-05,0.0140989903212626,0.0140989903212626,"ABCC2/ATP7B/ABCC3/ATP7A/SLC19A1",5
"GO:0008559","ABC-type xenobiotic transporter activity","2/19","14/18706",0.142857142857143,140.646616541353,16.666807269197,8.83020305386137e-05,0.0149892696839297,0.0149892696839297,"ABCC2/ABCC3",2
"GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","2/19","18/18706",0.111111111111111,109.391812865497,14.6702388159683,0.000148104518785923,0.0215492074833518,0.0215492074833518,"MTHFR/DHFR",2
"GO:0070402","NADPH binding","2/19","18/18706",0.111111111111111,109.391812865497,14.6702388159683,0.000148104518785923,0.0215492074833518,0.0215492074833518,"DHFR/MTRR",2
"GO:0008013","beta-catenin binding","3/19","108/18706",0.0277777777777778,27.3479532163743,8.75611594393766,0.000169549836652391,0.0230248678173948,0.0230248678173948,"CDH1/CDH2/AXIN2",3
"GO:0000900","mRNA regulatory element binding translation repressor activity","2/19","22/18706",0.0909090909090909,89.5023923444976,13.243942468005,0.000223067649252093,0.0283993000954071,0.0283993000954071,"DHFR/TYMS",2
"GO:0015662","P-type ion transporter activity","2/19","25/18706",0.08,78.7621052631579,12.405772646865,0.0002891723499321,0.0327246709339827,0.0327246709339827,"ATP7B/ATP7A",2
"GO:0140358","P-type transmembrane transporter activity","2/19","25/18706",0.08,78.7621052631579,12.405772646865,0.0002891723499321,0.0327246709339827,0.0327246709339827,"ATP7B/ATP7A",2
"GO:0016645","oxidoreductase activity, acting on the CH-NH group of donors","2/19","27/18706",0.0740740740740741,72.9278752436647,11.925817700014,0.000337922108341388,0.0362288070890214,0.0362288070890214,"MTHFR/DHFR",2
"GO:0005310","dicarboxylic acid transmembrane transporter activity","2/19","31/18706",0.0645161290322581,63.5178268251273,11.1081127366083,0.000446591566204267,0.0454853510179046,0.0454853510179046,"ABCC2/SLC19A1",2
