"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090263","positive regulation of canonical Wnt signaling pathway","25/1552","110/18842",0.227272727272727,2.75919634489222,5.54394507073516,2.46118334155051e-06,0.0198123699411829,0.0198123699411829,"SMURF2/TRPM4/XIAP/WNK2/SBNO1/LGR4/DKK2/CCAR2/ILK/WDR20/DDX3X/ATP6AP2/TBL1X/ZRANB1/USP47/CSNK1G2/NFKB1/TNKS/LYPD6/USP34/SOX4/PPM1A/USP46/EGFR/WNK1",25
"GO:0006511","ubiquitin-dependent protein catabolic process","93/1552","712/18842",0.13061797752809,1.58576284315997,4.77378934598534,5.40600679541498e-06,0.0198123699411829,0.0198123699411829,"RAD23A/ZER1/SMURF2/RNF128/AGAP3/LTN1/MIB1/SOCS7/TSPAN17/CSNK1A1/FBXW12/TNFAIP1/UBE3A/UBQLN2/ASB7/RNF187/NEDD4L/HSPBP1/CDC27/CCAR2/WDR20/PTEN/CEBPA/HFE/ARRB1/CACUL1/PSMB9/PTPN23/KCTD5/FBXW2/RC3H2/UBR1/CUL5/TBL1X/KLHL42/TOM1L1/ZNF574/ZRANB1/VPS36/SH3RF2/CUL7/WWP2/RC3H1/RNF115/TRIM3/PPP1R11/L3MBTL3/RNF180/BAG5/HAMP/ANAPC5/USP38/UBE2I/ZNRF1/CUL3/AREL1/FBXL4/FBXO21/APPBP2/PSMB8/NEMF/GIPC1/NFE2L2/OTUD7B/CUL4B/KLHL36/RHOBTB3/UBR3/IPP/PSMB10/RNF111/TOLLIP/CHMP1A/RNF126/ARIH2/UFL1/PLK1/PPP2R5C/PML/RNF34/UBA1/UBE2W/FBXL18/FZR1/YPEL5/USP14/TRAF4/FBXO9/ATXN3/FEM1B/UBA6/RHOBTB2/FBXO16",93
"GO:0009896","positive regulation of catabolic process","84/1552","631/18842",0.133122028526149,1.61616318394955,4.71676092996395,7.46893934752205e-06,0.0198123699411829,0.0198123699411829,"RAD23A/ZER1/RNF128/CPEB3/CDC37/AKT2/VPS13D/ADAM9/CSNK1A1/ELAVL1/SESN3/HELZ/HSPA5/FXR2/ZFP36L1/TNRC6B/CNOT2/UBQLN2/RAB7A/MID2/HSPBP1/OAZ3/DCP2/CCNY/GIGYF2/PTEN/SAMD4B/CEBPA/TNRC6C/CREBRF/ZC3H18/MEFV/CSDE1/RC3H2/ZNF268/WDR24/RAB3GAP1/ZBTB20/CALCOCO2/PRKCD/PCSK9/SH3RF2/OSBPL7/AGO3/RC3H1/TTC5/PLK2/ABCA2/LRP1/STK11/L3MBTL3/RNF180/PNPLA2/HAMP/CNOT7/SNCA/SPTLC2/PUM2/DAGLB/PRKAA2/UPF1/ARNT/LSM4/NFE2L2/ZC3H12D/GGA3/UBR3/PLIN5/DDX6/FXR1/TMTC3/UFL1/XRN1/PLK1/EPM2A/ATG7/SNX1/METTL14/FZR1/PHKA1/ATXN3/PRKACA/RHBDD1/OAZ1",84
"GO:0019941","modification-dependent protein catabolic process","93/1552","722/18842",0.128808864265928,1.56379936887797,4.62822457580733,9.5642625832406e-06,0.0198123699411829,0.0198123699411829,"RAD23A/ZER1/SMURF2/RNF128/AGAP3/LTN1/MIB1/SOCS7/TSPAN17/CSNK1A1/FBXW12/TNFAIP1/UBE3A/UBQLN2/ASB7/RNF187/NEDD4L/HSPBP1/CDC27/CCAR2/WDR20/PTEN/CEBPA/HFE/ARRB1/CACUL1/PSMB9/PTPN23/KCTD5/FBXW2/RC3H2/UBR1/CUL5/TBL1X/KLHL42/TOM1L1/ZNF574/ZRANB1/VPS36/SH3RF2/CUL7/WWP2/RC3H1/RNF115/TRIM3/PPP1R11/L3MBTL3/RNF180/BAG5/HAMP/ANAPC5/USP38/UBE2I/ZNRF1/CUL3/AREL1/FBXL4/FBXO21/APPBP2/PSMB8/NEMF/GIPC1/NFE2L2/OTUD7B/CUL4B/KLHL36/RHOBTB3/UBR3/IPP/PSMB10/RNF111/TOLLIP/CHMP1A/RNF126/ARIH2/UFL1/PLK1/PPP2R5C/PML/RNF34/UBA1/UBE2W/FBXL18/FZR1/YPEL5/USP14/TRAF4/FBXO9/ATXN3/FEM1B/UBA6/RHOBTB2/FBXO16",93
"GO:0043632","modification-dependent macromolecule catabolic process","93/1552","728/18842",0.127747252747253,1.55091091254107,4.54192773049439,1.33360841744257e-05,0.0221005586938583,0.0221005586938583,"RAD23A/ZER1/SMURF2/RNF128/AGAP3/LTN1/MIB1/SOCS7/TSPAN17/CSNK1A1/FBXW12/TNFAIP1/UBE3A/UBQLN2/ASB7/RNF187/NEDD4L/HSPBP1/CDC27/CCAR2/WDR20/PTEN/CEBPA/HFE/ARRB1/CACUL1/PSMB9/PTPN23/KCTD5/FBXW2/RC3H2/UBR1/CUL5/TBL1X/KLHL42/TOM1L1/ZNF574/ZRANB1/VPS36/SH3RF2/CUL7/WWP2/RC3H1/RNF115/TRIM3/PPP1R11/L3MBTL3/RNF180/BAG5/HAMP/ANAPC5/USP38/UBE2I/ZNRF1/CUL3/AREL1/FBXL4/FBXO21/APPBP2/PSMB8/NEMF/GIPC1/NFE2L2/OTUD7B/CUL4B/KLHL36/RHOBTB3/UBR3/IPP/PSMB10/RNF111/TOLLIP/CHMP1A/RNF126/ARIH2/UFL1/PLK1/PPP2R5C/PML/RNF34/UBA1/UBE2W/FBXL18/FZR1/YPEL5/USP14/TRAF4/FBXO9/ATXN3/FEM1B/UBA6/RHOBTB2/FBXO16",93
"GO:1903432","regulation of TORC1 signaling","22/1552","101/18842",0.217821782178218,2.64445748698581,4.96463464501207,1.98489422020283e-05,0.0274113891810011,0.0274113891810011,"NPRL2/RRAGD/CSNK1A1/SESN3/RHEBL1/UBE3A/WDR59/AKT1S1/WDR24/STK11/CUL3/GPR137/NLK/PRKAA2/OTUD7B/RRAGC/SIK3/UBE2W/RPS6KB1/ATXN3/PRKACA/SAR1A",22
"GO:0030177","positive regulation of Wnt signaling pathway","27/1552","142/18842",0.190140845070423,2.30839806882532,4.6888204224423,3.30280584621152e-05,0.0364284974856703,0.0364284974856703,"SMURF2/TRPM4/DKK1/XIAP/WNK2/SBNO1/LGR4/DKK2/CCAR2/ILK/WDR20/DDX3X/ATP6AP2/TBL1X/ZRANB1/USP47/CSNK1G2/SMARCA4/NFKB1/TNKS/LYPD6/USP34/SOX4/PPM1A/USP46/EGFR/WNK1",27
"GO:0010498","proteasomal protein catabolic process","83/1552","649/18842",0.12788906009245,1.55263251949867,4.29246697505558,3.70700723650084e-05,0.0364284974856703,0.0364284974856703,"RAD23A/ZER1/SMURF2/AGAP3/LTN1/SOCS7/TSPAN17/CSNK1A1/FBXW12/TNFAIP1/HSPA5/UBE3A/UBQLN2/ASB7/RNF187/NEDD4L/HSPBP1/CDC27/CCAR2/JKAMP/CEBPA/HFE/ARRB1/PSMB9/KCTD5/FBXW2/UBR1/CUL5/NUDT15/TBL1X/KLHL42/ZNF574/SH3RF2/CUL7/OSBPL7/WWP2/TRIM3/MAN1A2/RNF180/BAG5/HAMP/ANAPC5/USP38/ZNRF1/CUL3/FBXL4/FBXO21/CANX/APPBP2/PSMB8/NEMF/GIPC1/NFE2L2/CUL4B/KLHL36/RHOBTB3/UBR3/IPP/PSMB10/TMTC3/RNF126/ARIH2/TMUB2/TMF1/UFL1/PLK1/PPP2R5C/PML/RNF34/PSME3/UBE2W/FBXL18/FZR1/YPEL5/USP14/TRAF4/FBXO9/ATXN3/TMEM67/FEM1B/PRKACA/FBXO16/RHBDD1",83
"GO:0038202","TORC1 signaling","23/1552","113/18842",0.20353982300885,2.47106787701852,4.6991031209197,4.09377437183888e-05,0.0364284974856703,0.0364284974856703,"NPRL2/RRAGD/CSNK1A1/SESN3/RHEBL1/UBE3A/RPS6KA6/WDR59/AKT1S1/WDR24/STK11/CUL3/GPR137/NLK/PRKAA2/OTUD7B/RRAGC/SIK3/UBE2W/RPS6KB1/ATXN3/PRKACA/SAR1A",23
"GO:1904262","negative regulation of TORC1 signaling","14/1552","51/18842",0.274509803921569,3.33267636951688,4.99763999227375,4.39639120029813e-05,0.0364284974856703,0.0364284974856703,"NPRL2/SESN3/UBE3A/WDR59/AKT1S1/WDR24/STK11/NLK/PRKAA2/OTUD7B/UBE2W/ATXN3/PRKACA/SAR1A",14
