"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008134","transcription factor binding","85/1605","594/18706",0.143097643097643,1.66777851201527,5.06696703641821,1.8186982161147e-06,0.002613672481847,0.002613672481847,"PARP9/NAAA/HMGA1/TCF12/ZBTB49/PBX1/HES1/GATA4/RBPJ/CNOT2/ID4/TAF10/DOT1L/STRN/TEAD2/TFAM/BDP1/PER3/SRF/CBX5/ZNF618/HMGN3/TACC1/DNMT3A/CEBPA/CAND1/ELK1/CIITA/DDX3X/SMAD4/GTF2A1/GATA3/DR1/MAPK14/ZNHIT3/MIXL1/CEBPG/MED17/TCF3/WWP2/STAT5B/LMO4/ZNF516/ID2/MED14/UBE2I/CNOT7/NLK/NCOA2/YWHAH/MAX/HDAC4/MED25/SRY/DDX5/IKZF4/LCOR/ARNT/NFE2L2/SMARCA4/ESRRB/NFKB1/FOXP3/KAT6A/WIZ/MED13/NSD1/TMF1/EHMT1/CTBP2/CREB1/BBS10/NUCKS1/HES6/TFDP1/TCF7L2/MEF2D/SUZ12/TBX3/PARP10/YAP1/AKAP8/TP53BP1/MED16/STAT1",85
"GO:0046977","TAP binding","6/1605","7/18706",0.857142857142857,9.98985313751669,7.28782687556692,2.56619782213746e-06,0.002613672481847,0.002613672481847,"HLA-C/HLA-F/TAPBP/TAP1/TAP2/HLA-B",6
"GO:0019904","protein domain specific binding","90/1605","651/18706",0.138248847926267,1.61126663508334,4.86326640311951,3.8873100505561e-06,0.00263948352432759,0.00263948352432759,"MYB/LPAR2/FKBP8/SOCS7/MCL1/ARHGAP1/ADAM9/TCF12/EPB41L5/HES1/ABI2/HSPA5/SKIL/PAWR/ESPN/PLSCR4/STRN/CADM1/TEAD2/NEFL/PRRG4/INPP5D/DICER1/OAZ3/E2F4/PTEN/EHD2/CEBPA/CNTLN/CDC42/STRN3/GATA3/OSBP/KCNAB1/RAPGEF1/PLEKHA1/TOM1L1/CEP68/VAPA/MOSPD2/STK11/ARHGAP5/UBE2I/KIF21A/CLCN3/CUL3/OCLN/SNCA/USP47/NLK/NCOA2/CACYBP/YWHAH/ENKUR/DNM2/DDX5/IKZF4/WBP11/LSM4/ARFIP2/NFE2L2/LAMP2/KPNB1/DDX6/CHMP1A/IRF3/FZD3/SRP72/EPS15/ATRX/ADAM10/EHMT1/ACOX1/RUFY2/PRKAR1A/POU3F3/INSC/ZXDB/PTPN6/LAMP1/SSX2IP/TRAF4/TFDP1/TCF7L2/CD2AP/KIDINS220/ACSL3/MAP2K2/PRKACA/TRADD",90
"GO:0140297","DNA-binding transcription factor binding","70/1605","489/18706",0.143149284253579,1.66838038083953,4.58823142389329,1.44352331351472e-05,0.00735114247407373,0.00735114247407373,"PARP9/NAAA/HMGA1/TCF12/ZBTB49/PBX1/HES1/GATA4/RBPJ/ID4/TAF10/DOT1L/STRN/SRF/CBX5/HMGN3/TACC1/DNMT3A/CEBPA/ELK1/CIITA/SMAD4/GTF2A1/GATA3/MAPK14/ZNHIT3/MIXL1/CEBPG/MED17/TCF3/WWP2/STAT5B/LMO4/ZNF516/ID2/MED14/CNOT7/NLK/NCOA2/YWHAH/MAX/HDAC4/MED25/SRY/DDX5/IKZF4/LCOR/ARNT/NFE2L2/SMARCA4/ESRRB/FOXP3/KAT6A/MED13/NSD1/TMF1/CTBP2/CREB1/BBS10/NUCKS1/HES6/TFDP1/TCF7L2/MEF2D/TBX3/PARP10/YAP1/AKAP8/TP53BP1/MED16",70
"GO:0003712","transcription coregulator activity","74/1605","551/18706",0.134301270417423,1.56525829559396,4.12600964272695,7.26416812232831e-05,0.0248646999086156,0.0248646999086156,"PARP9/SAP30L/HMGA1/TADA2A/IRF2BP2/PAWR/UBE3A/CNOT2/LPIN3/MED23/ID4/MID2/DOT1L/RCOR3/TACC1/KDM5B/JMY/TAF6L/DNMT3A/SSBP2/BCLAF1/RBPMS/ARRB1/AFF4/TLE6/CIITA/NFKBIB/BEND6/ZMYND11/TBL1X/ATF7IP2/CEBPG/TRIP11/AFF3/MED17/LMO4/COPS2/DYRK1A/ID2/MED14/CNOT7/EZH1/NCOA2/ZNF451/CCAR1/ACTN1/LCOR/SMARCA4/DYRK1B/NFKB1/USP22/ZMIZ1/FOXP3/CCDC124/ACTL6B/KAT6A/EWSR1/MED13/NSD1/TMF1/CTBP2/SF1/PML/ZXDB/SUFU/MECP2/NUCKS1/HELZ2/TOX3/PARP10/TRIM14/YAP1/TP53BP1/MED16",74
"GO:0042393","histone binding","31/1605","174/18706",0.17816091954023,2.07643499122713,4.37025628718573,7.32391749885586e-05,0.0248646999086156,0.0248646999086156,"PARP9/SAP30L/IPO7/SCML4/SBNO1/CHD5/WDTC1/USP49/KDM5B/ASF1B/TSPYL1/SBNO2/TBL1X/GLYR1/NAP1L4/L3MBTL3/RSF1/SNCA/EZH1/PRMT7/NAP1L1/HDAC4/TONSL/SMARCA4/TNKS/ATRX/BRD3/SET/ZZZ3/TP53BP1/STAT1",31
"GO:0046332","SMAD binding","18/1605","79/18706",0.227848101265823,2.65553058085887,4.5173622358043,9.98380387682843e-05,0.0256722881300084,0.0256722881300084,"SMURF2/LDLRAD4/IPO7/RGCC/TCF12/GATA4/SKIL/ACVR1B/RANBP3/SMAD4/MTMR4/TRIM33/DDX5/ZMIZ1/SMAD5/RNF111/PPM1A/PML",18
"GO:0051020","GTPase binding","48/1605","323/18706",0.148606811145511,1.73198692167472,4.06538808839056,0.000124798025505833,0.0256722881300084,0.0256722881300084,"DIAPH3/IPO7/RRAGD/ARHGAP1/PKN2/RADIL/TNFAIP1/ABI2/CDC42EP4/PLEKHG2/DAAM1/RAB7A/SGSM2/PAK1/GCC1/EHD1/RUSC2/RANBP3/XPOT/PAK2/CSE1L/STRN3/FGD2/RAB3GAP1/GGA2/EVI5/TRIP11/PEX5L/RANBP1/ABCA1/EXOC5/ARFIP2/KPNB1/RHOBTB3/YIPF2/AKAP13/GGA3/RRAGC/SRGAP1/MYO9B/BICD1/CDC42EP5/FARP1/RAB3IP/GAPVD1/FGD3/XPO6/TNPO1",48
"GO:0030881","beta-2-microglobulin binding","6/1605","11/18706",0.545454545454545,6.3571792693288,5.44471821854787,0.000125072817976112,0.0256722881300084,0.0256722881300084,"HLA-G/HLA-C/HFE/HLA-F/MR1/HLA-B",6
"GO:0031267","small GTPase binding","44/1605","289/18706",0.152249134948097,1.77443758151969,4.06472827473838,0.00013466044377533,0.0256722881300084,0.0256722881300084,"DIAPH3/IPO7/ARHGAP1/PKN2/TNFAIP1/ABI2/CDC42EP4/PLEKHG2/DAAM1/RAB7A/SGSM2/PAK1/GCC1/EHD1/RUSC2/RANBP3/XPOT/PAK2/CSE1L/STRN3/FGD2/RAB3GAP1/GGA2/EVI5/TRIP11/PEX5L/RANBP1/ABCA1/EXOC5/ARFIP2/KPNB1/RHOBTB3/YIPF2/AKAP13/GGA3/SRGAP1/MYO9B/BICD1/CDC42EP5/FARP1/GAPVD1/FGD3/XPO6/TNPO1",44
