"Tier","Ontology","Term","p.adjust","Count"
"All","BP","muscle structure development",8.69160344501081e-07,113
"All","BP","actin cytoskeleton organization",9.11322057461467e-07,131
"All","BP","heart development",2.83413395842068e-06,90
"All","BP","supramolecular fiber organization",4.22952643586902e-06,140
"All","BP","cell morphogenesis",8.29238485950291e-06,134
"Tier2_DEG_WGCNA","BP","muscle structure development",1.84658458748277e-14,54
"Tier2_DEG_WGCNA","BP","vasculature development",4.68529837241339e-13,58
"Tier2_DEG_WGCNA","BP","muscle system process",8.22048311865831e-13,46
"Tier2_DEG_WGCNA","BP","extracellular matrix organization",8.22048311865831e-13,35
"Tier2_DEG_WGCNA","BP","extracellular structure organization",8.22048311865831e-13,35
"Tier3_DEG_Metab","BP","folic acid-containing compound metabolic process",1.05840213062917e-09,6
"Tier3_DEG_Metab","BP","pteridine-containing compound metabolic process",2.39444678798542e-09,6
"Tier3_DEG_Metab","BP","tetrahydrofolate metabolic process",9.77944873827144e-06,4
"Tier3_DEG_Metab","BP","modified amino acid metabolic process",3.42851912838134e-05,6
"Tier3_DEG_Metab","BP","pyrimidine-containing compound biosynthetic process",0.000143417134270879,4
"Tier4_MultiDEG","BP","positive regulation of canonical Wnt signaling pathway",0.0198123699411829,25
"Tier4_MultiDEG","BP","ubiquitin-dependent protein catabolic process",0.0198123699411829,93
"Tier4_MultiDEG","BP","positive regulation of catabolic process",0.0198123699411829,84
"Tier4_MultiDEG","BP","modification-dependent protein catabolic process",0.0198123699411829,93
"Tier4_MultiDEG","BP","modification-dependent macromolecule catabolic process",0.0221005586938583,93
"Tier5_WGCNA_Hub","BP","lymphocyte activation",0.00505220373799142,7
"Tier5_WGCNA_Hub","BP","regulation of lymphocyte activation",0.00505220373799142,6
"Tier5_WGCNA_Hub","BP","T cell activation",0.00562688188548094,6
"Tier5_WGCNA_Hub","BP","regulation of leukocyte activation",0.00562688188548094,6
"Tier5_WGCNA_Hub","BP","regulation of cell activation",0.00757322448096162,6
"HighPriority","BP","muscle structure development",3.29226278762973e-13,54
"HighPriority","BP","extracellular matrix organization",3.29226278762973e-13,37
