"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"C0014070","Encephalomyelitis",775,-0.327484447965636,-1.60745912610467,5.36044227657463e-09,4.62498959622859e-05,4.20540803024324e-05,4738,"tags=35%, list=27%, signal=27%","3569/240/4929/56902/2645/54106/1906/8932/26073/8560/1029/5741/960/7351/406934/57506/1536/4741/149233/7412/11343/79792/834/2099/406938/1440/7186/23765/9536/6271/118788/10501/841/1043/5880/266743/1312/5713/857/6648/5743/1880/23621/596/940/10385/1236/55004/930/3574/2350/50616/1958/1233/117289/64689/8398/2532/942/6620/5744/4914/409/3996/6375/5594/3596/4615/4899/6540/2324/59352/177/3777/6382/7423/10981/4353/998/6833/5764/1522/3958/128/89886/51573/6387/7132/246778/1364/23645/1869/6347/57794/4340/8651/1238/57599/6361/11240/1410/6285/914/6778/9242/8428/5730/23604/1535/27178/54858/3683/6356/2260/6373/57546/5478/3456/6404/51083/117196/284/4313/10673/1025/1374/1493/55065/5879/2911/53342/28959/954/5894/1234/3589/2067/51310/1822/6550/2056/1365/3340/7408/7074/6614/867/3578/79654/7421/2596/5093/353/3902/6337/151306/25897/1843/8626/4790/208/3689/5624/160364/51082/2914/23139/2735/199/3371/3164/5321/27352/5725/340348/958/6853/4780/2100/51477/1191/51588/60/4155/5734/962/10392/6367/9466/7052/1437/8654/151056/2625/50488/5970/682/1268/7965/5293/8788/22821/9423/8639/952/140885/7293/491/29108/51548/6352/9446/410/3560/972/6538/84818/6612/3949/165140/9034/8720/79813/2806/5777/5696/54795/8837/4137/8878/9023/1240/4261/23038/5595/408/1995/9235/2833/3659/3107/5010/2740/3627/50943/54567/83692/182/6992/80331/259197/3581/2934/1956/3661/3383/7043/1032/4684/4055/5989/6622/6794/9402/5698/56963/6609/3965/9021/6772"
"C0426429","Broad nasal tip",121,0.452363946128857,2.19325710623365,2.58357018291741e-08,7.43034784607046e-05,6.75626265729244e-05,2534,"tags=37%, list=14%, signal=32%","2186/196528/317662/5573/79868/284058/7994/11043/7592/51132/7552/546/84679/85440/1968/1183/6885/8573/4204/79718/23545/55869/57465/9851/1756/170692/7403/178/55784/57492/8239/4893/6872/116442/23126/2182/11011/5792/51322/3480/1741/54880/81887/4036/22866"
"C1865017","Thin upper lip vermilion",192,0.389562500668051,2.0380473256367,2.18674822289538e-08,7.43034784607046e-05,6.75626265729244e-05,2587,"tags=33%, list=15%, signal=29%","9321/2186/79868/22995/7994/6857/11043/7592/10735/5718/7552/546/84679/1183/57728/25836/169792/4204/7703/55869/9126/4841/4774/1213/23141/57465/55788/84188/5781/1756/55023/6601/8493/8924/163786/178/1911/55784/6651/23556/57492/8239/6872/2033/23394/6605/11128/116442/79648/23126/158/10484/4952/10075/2182/6654/9949/4281/51322/3480/1741/81887/22866/4297"
"C1857486","Low-set, posteriorly rotated ears",212,0.365780329401258,1.90941838664414,6.21310376445875e-08,0.000134016648199375,0.000121858585148713,2746,"tags=32%, list=16%, signal=27%","80184/23512/196528/317662/341640/91147/7994/79738/64324/161742/79848/123016/5193/2773/84100/6655/546/9702/51057/22930/25836/55212/55869/84294/673/9126/585/23426/55780/55636/8504/153241/5781/9851/5194/6497/5828/23322/80144/8726/3643/23556/6519/57492/8239/4893/57545/9581/5332/22954/25914/83737/4952/79659/2239/2245/701/6654/166379/3981/54880/5190/55691/4297/8036/64093/51259"
"C1333064","Classical Hodgkin's Lymphoma",251,-0.406306714584533,-1.83898164820701,1.0967366781585e-07,0.00018925288118303,0.000172083757101374,3631,"tags=34%, list=21%, signal=27%","9020/942/5594/4792/3596/6382/467/4118/2208/6776/23205/2788/9046/3122/3361/8651/22809/6949/6361/3702/6778/3002/9242/51750/5971/10255/200942/783/973/397/9709/8764/3315/51083/3082/1493/974/1822/2669/5133/3902/3492/8626/4790/2624/79885/5770/91851/958/80380/51477/6367/2625/9294/5293/952/4000/8988/6352/56996/9260/3949/3398/8720/4277/8837/4261/3726/4283/3107/10999/3563/50943/5452/6813/5371/3135/3727/7014/6622/9402/5698/9021/6772/3385"
"C1865037","Cone-shaped epiphysis",44,0.606501925578052,2.40925271600914,2.79180439442451e-07,0.000381351799697414,0.00034675535748296,2450,"tags=43%, list=14%, signal=37%","9321/80184/5144/5573/22995/79848/51626/57728/27130/6885/2261/153241/5932/545/2254/5116/79659/57560/10733"
"C0010823","Cytomegalovirus Infections",409,-0.355070588939202,-1.67875962297547,3.09395294144865e-07,0.000381351799697414,0.00034675535748296,4748,"tags=38%, list=27%, signal=28%","9636/3569/240/4744/54106/2539/26073/9825/56955/4741/7412/57292/79792/834/2099/406938/1440/2316/3265/6868/2217/841/2353/339896/5743/22937/4335/940/3809/10578/1236/6657/930/3574/50616/64689/3620/23523/3638/6720/3916/3394/5594/4899/59352/4791/3958/6387/7132/1869/30835/5272/6347/3434/9118/3804/257101/11076/3002/320/3683/10682/4245/680/5580/3456/117196/10673/3806/1025/1493/23164/6496/1234/2521/3589/60489/2669/11314/9564/2056/11278/9437/5133/7421/353/3133/4920/10148/25897/1050/4790/3004/7057/527/3689/10859/6672/2624/25939/3111/958/4035/79168/4780/10533/60/10392/51744/9628/91543/5970/682/7965/5293/8639/23263/29119/27163/4000/7293/6352/3802/10663/6612/165140/1154/3106/3280/5595/3726/55902/2833/6721/3107/3627/50943/1956/3661/3383/5371/4524/4684/3135/113451/3727/6622/9402/6773/2220/3965/9021/6772/84444/27183"
"C2674608","Feeding difficulties in infancy",277,0.321835862857204,1.73070154614815,5.93510369483339e-07,0.000568978607544695,0.000517360559504015,2217,"tags=29%, list=13%, signal=25%","1629/23512/7337/538/7259/196528/317662/91147/284058/64324/79848/11231/5193/5980/55163/51626/6655/546/93627/57728/22930/7466/65125/166785/9731/25836/8573/4204/7703/4976/134728/23545/55869/673/9126/55636/2074/55788/8504/3190/153241/9343/5781/9851/5194/6497/5828/55023/6601/23322/9326/57724/8726/3643/7403/25942/3908/84295/10102/493856/200894/23556/57492/79147/4893/57545/594/2033/23394/79600/6605/23126/4952/79659/6340/701/57560/6654/29072"
"C0019829","Hodgkin Disease",784,-0.309146919773002,-1.51864811086153,5.3286258264063e-07,0.000568978607544695,0.000517360559504015,4823,"tags=34%, list=27%, signal=26%","64084/3562/9370/2641/4496/1030/7490/3587/11186/3569/240/54106/5816/4256/8932/9048/1029/5741/50802/960/2258/6256/2030/8503/80737/4493/1440/4501/7186/710/23765/2316/8991/5015/2217/5627/83417/5063/7517/7345/56052/11040/2353/30009/5743/58191/4544/596/940/118/4878/598/54535/3110/1236/2952/84300/930/3574/1958/1233/2671/7015/921/3620/942/8888/9139/5594/4792/3596/4615/2324/84959/3813/919/177/6382/10573/2688/4791/4118/2208/3958/6776/6387/7132/9191/2768/6347/23205/11333/1071/3142/3122/3361/8874/6688/7350/8651/6949/6361/846/3702/6778/3002/9242/51750/51517/5971/10255/23604/1630/83881/200942/4026/3683/6356/1017/973/10018/397/9709/50964/5580/51083/284/4313/10673/3806/3082/1493/57410/2911/55201/951/599/2691/1234/974/1822/2669/9564/2056/4499/5133/3578/5296/7535/7421/2596/283297/3902/1999/3690/3492/4185/94/83933/4790/7515/164656/7373/28955/51107/79885/5770/3371/6656/3111/91851/4494/958/5502/8741/80380/4780/2100/51477/1191/7001/752/60/6689/6367/9628/28755/2668/79971/1437/8654/2625/682/1268/5293/407/8639/5979/811/27036/952/643/27163/4150/7293/51548/201633/79109/6352/56996/5347/9970/9641/3560/9260/7161/23274/3949/11334/4772/9940/3398/4277/79813/3106/8837/2263/4261/54776/7185/5595/3726/6736/4283/2833/3107/25/10999/2740/3627/3563/50943/54567/4068/4495/104/5452/29781/1211/6890/22927/3383/5371/4524/4684/117286/3135/6891/3727/5698/1112/3903/3965/6772/3077/6929"
"C0275518","Acute infectious disease",169,-0.433594274018901,-1.89279066356414,7.40314965513495e-07,0.000580676138404585,0.000527996884016467,5909,"tags=50%, list=33%, signal=34%","4284/2623/3687/7037/3119/3700/590/3565/3429/90441/7040/5715/4843/5443/27040/3569/2539/9048/1536/834/7538/2099/6290/3096/30008/2353/596/940/7433/50616/9172/6375/3596/4615/1056/467/4353/7132/246778/6347/3692/11076/3002/54498/6300/64135/3456/23476/84941/1025/6737/10998/1493/53342/1234/3589/60489/5133/7057/2624/51477/2209/2775/952/8988/6352/339345/972/9260/326/3106/5269/5595/3726/6736/2833/3661/6890/3383/4684/10580/6891/3727/83666/6772"
