"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03013","Nucleocytoplasmic transport",96,0.434827549600816,2.0077224445656,4.00687893205332e-06,0.000176803532876853,0.000136160736138164,3668,"tags=45%, list=21%, signal=36%","3837/10527/3842/5411/57187/5901/3841/7175/9972/1915/5903/26019/79902/7514/387082/55161/53371/57122/10526/10073/55916/64901/3843/3838/79023/51068/4927/23279/1434/23225/25909/55705/57510/65109/348995/9631/3836/55706/10762/4686/9984/23165/4928",0.610526878385931
"hsa05169","Epstein-Barr virus infection",192,-0.430402398054137,-1.90859211145663,2.98934789586086e-07,8.17638127800269e-05,6.29683171848484e-05,4963,"tags=45%, list=28%, signal=33%","3654/894/9612/3665/9636/3569/3113/960/57506/8503/7186/841/3718/5713/9861/596/5714/917/930/5336/5702/9020/916/4792/3109/4615/3451/919/4791/8517/2208/5719/915/10454/1869/3122/6300/5971/3683/1017/10018/5709/1870/3456/3444/5879/7297/5704/11047/5296/3133/6892/4616/4790/208/10379/5600/3111/958/5970/5293/811/3134/637/4940/9641/5708/5603/3112/8819/3106/3280/3107/3627/79685/8717/5609/4939/3661/6890/3383/3135/6891/6773/6772/55080/4793",0.674962860011025
"hsa04650","Natural killer cell mediated cytotoxicity",121,-0.455997222634828,-1.90557726378017,1.67287177690364e-06,0.000118104747449397,9.09553621042327e-05,4415,"tags=45%, list=25%, signal=34%","57292/8503/3265/5880/7409/3809/5336/5594/3451/919/5579/5335/5533/3804/3002/5881/3683/3456/3444/3806/5879/10870/5894/9437/5296/7535/7462/3133/3689/79465/962/51744/1437/5293/7410/3805/80329/637/9436/3802/4772/3808/4277/5777/3106/5595/3107/5605/3810/4068/259197/3383/6464/3135",0.643551836150722
"hsa04380","Osteoclast differentiation",133,-0.451950487388658,-1.90229108795487,2.53027234085198e-06,0.000148864356053458,0.000114644090958808,3703,"tags=40%, list=21%, signal=32%","3710/5336/9020/5594/4792/4689/23547/4791/8517/7132/10454/54/5533/6688/8651/6300/5971/1535/3456/5879/9103/7297/5296/3690/10288/814/4790/208/11006/10859/10379/11027/5600/489/79168/2209/5970/5293/140885/11025/5603/4772/353514/8878/5595/3726/55423/5609/2355/3727/6773/9021/6772",0.627256739718528
"hsa04062","Chemokine signaling pathway",182,-0.430958596509769,-1.90086325816489,7.64339769717069e-07,8.17638127800269e-05,6.29683171848484e-05,5093,"tags=47%, list=29%, signal=34%","5906/3577/6355/2793/10681/6011/6366/10850/51764/6354/2776/8503/3265/5880/3718/6362/58191/7409/94235/1236/1233/5336/409/6375/5594/4792/109/998/8517/6387/5579/5335/6347/2788/2829/6361/3702/2785/5881/6356/57580/6373/5580/115/5879/23533/5894/1234/2931/9564/7074/5296/7454/4790/208/5829/2868/146850/1237/10235/5330/6367/2783/5970/5293/7410/643/6352/2869/10663/108/5595/408/4283/2833/3627/54331/6464/6773/5566/111/6772/6714/2870/4793",0.659444398037935
"hsa05320","Autoimmune thyroid disease",47,-0.522214893029671,-1.89296400450783,0.00038040832734512,0.00473557090929232,0.0036469792800624,7461,"tags=72%, list=42%, signal=42%","7173/355/3567/3120/3445/3115/3117/7252/3105/3119/3449/3452/3108/3565/3441/3113/940/942/7253/3109/3451/3122/3002/1081/3444/1493/3133/3111/958/3134/3112/3106/3107/3135",0.49849310876659
"hsa04662","B cell receptor signaling pathway",82,-0.472524157229315,-1.87753629836243,6.36643137520885e-05,0.00160525019674909,0.00123624253949454,4383,"tags=50%, list=25%, signal=38%","8503/3265/118788/5880/2353/975/7409/930/5336/5594/4775/4792/23547/8517/5579/3635/5533/5881/8519/973/5879/5894/974/5296/10288/4790/208/11006/10859/11027/79168/5970/5293/7410/11025/4772/5777/353514/5595/5605/4793",0.538434096309916
"hsa05332","Graft-versus-host disease",38,-0.543325417518558,-1.85733959199421,0.000389041236174156,0.00473557090929232,0.0036469792800624,6859,"tags=74%, list=39%, signal=45%","3803/3458/3115/3117/3105/3811/3119/3108/3824/3569/3113/57292/940/942/3109/3813/115653/3122/3804/3002/3133/3111/3134/3802/3112/3106/3107/3135",0.49849310876659
"hsa04612","Antigen processing and presentation",68,-0.47573767103487,-1.8252240587218,0.000366295021955659,0.00473557090929232,0.0036469792800624,3613,"tags=46%, list=20%, signal=36%","5720/3109/920/3813/5993/115653/3122/3804/5994/3806/8625/1520/3133/6892/925/3111/811/3805/3134/972/3802/3112/3808/3106/4261/3107/3810/6890/3135/6891/55080",0.49849310876659
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",188,-0.409470245742092,-1.80985407631593,3.56745185467632e-06,0.000176803532876853,0.000136160736138164,5179,"tags=45%, list=29%, signal=32%","2786/163688/3572/3441/7311/2475/2793/10681/3665/3569/51764/8503/7538/7186/3265/841/2353/5743/94235/1233/3710/5336/942/5594/4775/4792/3451/4776/84557/8517/7132/5335/1869/2788/5533/64422/2785/6300/7316/810/57580/1870/3456/3444/5879/23533/5894/1234/643246/7297/5296/3133/1827/83439/4790/208/146850/10379/5600/1237/2783/1437/5970/5293/3134/637/9641/5603/4772/4277/81631/3106/5595/3107/5605/54331/8717/5609/3661/3383/9261/3135/6773/6772/6714",0.627256739718528
