"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","57/1060","203/9382",0.280788177339901,2.48524026396505,7.63502903724778,2.80349029541045e-11,1.0204704675294e-08,1.0204704675294e-08,"3690/3688/208/5293/331/3371/3676/6655/4638/93408/10000/5879/3672/56034/1292/2064/7450/23396/998/2002/857/55742/29780/5579/8503/87/2321/10398/3910/3908/5058/5599/858/3912/2889/7060/1288/5728/5062/3611/2316/1291/7057/3696/7791/5578/1282/394/22801/4659/4660/3673/3913/7424/2534/1278/1956",57
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","45/1060","154/9382",0.292207792207792,2.58631462876746,7.0836899104696,8.69649822595931e-10,1.35777819599308e-07,1.35777819599308e-07,"3690/3688/208/5293/3371/3676/2244/10000/5879/3672/56034/1292/7412/2064/3385/7450/55679/998/3383/55742/29780/8503/87/2321/3910/3908/3912/7060/1288/718/3611/2316/1291/7057/3696/1282/22801/3673/3913/999/7424/1278/255743/1956/10979",45
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","59/1060","233/9382",0.253218884120172,2.24122601020326,6.84708405573904,1.11904796373056e-09,1.35777819599308e-07,1.35777819599308e-07,"3690/3688/81624/6383/8572/6443/84823/832/4811/3676/1466/481/9672/8910/10611/7169/6645/4000/375790/3672/1292/11155/1465/6444/1837/287/72/10398/3908/25802/7060/1288/1674/1291/7168/7057/3696/2273/4621/7791/1282/22801/4892/23002/4629/3673/1634/171024/477/7431/2006/9260/8082/1281/1278/27295/1756/23345/6709",59
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","33/1060","101/9382",0.326732673267327,2.89189239678685,6.82218319532583,7.39646858434429e-09,6.7307864117533e-07,6.7307864117533e-07,"208/5293/7056/5054/6347/7046/10000/6772/5879/6777/7412/998/4089/3383/5579/8503/4772/5330/5599/185/1432/4313/1288/1536/5578/1282/1958/7043/5580/7424/4790/1281/1278",33
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","67/1060","299/9382",0.224080267558528,1.98332176437181,6.16708925161754,1.90024594278405e-08,1.38337904634679e-06,1.38337904634679e-06,"3690/3688/208/5293/5803/3676/2244/4638/57502/57823/23705/57863/10000/2260/3635/5879/8828/10580/4684/23607/914/9223/3385/1272/4478/6334/998/287/3383/3937/5962/5579/8503/87/5605/10398/9353/84552/5777/5058/5599/1432/78999/79827/5062/83700/7846/5578/8633/4629/8832/4068/999/8777/201633/91584/2534/4133/84623/117178/84617/57522/1796/4916/5376/6709/1000",67
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","50/1060","204/9382",0.245098039215686,2.16934887162412,6.02627301108173,6.57296675051659e-08,3.98759982864673e-06,3.98759982864673e-06,"3690/3688/6383/208/5293/3549/6655/3708/10000/7074/2260/5879/5566/2549/6198/2064/4060/4478/998/2002/287/857/22808/5962/23365/5579/8503/5605/1655/5777/5058/858/1432/4313/2316/7057/1839/1975/5578/4659/117581/4660/3673/1634/815/1278/7976/2065/1956/8321",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","41/1060","160/9382",0.25625,2.26805424528302,5.77362947773215,2.80797573099489e-07,1.46014738011734e-05,1.46014738011734e-05,"257194/3688/3119/6383/3135/3676/57502/9672/23705/57863/5175/2734/4684/3106/7412/914/3385/1272/3134/3383/923/1493/1002/3111/9369/5010/3122/83700/3696/925/100506658/3107/3109/5788/1003/5797/999/201633/3113/9378/1000",41
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","29/1060","105/9382",0.276190476190476,2.44454627133872,5.31234135533536,3.09226648114675e-06,0.000140698124892177,0.000140698124892177,"784/3690/3688/6443/3676/8910/7169/5350/6645/4000/3672/5566/6546/6444/1837/3908/108/1674/7168/3696/22801/7043/3673/107/8082/488/111/1756/781",29
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","36/1060","155/9382",0.232258064516129,2.05570298234936,4.72978045276884,1.65501171960314e-05,0.000591132331174298,0.000591132331174298,"949/3690/3688/3119/3135/200576/7879/1780/5879/3106/29927/3916/3134/3111/7037/7060/821/3122/9550/718/7057/1536/7846/1778/3107/8992/3673/3109/3920/715/6890/6891/84617/8417/3113/23545",36
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","21/1060","70/9382",0.3,2.65528301886792,4.96093390579591,1.7803045583696e-05,0.000591132331174298,0.000591132331174298,"3119/6443/3135/8910/6645/5879/3106/6444/1837/3134/3383/857/3111/3908/3122/3107/3109/8082/2534/3113/1756",21
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","24/1060","86/9382",0.27906976744186,2.47003071522598,4.88755009907657,1.78638891288936e-05,0.000591132331174298,0.000591132331174298,"784/3690/3688/6443/3676/2697/8910/6645/4000/3672/6546/6934/6444/1837/3908/1674/3696/22801/3673/8082/488/1756/781/1000",24
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","29/1060","115/9382",0.252173913043478,2.23197703035275,4.74400998271847,2.12693229628394e-05,0.000597753865398584,0.000597753865398584,"4040/2767/3708/5141/2260/5566/2625/408/65125/5579/65268/846/5330/10568/10672/108/5144/1839/5578/1958/64386/107/4209/4325/11214/4208/1385/111/1956",29
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","38/1060","169/9382",0.224852071005917,1.99015295299766,4.63562982769684,2.13483523356637e-05,0.000597753865398584,0.000597753865398584,"58528/208/5293/3708/7879/10000/5566/65082/6198/2081/3916/56270/23001/22808/8503/5605/10241/26100/9110/84971/6794/5563/55014/5599/9706/55102/5728/8837/84335/10533/5580/1508/3920/57724/64419/64121/8417/29982",38
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","47/1060","227/9382",0.20704845814978,1.83257418335965,4.53179586930637,2.39636341082323e-05,0.00061565560866411,0.00061565560866411,"3690/208/5293/2775/3135/2767/6655/6347/2791/3708/10000/5879/5566/5743/3106/6198/54331/3134/2002/23365/5579/8503/5605/4775/4772/5733/5330/6892/59345/1432/10672/108/6352/5578/3107/8717/107/3587/4790/6890/6891/11214/10681/3661/1385/111/1956",47
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","67/1060","362/9382",0.185082872928177,1.63815803189826,4.41919230877242,2.53704234339606e-05,0.00061565560866411,0.00061565560866411,"4602/3690/9170/3688/11140/208/5293/3560/4170/5586/3371/3676/6655/2791/10000/2260/2323/10018/5879/3672/56034/3718/1292/6198/2064/54331/2057/9223/7450/55012/9180/8503/2321/5605/5519/6794/5563/3910/3908/3563/59345/3912/7060/1288/5728/1291/7057/3696/1975/5578/1282/22801/7533/7039/3673/3913/7424/4790/285/2149/5528/10681/1278/2065/1385/5527/1956",67
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","24/1060","89/9382",0.269662921348315,2.38677125291499,4.69121686582312,3.32716582313264e-05,0.000716256489693462,0.000716256489693462,"3690/3688/3371/3676/375790/3672/1292/961/7450/3910/3908/3912/7060/1288/1291/7057/3696/1282/22801/3673/3913/1278/255743/2814",24
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","37/1060","166/9382",0.22289156626506,1.9728006365083,4.51305163012154,3.34515393538155e-05,0.000716256489693462,0.000716256489693462,"5997/208/2767/493/4638/2626/481/3708/10000/5350/5592/6722/6546/1909/3764/148/8654/5605/10398/4775/4772/5330/185/10672/108/4659/3778/2977/490/477/107/4209/4208/3779/488/1385/111",37
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","31/1060","130/9382",0.238461538461538,2.11060957910015,4.55070752258177,3.66379738517804e-05,0.00074090124900267,0.00074090124900267,"208/5293/2775/6655/2791/7046/10000/5566/54331/408/8503/5605/5330/59345/5599/1432/4313/59/1288/108/5578/1282/107/7424/4790/10681/1281/1278/1385/111/1956",31
