"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","35/265","233/9382",0.150214592274678,5.31816341404162,11.3792004491496,2.32173437979898e-16,8.45111314246828e-14,8.45111314246828e-14,"4811/23345/7169/8910/1278/3672/11155/2273/6383/477/22801/10398/1634/1837/7060/2006/8572/7057/3676/171024/25802/1466/1674/4629/6444/72/1282/287/8082/1281/9260/1291/27295/1292/1465",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","22/265","154/9382",0.142857142857143,5.05768194070081,8.65577775756447,3.0671249386715e-10,5.58216738838213e-08,5.58216738838213e-08,"999/10979/3910/3371/10000/1278/3672/56034/3383/22801/7450/7060/7057/3676/718/2316/1282/3913/7412/7424/1291/1292",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","22/265","160/9382",0.1375,4.86801886792453,8.41312891726763,6.4997484166347e-10,7.88636141218344e-08,7.88636141218344e-08,"999/1493/57502/5010/3122/5175/1000/3111/3383/6383/3119/914/3113/5797/3676/925/3109/1003/5788/7412/83700/257194",22
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","24/265","203/9382",0.118226600985222,4.18566781299377,7.82298232729116,2.43080610635105e-09,2.21203355677946e-07,2.21203355677946e-07,"3910/3371/10000/1278/3672/858/56034/4638/22801/10398/7450/7060/5579/7057/3676/2316/4660/1282/857/3913/2534/7424/1291/1292",24
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","16/265","101/9382",0.158415841584158,5.60851858770783,7.93864116086531,1.94300709404709e-08,1.10611382486312e-06,1.10611382486312e-06,"5054/6347/7046/10000/1278/3383/4772/5579/185/1282/7056/7412/1536/7424/1281/4313",16
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/265","88/9382",0.170454545454545,6.03473413379074,8.08980533889891,1.95964919403717e-08,1.10611382486312e-06,1.10611382486312e-06,"5054/1191/714/730/7035/7450/5648/716/718/710/715/2149/7056/3075/2",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","28/265","299/9382",0.0936454849498328,3.31540354641257,6.93695949675147,2.12714197089062e-08,1.10611382486312e-06,1.10611382486312e-06,"999/10580/57823/5962/10000/57502/4478/1000/8828/4638/3383/10398/8832/914/5579/79827/3676/8777/3937/7846/4629/287/2260/9353/2534/83700/5376/84617",28
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","12/265","70/9382",0.171428571428571,6.06921832884097,7.25755039866326,4.97735250206635e-07,2.26469538844019e-05,2.26469538844019e-05,"8910/3122/3111/3383/3119/3113/1837/3109/6444/857/8082/2534",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/265","89/9382",0.146067415730337,5.17133771464914,6.74083837787896,1.12361628446834e-06,4.31357437216236e-05,4.31357437216236e-05,"3910/3371/1278/3672/22801/7450/7060/7057/3676/1282/3913/1291/1292",13
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","20/265","204/9382",0.0980392156862745,3.47095819459859,6.08314239142935,1.18504790444021e-06,4.31357437216236e-05,4.31357437216236e-05,"7074/117581/5962/10000/4478/1278/8321/4060/858/6383/1634/5579/7057/2316/3708/4660/287/857/2260/4313",20
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","13/265","99/9382",0.131313131313131,4.64898036973509,6.22252251418166,3.84298370268708e-06,0.000127167824343463,0.000127167824343463,"714/3122/3111/3383/3119/5648/3113/716/718/3109/715/2359/3075",13
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","17/265","166/9382",0.102409638554217,3.62568765628552,5.81898718852963,4.23851423203515e-06,0.000128568265038399,0.000128568265038399,"3779/5592/8654/10000/5350/1909/4638/477/3764/4772/10398/5997/493/3778/3708/4208/185",17
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","15/265","134/9382",0.111940298507463,3.96310898338496,5.88976058500766,5.27342992107598e-06,0.000147656037790127,0.000147656037790127,"3779/5592/1909/4638/94274/10398/5579/59/3778/3708/4660/4629/185/72/800",15
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","7/265","30/9382",0.233333333333333,8.26088050314466,6.79077271782573,1.54535470171583e-05,0.000401792222446115,0.000401792222446115,"4524/4548/8714/7298/1719/1244/6573",7
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","7/265","31/9382",0.225806451612903,7.99440048691418,6.65003362993386,1.94836907558864e-05,0.000472804229009509,0.00047280422900951,"4524/4548/8714/7298/1719/1244/6573",7
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","12/265","100/9382",0.12,4.24845283018868,5.56771902391718,2.31436737905495e-05,0.000526518578735002,0.000526518578735002,"915/3122/3672/3111/1438/952/3119/914/3113/3676/925/3109",12
