"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","36/238","233/9382",0.15450643776824,6.09066974429257,12.6943657706654,8.97490895733253e-19,3.26686686046904e-16,3.26686686046904e-16,"4811/23345/7169/8910/1278/3672/2273/6383/477/22801/10398/1634/1837/7060/2006/171024/25802/8572/3676/7057/1466/1674/4629/7431/6444/72/1282/287/8082/1281/9260/1291/27295/1292/1465/11155",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","21/238","154/9382",0.136363636363636,5.37547746371276,8.83236395306077,2.61385397195291e-10,3.27785213470876e-08,3.27785213470876e-08,"10979/3910/3371/10000/1278/3672/56034/3383/22801/7060/3676/718/2316/7057/7450/1282/3913/7412/7424/1291/1292",21
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","24/238","203/9382",0.118226600985222,4.66051248085441,8.50623082997563,2.70152648465008e-10,3.27785213470876e-08,3.27785213470876e-08,"3910/3371/10000/1278/3672/4660/56034/4638/22801/10398/5579/7060/3676/2316/7057/7450/858/1282/857/3913/2534/7424/1291/1292",24
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","16/238","101/9382",0.158415841584158,6.24477909975872,8.54939611729739,4.17533461763404e-09,3.32168634724584e-07,3.32168634724584e-07,"5054/6347/7046/10000/1278/3383/5579/185/1282/7056/7412/1536/7424/1281/4313/4772",16
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/238","88/9382",0.170454545454545,6.71934682964095,8.69623712583376,4.56275597149154e-09,3.32168634724584e-07,3.32168634724584e-07,"5054/1191/714/730/7035/5648/716/718/7450/710/715/2149/7056/3075/2",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","26/238","299/9382",0.0869565217391304,3.42784070149799,6.88313143761927,3.52178368274307e-08,2.1365487675308e-06,2.1365487675308e-06,"10580/57502/57823/5962/10000/2260/4478/4638/3383/10398/5579/79827/8832/7846/3676/8777/3937/4629/287/9353/2534/83700/5376/84617/914/8828",26
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","20/238","204/9382",0.0980392156862745,3.86472235953205,6.67372846769427,2.12381317727107e-07,1.10438285218095e-05,1.10438285218095e-05,"7074/117581/5962/10000/2260/4478/1278/8321/4060/4660/6383/5579/1634/2316/7057/3708/858/287/857/4313",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/238","89/9382",0.146067415730337,5.75800207723539,7.27589796246263,3.30183518496081e-07,1.50233500915717e-05,1.50233500915717e-05,"3910/3371/1278/3672/22801/7060/3676/7057/7450/1282/3913/1291/1292",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","17/238","160/9382",0.10625,4.18839285714286,6.56242265340376,5.74740327683784e-07,2.32450532529886e-05,2.32450532529886e-05,"57502/5010/3122/5175/3111/3383/6383/3119/5797/3676/925/1003/5788/7412/83700/257194/914",17
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","17/238","166/9382",0.102409638554217,4.03700516351119,6.36902977352693,9.69883965574477e-07,3.5303776346911e-05,3.5303776346911e-05,"3779/5592/8654/10000/5350/4638/477/3764/10398/493/3778/3708/4208/5997/185/1909/4772",17
