"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","35/237","233/9382",0.150214592274678,5.94646964017312,12.308167012392,6.29808651551827e-18,2.29250349164865e-15,2.29250349164865e-15,"4811/23345/7169/8910/1278/3672/6383/477/22801/10398/1634/1837/7060/2006/171024/25802/8572/3676/7057/1466/1674/4629/6444/72/1282/287/8082/2273/1281/9260/1291/27295/1292/1465/11155",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","21/237","154/9382",0.136363636363636,5.39815880322209,8.85899302693308,2.41648798597256e-10,3.00325666423003e-08,3.00325666423003e-08,"10979/3910/3371/10000/1278/3672/56034/3383/22801/7060/3676/718/2316/7057/7450/1282/3913/7412/7424/1291/1292",21
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","24/237","203/9382",0.118226600985222,4.68017709047827,8.53347533556074,2.47521153645333e-10,3.00325666423003e-08,3.00325666423003e-08,"3910/3371/10000/1278/3672/4660/56034/4638/22801/10398/5579/7060/3676/2316/7057/7450/858/1282/857/3913/2534/7424/1291/1292",24
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","16/237","101/9382",0.158415841584158,6.27112837866065,8.57380852240237,3.9287004809094e-09,3.13559729442757e-07,3.13559729442757e-07,"5054/6347/7046/10000/1278/3383/5579/185/1282/7056/7412/1536/7424/1281/4313/4772",16
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/237","88/9382",0.170454545454545,6.74769850402762,8.72048957397508,4.30713914069722e-09,3.13559729442757e-07,3.13559729442757e-07,"5054/1191/714/730/7035/5648/716/718/7450/710/715/2149/7056/3075/2",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","26/237","299/9382",0.0869565217391304,3.44230416437351,6.90919695783112,3.22877464536912e-08,1.95878995152393e-06,1.95878995152393e-06,"10580/57502/57823/5962/10000/2260/4478/4638/3383/10398/5579/79827/8832/7846/3676/8777/3937/4629/287/9353/2534/83700/5376/84617/914/8828",26
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","20/237","204/9382",0.0980392156862745,3.88102920493092,6.69723601224537,1.98284698109978e-07,1.03108043017188e-05,1.03108043017188e-05,"7074/117581/5962/10000/2260/4478/1278/8321/4060/4660/6383/5579/1634/2316/7057/3708/858/287/857/4313",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","13/237","89/9382",0.146067415730337,5.78229744464988,7.2972715082693,3.14547257296861e-07,1.43119002070072e-05,1.43119002070072e-05,"3910/3371/1278/3672/22801/7060/3676/7057/7450/1282/3913/1291/1292",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","17/237","160/9382",0.10625,4.20606540084388,6.58455903542611,5.41577669806171e-07,2.19038079788274e-05,2.19038079788274e-05,"57502/5010/3122/5175/3111/3383/6383/3119/5797/3676/925/1003/5788/7412/83700/257194/914",17
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","17/237","166/9382",0.102409638554217,4.05403894057242,6.39093303963308,9.14479910926377e-07,3.32870687577201e-05,3.32870687577201e-05,"3779/5592/8654/10000/5350/4638/477/3764/10398/493/3778/3708/4208/5997/185/1909/4772",17
