"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","35/794","169/9382",0.207100591715976,2.44712563158601,5.77215326114972,4.83936515273638e-07,0.000176152891559604,0.000176152891559604,"58528/208/5293/56270/7879/84335/5728/23001/10241/5580/8837/26100/57724/55102/6794/55014/9110/84971/5599/5563/8503/22808/3920/9706/64419/64121/8417/29982/65082/10533/3916/2081/6198/5605/5566",35
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","25/794","115/9382",0.217391304347826,2.56872193626109,5.14652526985563,8.51395405722535e-06,0.00154953963841501,0.00154953963841501,"4040/65268/2767/5141/107/5578/408/2625/5330/10568/1839/5144/846/1958/111/4325/11214/108/1385/10672/1956/4209/65125/5566/64386",25
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","20/794","86/9382",0.232558139534884,2.74793509460489,4.95125474391959,2.3792247163628e-05,0.00288679265585353,0.00288679265585353,"208/5293/6655/5058/5578/7039/5062/2065/2002/6777/1839/5599/8503/815/2549/1956/9542/2064/6198/5605",20
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","33/794","203/9382",0.16256157635468,1.92084724100706,4.032986112893,0.000189287787576243,0.016141759984265,0.016141759984265,"3690/3688/208/5293/331/6655/93408/5058/3696/5578/5879/5062/3611/5728/23396/998/2002/55742/2321/2889/3673/3908/7791/394/1288/4659/5599/8503/87/3912/29780/1956/2064",33
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","19/794","93/9382",0.204301075268817,2.4140462067658,4.16686466479834,0.000239543938925999,0.016141759984265,0.016141759984265,"2767/6655/107/5578/998/2002/1432/5330/5580/1839/5321/1958/5599/111/815/108/1956/5605/5566",19
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","38/794","250/9382",0.152,1.79605037783375,3.8789698774753,0.0002660729667736,0.016141759984265,0.016141759984265,"58528/200576/9559/80208/7879/54982/1186/84335/1174/11154/1522/2760/4891/256471/9583/1777/9550/5007/23062/114881/20/3073/55014/79036/8992/3920/23163/23431/64121/8372/6609/3423/65082/23545/2055/3916/138050/121260",38
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","35/794","227/9382",0.154185022026432,1.82186886228209,3.81131709179133,0.000349325241463484,0.0181649125561012,0.0181649125561012,"3690/208/5293/2775/3135/2767/6655/107/5578/3107/5879/3134/2002/1432/5330/6892/111/4775/8503/4790/6890/6891/11214/3661/108/1385/5743/10672/1956/23365/6198/5605/3106/5566/8717",35
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","37/794","250/9382",0.148,1.74878589420655,3.64866095059148,0.000540357266938941,0.0236329769273845,0.0236329769273845,"64750/116988/3135/832/9559/23362/7879/23327/10938/3107/23396/30846/408/998/3134/9765/2869/7037/51028/116986/1785/9230/644150/58513/9266/5119/2060/84364/5371/2870/55680/1956/2868/30844/6642/84552/3106",37
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","46/794","333/9382",0.138138138138138,1.63225694208062,3.57194061941093,0.000584331847105661,0.0236329769273845,0.0236329769273845,"3690/3688/208/5293/3135/9223/1452/6655/3280/7337/3516/3696/9641/3107/5728/998/3134/9550/3673/6773/5519/3908/8992/1288/8503/3912/4790/3661/7976/1385/5527/5743/1956/23545/84552/55502/6198/6934/55012/7187/5605/3106/5566/5528/6772/8717",46
"Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","9/794","33/9382",0.272727272727273,3.22257842912755,3.88884189156641,0.00127910838050773,0.0465595450504814,0.0465595450504814,"10490/2054/6844/55850/9570/9527/10228/55014/8417",9
