"Gene","HR","HR_lower","HR_upper","p_value","Coefficient"
"LRRTM1",2.024,1.586,2.584,0,0.7053
"NREP",0.453,0.321,0.64,0,-0.7911
"GOT1L1",0.485,0.352,0.667,0,-0.7245
"C17orf99",0.437,0.292,0.653,1e-04,-0.8284
"HAVCR1P1",0.572,0.427,0.766,2e-04,-0.5589
"`PTPRG-AS1`",1.481,1.194,1.836,4e-04,0.3924
"WDFY2",0.586,0.433,0.794,6e-04,-0.5338
"PIAS4",0.622,0.469,0.826,0.001,-0.4745
"`RUNX1-IT1`",1.615,1.208,2.16,0.0012,0.4794
"SYT1",1.467,1.131,1.903,0.0039,0.3833
"TP53BP1",1.429,1.111,1.838,0.0055,0.3567
"NCLN",1.515,1.102,2.084,0.0106,0.4154
"INHBB",1.448,1.067,1.965,0.0175,0.37
"WWC2",1.335,1.003,1.776,0.0474,0.2888
"MAGED2",1.417,1.003,2.001,0.0478,0.3486
"PCDHGA4",1.257,0.999,1.581,0.0512,0.2285
"FLT1",1.319,0.969,1.796,0.0784,0.277
"VGLL1",1.179,0.98,1.419,0.0805,0.165
"ZNF641",1.287,0.963,1.719,0.0883,0.252
"PCDHB4",1.234,0.954,1.596,0.1088,0.2103
"PCDHB9",0.767,0.548,1.073,0.1219,-0.2651
"LIMCH1",1.229,0.926,1.631,0.154,0.206
"ZBTB4",0.793,0.576,1.092,0.1554,-0.2316
