"Gene","HR","HR_lower","HR_upper","p_value"
"MIR4640",1.387,0.835,2.304,0.206781
"RFC2",0.82,0.554,1.214,0.320895
"HSPA6",0.973,0.74,1.28,0.845233
"PAX8",2.558,0.973,6.727,0.056863
"GUCA1A",0.644,0.138,3.009,0.576284
"MIR5193",0.957,0.597,1.534,0.85523
"THRA",0.805,0.299,2.167,0.667221
"PTPN21",1.565,0.729,3.36,0.250467
"CCL5",0.928,0.755,1.141,0.478489
"CYP2E1",1.014,0.627,1.64,0.956021
"EPHB3",0.833,0.667,1.039,0.105031
"ESRRA",0.706,0.389,1.28,0.251309
"CYP2A6",0.658,0.254,1.707,0.389607
"SCARB1",0.504,0.241,1.054,0.068715
"TTLL12",0.62,0.388,0.99,0.045262
"LOC101930489",1.524,0.87,2.669,0.14038
"WFDC2",0.775,0.498,1.205,0.257289
"MAPK1",0.747,0.361,1.547,0.433063
"ADAM32",1.157,0.709,1.887,0.559301
"SPATA17",0.966,0.529,1.765,0.910996
"PRR22",0.831,0.314,2.201,0.709746
"PXK",1.669,0.775,3.597,0.190829
"VPS18",1.835,0.853,3.949,0.120536
"MSANTD3",1.521,0.983,2.352,0.059509
"SLC46A1",0.596,0.26,1.367,0.221393
"TIMD4",0.722,0.32,1.628,0.432545
"SLC39A5",1.047,0.775,1.415,0.765021
"ZDHHC11B",0.793,0.614,1.026,0.077628
"ATP6V1E2",0.804,0.465,1.388,0.433462
"AFG3L1P",0.886,0.436,1.8,0.738185
"CILP2",1.548,0.985,2.434,0.058055
"PIGX",0.706,0.384,1.298,0.262967
"TMEM196",0.605,0.096,3.822,0.59317
"SLC39A13",1.715,0.961,3.059,0.067871
"BEST4",0.784,0.542,1.133,0.194927
"AK9",0.662,0.32,1.367,0.264466
"CORO6",1.008,0.398,2.552,0.987269
"TMEM106A",2.824,0.814,9.792,0.101854
"ALG10",0.593,0.324,1.086,0.090459
"TTC39C",1.071,0.57,2.012,0.830866
"NEXN",1.115,0.935,1.329,0.224183
"C15orf40",0.89,0.48,1.652,0.712314
"RAX2",1.469,0.497,4.341,0.486843
"MFAP3",1.017,0.585,1.769,0.951087
"EYA3",0.525,0.148,1.862,0.318104
"GIMAP1",0.853,0.481,1.512,0.586349
"KLK8",1.193,0.878,1.622,0.258662
"CCDC65",1.779,0.305,10.358,0.521741
"FAM122C",1.704,0.449,6.475,0.433721
"CFAP53",0.554,0.167,1.836,0.334415
"ARMCX4",3.19,1.383,7.357,0.006507
"RBBP6",1.214,0.496,2.97,0.670748
"CENPBD1",0.894,0.447,1.786,0.750966
"TRIOBP",1.775,0.767,4.108,0.180486
"CATSPER1",1.251,0.53,2.951,0.60888
"HOXD4",1.245,0.739,2.1,0.410368
"GSC",0.632,0.276,1.452,0.279812
"SP7",0.688,0.223,2.119,0.514358
"PDE7A",0.616,0.272,1.395,0.245271
"CNOT7",1.215,0.611,2.415,0.578833
"CRYZL1",1.815,0.928,3.552,0.081766
"PRSS33",1.029,0.842,1.256,0.781585
"CBARP",0.983,0.401,2.409,0.970466
"MCMDC2",1.055,0.359,3.1,0.923034
"TIRAP",0.442,0.171,1.145,0.092647
"LEAP2",0.87,0.641,1.182,0.374155
"MSI2",1.074,0.622,1.855,0.79793
"SCIN",0.89,0.664,1.195,0.438887
"CTCFL",1.579,0.574,4.341,0.376534
"C4orf33",0.687,0.294,1.605,0.385702
"ZNF333",2.688,0.429,16.829,0.290804
"TVP23C",1.143,0.412,3.176,0.79709
"RDH10",0.751,0.427,1.321,0.320214
"SRSF12",0.693,0.148,3.25,0.641754
"FAM71A",1.434,0.496,4.142,0.505469
"GAPT",0.955,0.545,1.674,0.873202
"FLJ30901",0.742,0.329,1.674,0.472029
"ERICH5",0.752,0.451,1.252,0.27308
"CCDC185",0.881,0.415,1.869,0.741195
"ENTHD1",0.719,0.203,2.552,0.610168
"TSSK3",1.225,0.484,3.102,0.668985
"WFDC6",0.737,0.28,1.944,0.537796
"CLEC12A",1.726,0.444,6.713,0.430963
"BRF1",0.448,0.148,1.36,0.156368
"TMEM266",0.917,0.346,2.428,0.861077
"GRIK1-AS2",0.886,0.194,4.052,0.875872
"CALML6",1.51,0.547,4.168,0.426005
"NLRP5",0.43,0.168,1.099,0.07785
"ODF4",0.591,0.137,2.542,0.479706
"CLEC4F",0.714,0.239,2.136,0.546914
"DEFB106B",0.995,0.362,2.736,0.991997
"WFDC9",0.807,0.196,3.321,0.766576
"NEDD1",0.832,0.542,1.278,0.400472
"TTLL10",0.729,0.194,2.731,0.63867
"CALR3",0.415,0.125,1.374,0.149984
"C10orf25",1.557,0.886,2.734,0.123659
"ETV3",1.476,0.648,3.365,0.354261
"KLHL10",1.703,0.483,5.999,0.407561
"TM2D3",1.839,1.03,3.282,0.039303
"ZNF485",0.656,0.298,1.445,0.295543
"WDR17",1.894,0.348,10.291,0.459666
"MFSD6L",1.023,0.405,2.584,0.961128
"LOC100653137",0.897,0.29,2.778,0.850201
"ANKAR",0.096,0.013,0.699,0.020784
"MEGF11",0.797,0.182,3.493,0.76293
"GPR182",0.229,0.054,0.965,0.044593
"ESX1",0.381,0.106,1.362,0.137478
"FAM167A-AS1",0.616,0.17,2.239,0.461797
"SCGB1C2",1.007,0.369,2.745,0.9893
"DNAJC5G",1.256,0.47,3.359,0.649258
"WDR88",0.325,0.059,1.783,0.195594
"PRUNE2",1.046,0.855,1.28,0.663957
"MBD3L2",0.47,0.193,1.144,0.096258
"ADAMTSL1",0.503,0.099,2.552,0.406834
"MBD3L1",0.472,0.122,1.834,0.278314
"FAM46D",1.546,0.408,5.857,0.521632
"SERPINB11",1.318,0.387,4.491,0.658533
"LINC00161",3.204,0.601,17.079,0.172716
"DSCR10",0.846,0.253,2.827,0.785249
"ABHD11",0.573,0.324,1.014,0.056066
"ACAP2",1.015,0.559,1.844,0.96148
"GAMT",0.882,0.447,1.74,0.716731
"PLCD3",1.023,0.669,1.563,0.918086
"IRF6",0.706,0.482,1.032,0.072524
"PTPRC",1.177,0.846,1.639,0.334033
"MAN1A2",1.616,0.615,4.249,0.330343
"RAPH1",1.229,0.755,2.002,0.407283
"SMCR8",0.769,0.332,1.782,0.540962
"LACTB",1.106,0.728,1.679,0.637076
"BNC1",2.092,0.381,11.483,0.395733
"MPP4",0.819,0.168,3.991,0.804327
"LACE1",0.819,0.153,4.391,0.815556
"IDI2",0.884,0.389,2.007,0.76804
"CYP11B1",0.893,0.179,4.452,0.89042
"TAF8",0.584,0.232,1.47,0.25337
"COBL",0.827,0.618,1.108,0.203107
"SLAMF6",1.78,1.028,3.08,0.03945
"ZSCAN20",1.406,0.293,6.738,0.670259
"GPBAR1",1.261,0.647,2.457,0.495326
"RHBDL2",0.969,0.774,1.214,0.786256
"FRAS1",1.811,0.827,3.964,0.137364
"BRSK1",1.098,0.695,1.736,0.688999
"CRB2",1.321,0.601,2.902,0.488422
"KCNE4",1.261,0.904,1.761,0.172533
"CD300LG",0.202,0.024,1.709,0.142073
"SLC34A3",0.582,0.157,2.16,0.418524
"CPA6",0.881,0.591,1.311,0.531079
"WBP2NL",1.412,0.734,2.716,0.302064
"HIPK1",1.461,0.756,2.824,0.259202
"MTBP",0.262,0.069,0.991,0.048543
"ACVR1C",0.905,0.711,1.153,0.420095
"TMEM74",1.07,0.244,4.703,0.928296
"TIGD4",0.749,0.19,2.949,0.679325
"ART5",0.382,0.128,1.136,0.083481
"FAM71C",0.56,0.218,1.44,0.228653
"LINC01547",0.51,0.148,1.764,0.287666
"NLRP11",0.412,0.179,0.948,0.03712
"ATP6V1C2",0.844,0.62,1.15,0.283092
"CLDN19",1.257,0.315,5.017,0.745857
"VTI1A",0.79,0.29,2.152,0.644762
"KIF6",0.292,0.047,1.835,0.189396
"IQCD",0.847,0.417,1.722,0.646137
"TAGAP",0.817,0.473,1.411,0.467763
"STON2",1.535,0.715,3.294,0.271234
"SERPINA12",0.801,0.264,2.435,0.695762
"LETM2",1.818,0.962,3.433,0.065459
"BSND",0.764,0.212,2.747,0.679987
"CLEC4C",0.27,0.036,2.029,0.203072
"NLRC4",0.611,0.197,1.897,0.393949
"PRSS36",0.978,0.376,2.546,0.964403
"ZDHHC15",3.401,1.008,11.478,0.048537
"RAI1",1.631,0.589,4.511,0.346232
"CDK15",1.068,0.314,3.632,0.916277
"ZNF570",1.527,0.764,3.051,0.230846
"NUDT9P1",0.927,0.253,3.393,0.908251
"BTBD16",1.29,0.709,2.346,0.404324
"RTP3",0.611,0.233,1.605,0.317269
"TSPEAR",0.812,0.178,3.705,0.788219
"MIPOL1",0.803,0.341,1.892,0.61617
"C6orf141",0.929,0.631,1.367,0.706862
"ALMS1P1",0.556,0.199,1.554,0.262759
"MYO3B",0.206,0.036,1.187,0.077052
"ADAM21",0.607,0.126,2.914,0.532866
"TRIML2",1.429,0.675,3.022,0.35094
"ABCC13",0.853,0.556,1.307,0.464182
"IL12RB1",0.658,0.294,1.469,0.306844
"GTF2A1L",3.314,0.851,12.908,0.084092
"TRPV3",0.846,0.273,2.626,0.77263
"CNBD1",1.453,0.314,6.715,0.632739
"ABCC12",1.345,0.296,6.109,0.700739
"MMP21",0.836,0.167,4.192,0.82712
"TMEM190",0.972,0.364,2.593,0.954735
"GAS2L2",0.741,0.294,1.871,0.526551
"KCNG4",1.037,0.372,2.891,0.944263
"PXT1",0.548,0.125,2.392,0.423357
"CACNG5",1.064,0.326,3.472,0.918234
"LINC00308",0.678,0.175,2.629,0.574224
"FAM223A",1.032,0.43,2.472,0.944484
"WFDC11",0.5,0.162,1.543,0.228127
"IFNL3",0.81,0.254,2.58,0.721069
"JAK1",2.309,0.954,5.59,0.063497
"CDC42SE2",0.925,0.651,1.316,0.666127
"ACACB",0.931,0.459,1.889,0.844059
"RFWD2",0.702,0.399,1.236,0.2202
"STX6",0.705,0.315,1.581,0.396573
"ANLN",0.917,0.738,1.141,0.437376
"SPRR4",0.971,0.501,1.881,0.93102
"UPK3BL",1.362,0.875,2.12,0.171293
"HSH2D",0.433,0.23,0.818,0.009876
"TRNT1",0.861,0.543,1.365,0.523474
