"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582"
"PCSK6","up","up","down","down","up"
"POP1","up","up","up","up","down"
"XPOT","down","up","up","up","up"
"BHMT2","down","up","down","down","up"
"CDC14B","down","down","down","up","up"
"GTF2I","down","down","down","up","down"
"GPR143","down","up","down","up","down"
"FLCN","down","up","up","down","down"
"ADSSL1","up","up","down","down","down"
"KLK10","up","down","up","up","up"
"ADAMTS16","up","down","down","down","up"
"ZDHHC20","down","down","up","up","up"
"CNEP1R1","down","down","up","down","down"
"ZNF570","down","up","up","down","up"
"N4BP2L1","down","up","down","down","down"
"LINC01596","down",NA,NA,NA,NA
"C2orf74","up",NA,NA,NA,NA
"HYAL3","up","down","down","up","down"
"SORBS1","down","up","down","down","down"
"MCF2L","down","down","up","up","down"
"TP53I11","up","down","down","up","down"
"OPHN1","down","down","down","down","down"
"VPS50","down",NA,NA,NA,NA
"LOC100289094","down","up","down","up","down"
"ZNRF1","down","down","down","down","down"
"NBPF18P","up",NA,NA,NA,NA
"DOCK2","up","down","down","down","down"
"FAM26F","down","down","up","down","down"
"DYRK2","down","up","up","up","up"
"SEPT4","up","down","down","down","down"
"LOC653581","down","up","up","up","down"
"CDKN2D","down","down","down","up","down"
"CCDC73","down",NA,NA,NA,NA
"FAM189A2","down","up","up","up","down"
"SHMT1","down","up","down","down","down"
"ZNF546","down","up","up","down","up"
"PKD1L1","down","down","up","down","down"
"LOC440570","down","down","down","up","down"
"S100A14","up","down","up","up","down"
"SYNGR1","down","down","down","down","up"
"PDE4DIP","up","up","up","down","up"
"PLAGL1","down","up","up","up","down"
"PKN2","down","up","up","up","up"
"NT5DC2","up","down","down","up","down"
"ISCA1","down","down","up","up","down"
"ACER3","down","up","up","up","up"
"CCDC136","down","up","down","down","down"
"PLTP","up","down","down","down","down"
"CHRNA3","down","up","down","down","up"
"CRTAP","up","down","down","down","up"
"SNHG8","down",NA,NA,NA,NA
"TRIM62","down","up","down","down","down"
"SNUPN","up","up","down","up","up"
"CACYBP","down","down","down","up","down"
"SOX6","down","up","down","up","up"
"EARS2","down","down","down","up","down"
"DIS3","down","down","up","up","up"
"PCBP1-AS1","down","up","down","down","down"
"SLC25A13","down","down","up","up","down"
"NRBF2","down","up","up","down","down"
"TMTC4","down","down","up","up","down"
"SLC11A1","up","down","down","down","up"
"TAC1","down","down","down","down","up"
"NUTM2B-AS1","down",NA,NA,NA,NA
"PIWIL1","up","up","up","up","down"
"CD8B","up","up","up","down","down"
"WDR33","down",NA,NA,NA,NA
"IRS1","down","down","up","down","up"
"ABCA1","down","up","up","down","up"
"METTL14","down","up","up","up","up"
"HAUS6","down","up","up","up","up"
"ZC3H6","down","up","up","up","up"
"ZNF823","down","down","down","up","down"
"TSPAN33","down","down","down","up","down"
"ZNF704","down","down","down","up","up"
"PRPH","down","down","down","down","down"
"ASB4","down","up","down","up","down"
"RIMBP3","up",NA,NA,NA,NA
"CEP44","down","up","up","up","up"
"NAA16","down","down","up","up","up"
"ATRIP","up",NA,NA,NA,NA
"CALCOCO2","down","up","up","down","down"
"ZNF280A","down","down","down","down","down"
"NOTCH2NL","down","up","down","down","up"
"BEX2","down","up","down","up","up"
"MRAS","up","down","down","down","down"
"STAU2","down","up","down","down","up"
"GZF1","down","up","up","down","up"
"SLC6A1","up","up","down","down","down"
"U2SURP","down","up","down","up","up"
"CACUL1","down","down","up","up","down"
"PRSS16","down","up","down","up","down"
"ELAVL1","down","down","down","up","down"
"CLSTN2","down","up","down","down","up"
"ZNF23","down","up","down","down","up"
"PLD2","up","up","down","up","down"
"BNIPL","up","down","down","up","down"
"LAMP2","down","up","up","up","up"
"MAP2","down","down","up","down","up"
"ANGPT1","down","down","down","down","up"
"FUOM","up","down","up","up","down"
"CAMK1D","down","down","down","down","up"
"SAR1A","down","down","up","down","down"
"MORN4","down","up","up","down","up"
"MEP1A","down","up","down","up","up"
"SCP2D1","up","down","down","up","down"
"KREMEN2","up","down","down","up","down"
"UGT2B17","down","up","up","up","down"
"ARRB1","up","down","down","down","down"
"ANKRD34C-AS1","up",NA,NA,NA,NA
"WDR48","down","up","down","up","down"
"CPPED1","down","down","up","up","down"
"PIGM","down","up","up","up","up"
"PIGU","down","up","down","up","down"
"C2CD5","down","up","up","up","up"
"SIGLEC11","up","down","down","down","down"
"RNF6","down","down","down","up","up"
"BRD3","down","down","down","down","down"
"COCH","down","up","down","up","down"
"OSR2","up","up","up","down","down"
"CCL3L3","up",NA,NA,NA,NA
"RPP25","up","down","down","up","down"
"MIR17HG","down","down","down","up","up"
"UBE2N","down","up","up","up","down"
"C10orf10","up","up","down","down","down"
"NAPEPLD","down","up","up","up","up"
"RBMXL1","down","up","up","up","up"
"KIF6","up","down","down","down","down"
"COLCA2","down","up","up","down","down"
"HKR1","down","down","up","up","up"
"CLN5","down","up","up","down","up"
"LINC00937","down","up","down","up","down"
"OLA1","down","up","down","up","up"
"LDLRAD4","down","down","down","down","down"
"ARMCX3","down","up","up","up","up"
"CES4A","down","up","down","up","down"
"ST7","down",NA,NA,NA,NA
"KLK6","up","up","up","up","up"
"PLEKHM3","down","up","up","down","up"
"L3MBTL3","down","up","up","up","up"
"ATAT1","down","up","down","up","down"
"NFAT5","down","down","down","down","up"
"PARVB","up","down","down","down","down"
"CRNKL1","down","up","down","up","up"
"H2AFV","down","down","up","up","down"
"TMEM268","down",NA,NA,NA,NA
"ABCC6","down",NA,NA,NA,NA
"EPC1","down","up","up","down","up"
"PROSER1","down","down","up","up","up"
"SRFBP1","down","down","down","up","down"
"HSDL1","up","up","up","down","up"
"FAM3C","down","up","up","up","up"
"GRIN2B","down","down","up","down","up"
"SERINC5","down","up","up","up","up"
"ZNF252P-AS1","down","up","down","up","up"
"DAG1","up","down","up","down","down"
"QKI","down","down","up","down","up"
"LOC100506634","down",NA,NA,NA,NA
"MB21D1","down","down","down","up","up"
"MYH6","up","down","up","up","down"
"ACVR2B","down","up","up","up","up"
"EHD1","up","down","down","down","down"
"MRFAP1L1","down","up","up","down","up"
"EPB41L5","down","up","up","up","down"
"GCNT3","up","up","up","up","down"
"STRN","down","up","down","up","up"
"IL23R","down","down","up","up","down"
"CLIC3","up","up","down","down","up"
"ANKRD27","down","down","down","up","down"
"STRN3","down","up","up","up","up"
"CYP3A4","down","up","down","up","down"
"FBXL3","down","down","down","up","up"
"XPA","down","down","up","down","up"
"ZNF343","up","up","up","down","down"
"DCLRE1C","down","up","up","down","up"
"STXBP4","down","up","up","down","up"
"C1QTNF7","down","down","down","down","up"
"FRA10AC1","down","up","up","down","up"
"DAAM1","down","up","down","down","up"
"PCDHB14","down","down","up","down","up"
"NAAA","down","down","down","up","down"
"PRDM2","down","down","down","down","down"
"GJB5","up","up","up","down","down"
"KRT14","up","down","up","down","down"
"TDRD9","up","down","up","down","up"
"SEC24A","down","up","up","up","up"
"SEMA4F","down","up","down","up","up"
"SVEP1","up","down","down","down","up"
"DARS","up","up","down","up","up"
"IFIT3","down","up","down","down","down"
"C2orf57","up","up","down","down","down"
