"Gene","Votes","Algorithms"
"CSNK1G2",10,"LASSO; Ridge; ElasticNet; RandomForest; XGBoost_Gain; XGBoost_SHAP; Boruta_Confirmed; Boruta_Top15; LogReg_AIC; PLS_DA"
"C5ORF42",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"GGT1 /// GGT2 /// GGTLC1 /// GGTLC2",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; PLS_DA"
"KAZN",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"KLK6",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"MGA",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"MID2",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"SOX11",5,"LASSO; ElasticNet; Boruta_Confirmed; Boruta_Top15; LogReg_AIC"
"TAS2R40",5,"LASSO; Ridge; ElasticNet; XGBoost_Gain; XGBoost_SHAP"
"ZNF451",5,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"IGSF1",4,"LASSO; Ridge; ElasticNet; PLS_DA"
"INSC",4,"LASSO; ElasticNet; Boruta_Confirmed; Boruta_Top15"
"PPP5D1",4,"LASSO; Ridge; ElasticNet; PLS_DA"
"TTC40",4,"LASSO; ElasticNet; XGBoost_Gain; XGBoost_SHAP"
"TYSND1",4,"RandomForest; Boruta_Confirmed; Boruta_Top15; CART"
"ATP8A2",3,"LASSO; ElasticNet; RandomForest"
"ATXN3",3,"LASSO; ElasticNet; LogReg_AIC"
"BC039122",3,"LASSO; Ridge; ElasticNet"
"C1ORF192",3,"LASSO; Ridge; ElasticNet"
"CDC37",3,"Boruta_Confirmed; Boruta_Top15; CART"
"CTC-436K13.5",3,"LASSO; Ridge; ElasticNet"
"DCDC1 /// DCDC5",3,"LASSO; Ridge; ElasticNet"
"DLGAP1-AS3",3,"LASSO; Ridge; ElasticNet"
"DMRTC2",3,"LASSO; Ridge; ElasticNet"
"DQ570835",3,"LASSO; ElasticNet; PLS_DA"
"EFCAB3 /// LOC102724660",3,"LASSO; ElasticNet; PLS_DA"
"GP5",3,"LASSO; ElasticNet; LogReg_AIC"
"HS2ST1",3,"Boruta_Confirmed; Boruta_Top15; CART"
"ICAM3",3,"ElasticNet; RandomForest; LogReg_AIC"
"LOC338620",3,"LASSO; ElasticNet; PLS_DA"
"LPIN3",3,"LASSO; ElasticNet; LogReg_AIC"
"MRPS34",3,"RandomForest; Boruta_Confirmed; Boruta_Top15"
"PSMB9",3,"XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"PTPN14",3,"RandomForest; Boruta_Confirmed; Boruta_Top15"
"RAB11FIP2",3,"ElasticNet; Boruta_Confirmed; Boruta_Top15"
"SHC1P1 /// SHC1P1",3,"LASSO; Ridge; ElasticNet"
"SRY",3,"LASSO; Ridge; ElasticNet"
"TNRC6C",3,"XGBoost_Gain; XGBoost_SHAP; LogReg_AIC"
"ACKR3",2,"Boruta_Confirmed; Boruta_Top15"
"AK097370",2,"LASSO; ElasticNet"
"AKAP8",2,"LASSO; ElasticNet"
"ANGPT2",2,"LASSO; ElasticNet"
"ANK2",2,"LASSO; ElasticNet"
"ANO8",2,"LASSO; ElasticNet"
"AP1S1",2,"Boruta_Confirmed; Boruta_Top15"
"ASB16-AS1",2,"LASSO; ElasticNet"
"ATP5J2",2,"LASSO; ElasticNet"
"ATP6V1G1",2,"LASSO; ElasticNet"
"BRMS1L",2,"ElasticNet; LogReg_AIC"
"BVES-AS1",2,"LASSO; ElasticNet"
"C20ORF202",2,"Ridge; ElasticNet"
"C3",2,"LASSO; ElasticNet"
"CHMP4A /// TM9SF1",2,"LASSO; ElasticNet"
"CHRDL1",2,"LASSO; ElasticNet"
"CHRDL2",2,"LASSO; ElasticNet"
"DEFB122",2,"Ridge; ElasticNet"
"EPPK1",2,"LASSO; ElasticNet"
"GCC1",2,"LASSO; ElasticNet"
"GUSBP3 /// SMA4 /// SMA5",2,"LASSO; ElasticNet"
"HBEGF",2,"LASSO; ElasticNet"
"HES6",2,"LASSO; ElasticNet"
"IL24",2,"LASSO; ElasticNet"
"IRGC",2,"LASSO; ElasticNet"
"ITIH3",2,"LASSO; ElasticNet"
"KCTD12",2,"LASSO; ElasticNet"
"KLHDC8A",2,"LASSO; ElasticNet"
"LOC101927550",2,"LASSO; ElasticNet"
"LOC101929087 /// SUMO2 /// SUMO3",2,"LASSO; ElasticNet"
"LYNX1",2,"LASSO; ElasticNet"
"MED13",2,"LASSO; ElasticNet"
"MIR4746 /// UBXN6",2,"LASSO; ElasticNet"
"MOSPD2",2,"ElasticNet; LogReg_AIC"
"NALCN",2,"LASSO; ElasticNet"
"OPRL1",2,"LASSO; ElasticNet"
"PCDHGA10",2,"LASSO; ElasticNet"
"PNKP",2,"RandomForest; PLS_DA"
"PRSS30P",2,"LASSO; ElasticNet"
"RIMBP2",2,"LASSO; ElasticNet"
"RNF180",2,"XGBoost_Gain; XGBoost_SHAP"
"RP11-141M1.1",2,"LASSO; ElasticNet"
"RP11-301O19.1",2,"LASSO; ElasticNet"
"RUFY3",2,"RandomForest; LogReg_AIC"
"SCML4",2,"LASSO; ElasticNet"
"SEPT1",2,"LASSO; ElasticNet"
"ST20",2,"LASSO; ElasticNet"
"SYCE1",2,"XGBoost_Gain; XGBoost_SHAP"
"TADA2A",2,"LASSO; ElasticNet"
"THAP6",2,"LASSO; ElasticNet"
"TMEM143",2,"LASSO; ElasticNet"
"TRIM33",2,"LASSO; ElasticNet"
"TTC5",2,"ElasticNet; RandomForest"
"UACA",2,"ElasticNet; CART"
"UBE3A",2,"ElasticNet; LogReg_AIC"
"USP42",2,"LASSO; ElasticNet"
"WNK1",2,"XGBoost_Gain; XGBoost_SHAP"
"YIPF6",2,"LASSO; ElasticNet"
"ZNF19",2,"LASSO; ElasticNet"
"ZNF551",2,"ElasticNet; PLS_DA"
"ZNF606",2,"LASSO; ElasticNet"
"ZNF800",2,"LASSO; ElasticNet"
"ARFIP2",1,"CART"
"ARHGEF3",1,"LogReg_AIC"
"ATG2B",1,"LogReg_AIC"
"ATRX",1,"LogReg_AIC"
"C21ORF58",1,"ElasticNet"
"CCSER2",1,"LogReg_AIC"
"CDCA2",1,"PLS_DA"
"CEP164",1,"CART"
"CETN1",1,"ElasticNet"
"COBL",1,"ElasticNet"
"COX19",1,"ElasticNet"
"CPB2",1,"ElasticNet"
"CSRNP1",1,"ElasticNet"
"CXCL9",1,"ElasticNet"
"CYP3A4",1,"CART"
"DBT",1,"CART"
"DCN",1,"CART"
"DES",1,"ElasticNet"
"EIF2B5",1,"CART"
"ELOF1",1,"RandomForest"
"FAM161B",1,"CART"
"FAM26F",1,"ElasticNet"
"FANCB",1,"CART"
"FBXW12",1,"CART"
"FHAD1",1,"LASSO"
"FLRT2 /// LOC100506718 /// LOC102724348",1,"RandomForest"
"FOXN3-AS1",1,"ElasticNet"
"FXR2",1,"ElasticNet"
"GATA4",1,"LASSO"
"GSTA4",1,"ElasticNet"
"HIPK1",1,"ElasticNet"
"ID4",1,"LogReg_AIC"
"IDS",1,"LogReg_AIC"
"IL17RD",1,"LogReg_AIC"
"IL2RB",1,"CART"
"ITGB1",1,"LogReg_AIC"
"JUNB",1,"ElasticNet"
"KCNJ8",1,"CART"
"LIPG",1,"ElasticNet"
"LOC100270804",1,"LASSO"
"LOC101927870",1,"Ridge"
"LOC102724487",1,"ElasticNet"
"LOH12CR1",1,"ElasticNet"
"MBNL1-AS1",1,"ElasticNet"
"MRPL4",1,"LogReg_AIC"
"MRPL44",1,"PLS_DA"
"NEK11",1,"LASSO"
"NFKB1",1,"ElasticNet"
"NPFF",1,"PLS_DA"
"OLFML2A",1,"LogReg_AIC"
"PCDHB14",1,"PLS_DA"
"PCSK5",1,"ElasticNet"
"PIK3R3",1,"RandomForest"
"PTPN6",1,"ElasticNet"
"RALGAPA1",1,"ElasticNet"
"RP11-388M20.6",1,"ElasticNet"
"RP11.388M20.6",1,"LogReg_AIC"
"RPS6KA6",1,"PLS_DA"
"SCRG1",1,"ElasticNet"
"SLAMF8",1,"RandomForest"
"SPRY4",1,"ElasticNet"
"SYN2",1,"RandomForest"
"TBX3",1,"ElasticNet"
"TCF3",1,"ElasticNet"
"TIGIT",1,"ElasticNet"
"TMEM254-AS1",1,"ElasticNet"
"TMEM33",1,"ElasticNet"
"TNFRSF18",1,"LogReg_AIC"
"TOMM40",1,"LogReg_AIC"
"TRAPPC6B",1,"LogReg_AIC"
"USP22",1,"PLS_DA"
"WDR83",1,"RandomForest"
"ZMYND11",1,"LogReg_AIC"
