"Variable","Selection_Frequency","Selection_Rate"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",133,66.5
"HALLMARK_TGF_BETA_SIGNALING",118,59
"KEGG_ECM_RECEPTOR_INTERACTION",98,49
"KEGG_TGF_BETA_SIGNALING_PATHWAY",80,40
"HALLMARK_MYC_TARGETS_V2",80,40
"tumor_distal",79,39.5
"KEGG_COLORECTAL_CANCER",70,35
"KEGG_MTOR_SIGNALING_PATHWAY",65,32.5
"KEGG_FOCAL_ADHESION",63,31.5
"KEGG_WNT_SIGNALING_PATHWAY",58,29
"KEGG_PATHWAYS_IN_CANCER",48,24
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",48,24
"KEGG_HOMOLOGOUS_RECOMBINATION",42,21
"HALLMARK_G2M_CHECKPOINT",42,21
"HALLMARK_E2F_TARGETS",41,20.5
"HALLMARK_P53_PATHWAY",40,20
"KEGG_BASE_EXCISION_REPAIR",39,19.5
"KEGG_CELL_CYCLE",38,19
"HALLMARK_ANGIOGENESIS",37,18.5
"HALLMARK_DNA_REPAIR",29,14.5
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",27,13.5
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",27,13.5
"HALLMARK_MTORC1_SIGNALING",25,12.5
"HALLMARK_MYC_TARGETS_V1",24,12
"KEGG_MISMATCH_REPAIR",18,9
"KEGG_GLUTATHIONE_METABOLISM",18,9
"HALLMARK_HYPOXIA",17,8.5
"KEGG_NOTCH_SIGNALING_PATHWAY",15,7.5
"HALLMARK_GLYCOLYSIS",15,7.5
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",13,6.5
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",12,6
"KEGG_MAPK_SIGNALING_PATHWAY",11,5.5
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",10,5
"HALLMARK_APOPTOSIS",10,5
"KEGG_JAK_STAT_SIGNALING_PATHWAY",9,4.5
"KEGG_ABC_TRANSPORTERS",8,4
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",8,4
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8,4
"KEGG_P53_SIGNALING_PATHWAY",6,3
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",5,2.5
"HALLMARK_INFLAMMATORY_RESPONSE",5,2.5
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",4,2
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",4,2
"KEGG_APOPTOSIS",3,1.5
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",2,1
