"Variable","Level","Total_N","Total_Pct","Low_N","Low_Pct","High_N","High_Pct","P_value","Test"
"Sex","Male",125,"55.1%",63,"55.3%",62,"54.9%","",""
"Sex","Female",102,"44.9%",51,"44.7%",51,"45.1%","1.0000","Chi-square"
"Age group","<65",120,"52.9%",56,"49.1%",64,"56.6%","",""
"Age group",">=65",107,"47.1%",58,"50.9%",49,"43.4%","0.3168","Chi-square"
"TNM Stage","II",56,"24.7%",26,"22.8%",30,"26.5%","",""
"TNM Stage","III",151,"66.5%",81,"71.1%",70,"61.9%","",""
"TNM Stage","IV",20,"8.8%",7,"6.1%",13,"11.5%","0.2366","Chi-square"
"Tumor location","distal",149,"65.6%",59,"51.8%",90,"79.6%","",""
"Tumor location","proximal",78,"34.4%",55,"48.2%",23,"20.4%","0.0000","Chi-square"
"MMR status","pMMR",200,"88.1%",101,"88.6%",99,"87.6%","",""
"MMR status","dMMR",15,"6.6%",9,"7.9%",6,"5.3%","0.3928","Fisher"
"KRAS","WT",121,"53.3%",60,"52.6%",61,"54.0%","",""
"KRAS","M",87,"38.3%",43,"37.7%",44,"38.9%","0.7831","Chi-square"
"BRAF","WT",177,"78.0%",87,"76.3%",90,"79.6%","",""
"BRAF","M",8,"3.5%",7,"6.1%",1,"0.9%","0.1173","Fisher"
