"Model","Variable","HR","HR_lower","HR_upper","p_value","C_index"
"Crude","risk_score_z",2.08043553837856,1.60968317391812,2.68885958397219,2.18233525605071e-08,0.675533100527528
"Adjusted","risk_score_z",2.09538419628569,1.60215160148584,2.74046159300526,6.58773965271693e-08,0.683037372761721
"Adjusted","age_num",1.01238840448196,0.992540086998738,1.03263363863593,0.222935343660566,0.683037372761721
"Adjusted","sex_bin",0.818966589124917,0.520213108551107,1.28929137516536,0.388386102559467,0.683037372761721
"Adjusted","stage_III_IV",1.29094428061057,0.739486783739915,2.25364018977149,0.369010898869239,0.683037372761721
"Adjusted","mmr_dmmr",1.12532983259009,0.383907337412761,3.29862732150831,0.829616852053074,0.683037372761721
"Adjusted","location",1.06987297348667,0.620144291583636,1.8457449257079,0.808207877094318,0.683037372761721
"Clinical-only","age_num",1.01159831613305,0.991764742066534,1.03182852726838,0.253689070922486,0.571402035812468
"Clinical-only","sex_bin",0.871475746699217,0.556225302155302,1.3653999092492,0.548182595884935,0.571402035812468
"Clinical-only","stage_III_IV",1.42470245662989,0.824099986066996,2.46302284218486,0.205047237427775,0.571402035812468
"Clinical-only","mmr_dmmr",0.962607092873389,0.335489976737878,2.76196750871675,0.943506215989082,0.571402035812468
"Clinical-only","location",1.67297878554843,0.980208167234064,2.85537104306412,0.0592041262515028,0.571402035812468
