"Pathway","HR","HR_lower","HR_upper","p_value"
"HALLMARK_TGF_BETA_SIGNALING",1.46087045281857,1.16543237129577,1.83120233527195,0.00100904630164453
"KEGG_FOCAL_ADHESION",1.37934158617695,1.10713244118707,1.71847842279574,0.00413933315810591
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",1.36170319843085,1.10013472031656,1.68546230418331,0.00455599516532663
"KEGG_MTOR_SIGNALING_PATHWAY",1.35647439387761,1.08952203299973,1.68883485190252,0.0063957514632719
"KEGG_ECM_RECEPTOR_INTERACTION",1.36107926265881,1.08623002203884,1.7054737225571,0.00739155700026947
"KEGG_WNT_SIGNALING_PATHWAY",1.34166486508812,1.07436634549138,1.67546630417639,0.00952148054314438
"KEGG_TGF_BETA_SIGNALING_PATHWAY",1.33039479056402,1.05636134452216,1.67551596613989,0.0152705829329165
"KEGG_BASE_EXCISION_REPAIR",0.775225640014987,0.624809688503118,0.96185255125673,0.0207025854500325
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.29293084280061,1.02811422367474,1.62595762783063,0.0280150501278514
"KEGG_PATHWAYS_IN_CANCER",1.28339246751865,1.02543438191844,1.60624244196116,0.0293060421904881
"HALLMARK_MYC_TARGETS_V2",0.8094905426409,0.666542404333595,0.983095650576346,0.0330117875161186
"KEGG_HOMOLOGOUS_RECOMBINATION",0.794031072016378,0.638051007649075,0.988142539967968,0.0387471524630475
"KEGG_COLORECTAL_CANCER",1.25991590550141,1.01010064559149,1.57151477514986,0.0404527909005889
"HALLMARK_E2F_TARGETS",0.817475414399416,0.667107999139336,1.00173593182761,0.0519871366316998
"HALLMARK_ANGIOGENESIS",1.23788679821142,0.987676208270591,1.55148388951199,0.0639783540618598
"HALLMARK_G2M_CHECKPOINT",0.834422286619374,0.680829938466919,1.0226644174534,0.0811527548487518
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.824952491199502,0.661500994041162,1.02879151938798,0.0876329754962651
"HALLMARK_P53_PATHWAY",1.21057709757555,0.958440867326765,1.52904259316689,0.10877251784221
"HALLMARK_MYC_TARGETS_V1",0.849912047803978,0.695740369120544,1.03824719832693,0.11128907891604
"HALLMARK_MTORC1_SIGNALING",0.846289367452669,0.688316474241358,1.04051801789696,0.113379189482806
"KEGG_CELL_CYCLE",0.848574516359977,0.689624377269185,1.04416075410063,0.120755313090158
"KEGG_MISMATCH_REPAIR",0.847783963329439,0.685207233398487,1.04893470682407,0.128472170115133
"HALLMARK_HYPOXIA",1.18412822457847,0.941899371510983,1.48865122395615,0.147797118509871
"HALLMARK_DNA_REPAIR",0.853722102225167,0.689028343974717,1.05778148925395,0.148104080830816
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.870093777909535,0.702434978083529,1.07776976656601,0.202597147619138
"KEGG_NOTCH_SIGNALING_PATHWAY",1.1456941701043,0.914129160047924,1.43591867405496,0.237755387346414
"HALLMARK_APOPTOSIS",1.13908821224419,0.908883025177258,1.42760060352167,0.258241647183949
"HALLMARK_GLYCOLYSIS",0.888940404676162,0.71440738349591,1.10611264849889,0.29113591002765
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.90482586658263,0.71909386337039,1.13852987842188,0.393552760939497
"KEGG_MAPK_SIGNALING_PATHWAY",1.09714879125239,0.873921982465054,1.37739465798906,0.42438733722538
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.925245441039981,0.740761744105843,1.15567405171365,0.493481498596874
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.932816136287114,0.741256362813879,1.17387989873633,0.553175267536463
"KEGG_GLUTATHIONE_METABOLISM",1.06556811674039,0.855090157463381,1.32785461451448,0.57163591067842
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.04774815417722,0.837339720431711,1.31102844854391,0.683410348175528
"KEGG_ABC_TRANSPORTERS",0.956430930916145,0.767088102089397,1.19250986049907,0.692273591569741
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.961534200651843,0.775888205356724,1.19159952766405,0.720060396467754
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",1.03864680635434,0.83453864705301,1.29267493142416,0.734100775796615
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1.01959617686806,0.830412218945667,1.25187989791849,0.852973074306265
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",1.01045912090091,0.81077204792866,1.2593276218887,0.926203281596326
"KEGG_APOPTOSIS",1.00724175346527,0.814930582937575,1.24493542292487,0.946779825243086
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",1.00623097863789,0.81820057784817,1.23747258286397,0.953068015169513
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.998511979027707,0.797638926167037,1.24997180999293,0.989632382467248
"KEGG_P53_SIGNALING_PATHWAY",0.998934253001967,0.799909442436471,1.24747826301581,0.992495149839388
"HALLMARK_INFLAMMATORY_RESPONSE",0.999240806488392,0.797202538745556,1.25248245059874,0.994742114530714
