"percentile","cutoff_value","n_high","n_low","hr","hr_lower","hr_upper","logrank_p","c_index"
10,0.653794433749005,204,23,11.4339956804399,1.59002278989873,82.2228826221074,0.000126226027468308,0.555687643955717
12,0.700777729491843,199,28,6.90197850842482,1.69453659216723,28.1122919097499,0.000161681697420885,0.559328330485177
14,0.739597547286234,195,32,5.31325424549146,1.67503684550694,16.8537610100685,0.000192818222250029,0.565160858904822
16,0.803734809861615,190,37,3.55876170238804,1.43792683171684,8.80766988627822,0.000914486961759703,0.563043316739728
18,0.838061853197431,186,41,2.80411017127799,1.28977596752642,6.09643383861827,0.0027444221940554,0.563154766327365
20,0.881481998555989,181,46,3.28953844778311,1.51284038201394,7.15281223855092,0.000414264309757992,0.577048814919385
22,0.904369779224092,177,50,2.69546018861284,1.34555689832042,5.39962720080131,0.00154748995741158,0.572962330039379
24,0.925860078529898,172,55,2.65445310175265,1.36644640111951,5.15652956722743,0.00120918980495772,0.575117022067018
26,0.980838192820891,168,59,2.93893475073517,1.51308545546215,5.70842673683665,0.00029970450277264,0.585296084404488
28,1.05093952265151,163,64,2.6752793953435,1.44618666284103,4.94895992823591,0.000488347277282164,0.586707779181217
30,1.09524752071281,159,68,2.64931609999403,1.46038539981606,4.80618047713406,0.000395335923817375,0.5876736756074
32,1.17159154464326,154,73,2.67847705979013,1.5021504898709,4.77597911008138,0.000238728196500285,0.592317408425589
34,1.24126100032729,150,77,2.687326890319,1.53006879598878,4.71987000477626,0.000165712034116072,0.598001337395052
36,1.36556005434915,145,82,2.7251305391495,1.57259078405075,4.72235786367521,9.76735068775404e-05,0.601381974886693
38,1.41646286240665,141,86,2.30188554159971,1.37273895532426,3.85993056150589,0.000773589347338751,0.588565272308492
40,1.47635799056948,136,91,2.37600896390025,1.4294250431101,3.94943311210723,0.00039761010525323,0.596366743443049
42,1.51499024165522,132,95,2.39504602845335,1.45228694490365,3.94980172378453,0.000298311463695791,0.598075637120143
44,1.61561007800819,127,100,2.48796290365294,1.51930545819243,4.07420336481749,0.000134472545671807,0.604019615127424
46,1.66178535339112,123,104,2.5734330276406,1.58160190250372,4.18724682694663,6.3545198423287e-05,0.610780890110707
48,1.70359765487523,118,109,2.67765286725152,1.65491720954316,4.33243719755596,2.65195250038466e-05,0.61505312430344
50,1.76143643877631,113,114,2.76585970246798,1.71876531045398,4.45085774492136,1.22599830653828e-05,0.619176759045992
52,1.8353636401555,109,118,2.64393486656632,1.65771733871977,4.21687788102865,2.47576026833204e-05,0.615536072516532
54,1.9861469614335,104,123,2.60069015217079,1.64314206139518,4.11625350388463,2.93410432002558e-05,0.61323278103871
56,2.04494633209632,100,127,2.67594863350621,1.6958435200916,4.22250107650086,1.6041534213919e-05,0.617579314956535
58,2.07647921714546,95,132,2.59220653772019,1.65160774440999,4.0684810040048,2.79390375000857e-05,0.616279069767442
60,2.13622411274563,91,136,2.53115379931924,1.61896731931376,3.95730011308933,4.3369821297119e-05,0.612266884612527
62,2.16845172741051,86,141,2.6036851949773,1.66904205887522,4.06171705410019,2.67905602997299e-05,0.617653614681626
64,2.25034011480658,82,145,2.58526671566654,1.65952177030973,4.0274277268962,3.33003919857529e-05,0.614978824578349
66,2.33122415298601,77,150,2.30086332020536,1.47637100397879,3.58580059077243,0.000316958816598764,0.604725462515789
68,2.40773649438007,73,154,2.45791829757163,1.57749563211756,3.82971732823612,0.000105632507345956,0.611783936399435
70,2.50180240039725,68,159,2.50358548719706,1.60284466951641,3.91051011424259,9.43538825907829e-05,0.608700497808158
72,2.55640160103,64,163,2.46534706829163,1.5738321269328,3.86187069327353,0.000150091472580434,0.605877108254699
74,2.59640277162634,59,168,2.70780286119378,1.72427593414891,4.25233350989635,3.71249985500067e-05,0.614867374990713
76,2.74759524442444,55,172,2.68620427895104,1.70204444429717,4.23942715034946,5.83268799430932e-05,0.612266884612527
78,2.92164275854575,50,177,3.11953622389712,1.96744168172141,4.94627431278763,6.18198403662631e-06,0.621108551898358
80,2.98887602314216,46,181,3.47021779475756,2.17912150189848,5.52626897240953,1.2917796929548e-06,0.624080540901999
82,3.14403880830548,41,186,3.72828764704307,2.32137978670491,5.98787361667543,7.11476628148338e-07,0.62274314585036
84,3.22371726231154,37,190,3.58586935083567,2.19683118112481,5.85318485632515,4.02589871839016e-06,0.610186492309978
86,3.42349616195226,32,195,3.36322115226043,2.01831993991343,5.60429310305342,3.00210640064477e-05,0.593952002377591
88,3.54783097292974,28,199,3.43497543914185,2.02225723027342,5.83459714762026,5.02514649693558e-05,0.584515937291032
90,3.86441331231143,23,204,3.22415930506432,1.83210007169661,5.67392763366164,0.000335984611688761,0.568355747083736
