"sample_id","Sensitivity_Score","RiskGroup"
"GSM1681355",0.389556508517875,"High"
"GSM1681363",-0.0673096711721524,"Low"
"GSM1681364",1.12098255061001,"High"
"GSM1681365",1.13231413912492,"Low"
"GSM1681367",0.735886643172171,"Low"
"GSM1681368",-0.171747121594403,"Low"
"GSM1681369",-0.273967643735761,"Low"
"GSM971961",0.208623200438448,"High"
"GSM971962",-0.339457054153966,"High"
"GSM971963",-0.0578763525500305,"High"
"GSM972000",0.280710779250288,"Low"
"GSM972017",0.944823216145378,"Low"
"GSM972018",1.42286062046696,"High"
"GSM972019",0.257955561685349,"High"
"GSM972020",0.052480531933134,"Low"
"GSM972021",-1.96215311573859,"Low"
"GSM972022",0.915957167922724,"Low"
"GSM972023",0.36622887423337,"High"
"GSM972024",-1.47863996827622,"Low"
"GSM972025",0.350863442890621,"Low"
"GSM972026",-1.44961467464163,"Low"
"GSM972027",-0.0557345863537193,"High"
"GSM972028",0.251402430177505,"Low"
"GSM972029",0.578620451237777,"High"
"GSM972030",-0.443197471798497,"Low"
"GSM972044",-1.40153298546981,"Low"
"GSM972065",-0.729581198646678,"High"
"GSM972068",0.267816338672561,"High"
"GSM972070",0.532552525955388,"High"
"GSM972074",0.103531422946475,"Low"
"GSM972078",-1.02750924881334,"High"
"GSM972079",0.145047977632134,"Low"
"GSM972080",-0.965414514295406,"High"
"GSM972082",-1.06986544479753,"High"
"GSM972093",0.780181581988921,"High"
"GSM972096",0.384822567509233,"High"
"GSM972097",1.32612285720363,"High"
"GSM972098",0.0141652754279323,"Low"
"GSM972099",-0.621914873533964,"High"
"GSM972100",-0.104944129997882,"Low"
"GSM972101",0.678597023200925,"High"
"GSM972102",0.415635545056688,"Low"
"GSM972103",0.200188012410097,"High"
"GSM972104",0.165595580284792,"High"
"GSM972105",0.75576921388119,"High"
"GSM972106",-0.482951429768487,"High"
"GSM972107",-0.477771857036454,"Low"
"GSM972108",-0.805061191904732,"Low"
"GSM972109",0.0565279882142743,"Low"
"GSM972110",-1.0523728572385,"Low"
"GSM972111",0.40960129595414,"Low"
"GSM972112",-0.254469023758448,"High"
"GSM972113",1.28994884280679,"High"
"GSM972114",-0.475347035692496,"Low"
"GSM972115",0.997014832287767,"High"
"GSM972116",0.273815541607782,"High"
"GSM972117",0.0152420668452727,"Low"
"GSM972118",-0.394964432172013,"High"
"GSM972119",-0.236475181856972,"High"
"GSM972120",-1.68088959061317,"Low"
"GSM972121",-0.236521102401016,"High"
"GSM972122",-0.403902423685841,"Low"
"GSM972124",0.576962965195362,"Low"
"GSM972125",0.648513252336134,"High"
"GSM972128",0.372435007086731,"High"
"GSM972133",0.823060248853359,"High"
"GSM972136",-0.377419716579671,"Low"
"GSM972137",0.377463145670516,"Low"
"GSM972139",0.674436881210229,"Low"
"GSM972141",0.532375056136767,"High"
"GSM972145",0.511456543439786,"High"
"GSM972146",-0.740781837543175,"High"
"GSM972148",0.981306804354353,"High"
"GSM972150",0.113161770497899,"Low"
"GSM972151",-0.210395725933247,"High"
"GSM972152",-0.369156150704477,"Low"
"GSM972154",-0.294518495895557,"High"
"GSM972155",-0.868567015708457,"High"
"GSM972156",-0.100751647839147,"Low"
"GSM972157",-1.06379930339129,"Low"
"GSM972158",0.403331472043346,"High"
"GSM972159",-0.0363321226031614,"Low"
"GSM972162",0.228259036915678,"High"
"GSM972163",-0.276173081183032,"Low"
"GSM972164",0.00335453765980842,"High"
"GSM972166",-0.0448328389573155,"High"
"GSM972173",0.367286843227045,"Low"
"GSM972174",0.555522058022059,"Low"
"GSM972178",1.40623721484896,"Low"
"GSM972180",0.978589571481363,"High"
"GSM972181",0.320770449326765,"High"
"GSM972183",0.826722363524957,"Low"
"GSM972185",0.295534268887888,"High"
"GSM972186",-0.237527808150271,"Low"
"GSM972188",0.156375772735553,"High"
"GSM972190",1.01066441626849,"Low"
"GSM972191",-0.20325158690457,"High"
"GSM972193",1.02066640116934,"High"
"GSM972194",-0.723167592600783,"Low"
"GSM972195",-0.943612623325766,"Low"
"GSM972198",-0.250912572851383,"Low"
"GSM972199",0.250796562486038,"Low"
"GSM972201",0.173758518103225,"Low"
"GSM972202",-0.220631147429663,"Low"
"GSM972203",0.313862837994235,"Low"
"GSM972204",-0.466898733770176,"High"
"GSM972207",-0.595823809104689,"Low"
"GSM972211",0.484995066052604,"High"
"GSM972215",0.291384281381111,"Low"
"GSM972224",0.0123915153449615,"High"
"GSM972225",-1.57956087987628,"Low"
"GSM972227",-0.848320175492902,"Low"
"GSM972230",0.944402293997763,"High"
"GSM972231",-0.0710146050620208,"High"
"GSM972232",0.388946507736441,"Low"
"GSM972234",-0.146033739485974,"High"
"GSM972235",-0.00114151485479572,"High"
"GSM972236",0.324664816462357,"High"
"GSM972238",-0.784605442168267,"Low"
"GSM972240",0.246028115391008,"High"
"GSM972250",-1.24287595218152,"High"
"GSM972251",-0.158347036187411,"High"
"GSM972252",-1.92167249865322,"High"
"GSM972253",-0.192069602971596,"Low"
"GSM972254",0.325153624454506,"High"
"GSM972256",1.08526659192173,"High"
"GSM972259",-0.705040395980553,"Low"
"GSM972260",0.670937295442618,"High"
"GSM972263",-0.996589764722296,"Low"
"GSM972265",-1.51056585274524,"Low"
"GSM972266",-1.43086176107736,"High"
"GSM972268",0.268302483664629,"Low"
"GSM972272",1.41609076075945,"High"
"GSM972276",-0.683961890413402,"Low"
"GSM972279",-1.1395382289236,"Low"
"GSM972284",0.571752968562525,"Low"
"GSM972288",0.894694395847448,"Low"
"GSM972289",0.0489381335359133,"Low"
"GSM972291",0.209300683988037,"Low"
"GSM972295",0.533799302222219,"Low"
"GSM972299",0.750120672434555,"Low"
"GSM972304",0.560470105662467,"Low"
"GSM972306",0.499173842719503,"Low"
"GSM972307",-0.0622899901961287,"Low"
"GSM972309",-1.05345689574263,"Low"
"GSM972311",1.33879378062189,"Low"
"GSM972319",1.30613860180436,"High"
"GSM972322",0.339169573645122,"High"
"GSM972323",0.142053139736202,"Low"
"GSM972326",0.917077128319843,"High"
"GSM972328",-1.46545182300247,"High"
"GSM972333",0.559005273218984,"Low"
"GSM972334",-0.502147936872184,"Low"
"GSM972336",-0.612951672384214,"Low"
"GSM972338",-0.00657822017469048,"Low"
"GSM972339",0.0148303379285388,"Low"
"GSM972348",0.0801747940562498,"Low"
"GSM972349",0.272660806094934,"High"
"GSM972352",0.0749538020815228,"High"
"GSM972353",-1.08316185800887,"Low"
"GSM972355",-0.780526025998196,"High"
"GSM972358",0.0176160520580204,"Low"
"GSM972359",0.0223669935902333,"High"
"GSM972360",-0.0478502545404321,"High"
"GSM972361",-0.790571090514298,"High"
"GSM972362",-0.223193252864637,"Low"
"GSM972363",-0.249696215225791,"Low"
"GSM972364",-1.60427453018078,"Low"
"GSM972365",-0.217192575619883,"High"
"GSM972366",0.366639110193607,"Low"
"GSM972367",1.5373658130941,"High"
"GSM972368",0.876570139627077,"Low"
"GSM972369",0.837171036011374,"High"
"GSM972370",0.263115954671418,"High"
"GSM972371",0.0521284525919291,"High"
"GSM972372",-0.872567481840329,"Low"
"GSM972373",0.687216200323612,"Low"
"GSM972374",0.688268848313657,"High"
"GSM972375",-0.868998923375175,"Low"
"GSM972376",0.358064262416557,"High"
"GSM972377",0.662167866572269,"High"
"GSM972378",0.153441774989153,"Low"
"GSM972379",0.589840748715542,"Low"
"GSM972380",-0.600814735201223,"Low"
"GSM972381",1.41539953140305,"High"
"GSM972395",-0.567287168498475,"Low"
"GSM972400",0.536115453697434,"High"
"GSM972407",-0.454433774745585,"High"
"GSM972408",0.17628124640893,"High"
"GSM972411",-1.10951988641034,"Low"
"GSM972412",0.179974281956338,"High"
"GSM972413",0.470030906477064,"High"
"GSM972415",0.15983684027149,"High"
"GSM972416",0.66504422840705,"High"
"GSM972417",-0.220120493068451,"High"
"GSM972423",0.917779532210277,"High"
"GSM972424",0.587592562201605,"High"
"GSM972425",-0.545451022316565,"Low"
"GSM972426",0.917970586294088,"Low"
"GSM972428",0.213975184463841,"High"
"GSM972429",0.686030375707729,"Low"
"GSM972430",-1.45307583905695,"Low"
"GSM972431",-1.14083511193164,"Low"
"GSM972432",0.0318436253522261,"High"
"GSM972435",0.208145419381403,"High"
"GSM972440",0.400456378433231,"High"
"GSM972444",-0.313912352452439,"High"
"GSM972449",-1.30826033342865,"Low"
"GSM972452",-1.20932660555638,"Low"
"GSM972453",-0.0341629116793064,"Low"
"GSM972457",-0.129444574235213,"High"
"GSM972460",0.359704037896323,"High"
"GSM972466",-1.34143985156899,"Low"
"GSM972467",0.568569989522301,"High"
"GSM972470",-1.19278757505458,"High"
"GSM972472",-1.47234501405124,"Low"
"GSM972474",0.518650868875583,"High"
"GSM972476",0.723695314864399,"High"
"GSM972481",0.717846610210175,"High"
"GSM972484",-0.0894354203633008,"Low"
"GSM972495",-0.150554302713563,"High"
"GSM972499",-0.261176544786143,"Low"
