"sample_id","Sensitivity_Score","RiskGroup"
"GSM1681355",1.47739282709312,"High"
"GSM1681363",0.937532178645518,"Low"
"GSM1681364",1.51210515232031,"High"
"GSM1681365",1.58457043641486,"Low"
"GSM1681367",1.69166229538562,"Low"
"GSM1681368",0.679372079087687,"Low"
"GSM1681369",-0.107176716786709,"Low"
"GSM971961",1.3291284457012,"High"
"GSM971962",0.550238827664433,"High"
"GSM971963",1.19243726734985,"High"
"GSM972000",-0.557308316406895,"Low"
"GSM972017",0.909750815776752,"Low"
"GSM972018",1.60461592179095,"High"
"GSM972019",1.17760647162704,"High"
"GSM972020",-0.202809852338538,"Low"
"GSM972021",-1.82794015181951,"Low"
"GSM972022",-0.340937499297629,"Low"
"GSM972023",0.123028630058537,"High"
"GSM972024",-2.1046505120035,"Low"
"GSM972025",-0.274281228595767,"Low"
"GSM972026",-0.290360082737716,"Low"
"GSM972027",-0.749929232144097,"High"
"GSM972028",0.362632346972211,"Low"
"GSM972029",0.443693295407649,"High"
"GSM972030",0.0469087119309192,"Low"
"GSM972044",-1.72131021622317,"Low"
"GSM972065",-1.13074640599566,"High"
"GSM972068",1.10692326738042,"High"
"GSM972070",0.159918729349617,"High"
"GSM972074",-0.508295876454447,"Low"
"GSM972078",-1.04497716655881,"High"
"GSM972079",1.4059700058521,"Low"
"GSM972080",-0.708816099173376,"High"
"GSM972082",-0.421904468148181,"High"
"GSM972093",0.413469729899553,"High"
"GSM972096",-0.502636753951967,"High"
"GSM972097",2.21539173947149,"High"
"GSM972098",-1.26784073330105,"Low"
"GSM972099",-2.03513984475011,"High"
"GSM972100",-0.400008600082959,"Low"
"GSM972101",0.265453681360807,"High"
"GSM972102",0.855270017160417,"Low"
"GSM972103",0.0899872976644581,"High"
"GSM972104",0.241808266177346,"High"
"GSM972105",0.916221749615623,"High"
"GSM972106",-1.00016529276043,"High"
"GSM972107",-0.282854137369037,"Low"
"GSM972108",-1.31899181013042,"Low"
"GSM972109",0.190283479801713,"Low"
"GSM972110",-0.239535695188211,"Low"
"GSM972111",0.320482916444694,"Low"
"GSM972112",0.749779314619022,"High"
"GSM972113",1.75900459770031,"High"
"GSM972114",-0.656357658782969,"Low"
"GSM972115",0.770940014878901,"High"
"GSM972116",0.167258892465992,"High"
"GSM972117",0.818890960540467,"Low"
"GSM972118",-0.407084935097997,"High"
"GSM972119",-0.415034568788162,"High"
"GSM972120",-0.87344744238343,"Low"
"GSM972121",-0.556470495596541,"High"
"GSM972122",-0.955903117384437,"Low"
"GSM972124",0.19566616218878,"Low"
"GSM972125",0.222077207772915,"High"
"GSM972128",0.106606959875016,"High"
"GSM972133",0.976368206162261,"High"
"GSM972136",-1.07725735793308,"Low"
"GSM972137",-0.553162661005971,"Low"
"GSM972139",-0.130921025547677,"Low"
"GSM972141",0.179018870685328,"High"
"GSM972145",0.0927955307959379,"High"
"GSM972146",-0.331596905797835,"High"
"GSM972148",0.202066639323303,"High"
"GSM972150",-0.35170451174031,"Low"
"GSM972151",-0.379422131473091,"High"
"GSM972152",-0.850051947233692,"Low"
"GSM972154",-1.14476088324442,"High"
"GSM972155",-1.28313278827043,"High"
"GSM972156",-0.337559279628908,"Low"
"GSM972157",-2.15035602962836,"Low"
"GSM972158",0.89710124718262,"High"
"GSM972159",0.256470646391657,"Low"
"GSM972162",-0.142458582052791,"High"
"GSM972163",0.161419365675441,"Low"
"GSM972164",-0.18296967955255,"High"
"GSM972166",-0.182256947549435,"High"
"GSM972173",0.111938516749686,"Low"
"GSM972174",-0.0536379379939603,"Low"
"GSM972178",1.37496404456916,"Low"
"GSM972180",0.966401502865865,"High"
"GSM972181",2.21750750776855,"High"
"GSM972183",-0.0403964209404302,"Low"
"GSM972185",0.836135995937815,"High"
"GSM972186",0.815817929072414,"Low"
"GSM972188",-0.216558067144695,"High"
"GSM972190",0.153753280267487,"Low"
"GSM972191",-0.660196044468815,"High"
"GSM972193",-0.12682671456655,"High"
"GSM972194",-0.315603574680289,"Low"
"GSM972195",-0.218129116827442,"Low"
"GSM972198",-0.671345088244224,"Low"
"GSM972199",0.0632702549667173,"Low"
"GSM972201",-0.144066459594634,"Low"
"GSM972202",-0.843035078877538,"Low"
"GSM972203",0.0375572469175993,"Low"
"GSM972204",0.0761107727805734,"High"
"GSM972207",-0.436934675196387,"Low"
"GSM972211",0.0831174136363758,"High"
"GSM972215",0.259943694770053,"Low"
"GSM972224",1.50042115193681,"High"
"GSM972225",-1.79251794762989,"Low"
"GSM972227",-1.1977777708571,"Low"
"GSM972230",0.553052940908534,"High"
