"sample_id","Sensitivity_Score","RiskGroup"
"GSM1681355",0.224359856668763,"High"
"GSM1681363",0.844842859164181,"Low"
"GSM1681364",-0.0889346379142529,"High"
"GSM1681365",0.255901782317853,"Low"
"GSM1681367",-0.259740326368474,"Low"
"GSM1681368",0.404118103362888,"Low"
"GSM1681369",-0.0178914808739518,"Low"
"GSM971961",0.0544608856576833,"High"
"GSM971962",0.249419257943887,"High"
"GSM971963",0.444942052035747,"High"
"GSM972000",0.0868049896381138,"Low"
"GSM972017",-0.602678319626994,"Low"
"GSM972018",1.26066113790202,"High"
"GSM972019",0.276572581975235,"High"
"GSM972020",0.274100922776744,"Low"
"GSM972021",0.232129139301651,"Low"
"GSM972022",0.0227352481397501,"Low"
"GSM972023",0.173610129620488,"High"
"GSM972024",-0.859256224248443,"Low"
"GSM972025",0.0275242110985475,"Low"
"GSM972026",0.780451949656075,"Low"
"GSM972027",-0.4443513318477,"High"
"GSM972028",-0.710503802028367,"Low"
"GSM972029",-0.47991199098234,"High"
"GSM972030",-0.158060760182466,"Low"
"GSM972044",-0.367650580346937,"Low"
"GSM972065",0.329197887748704,"High"
"GSM972068",0.541971034609475,"High"
"GSM972070",-0.0259144332264073,"High"
"GSM972074",0.517146007519008,"Low"
"GSM972078",-0.397371559670309,"High"
"GSM972079",-0.418364663770863,"Low"
"GSM972080",0.791370531830463,"High"
"GSM972082",-0.108694034261688,"High"
"GSM972093",0.00233832929482217,"High"
"GSM972096",-0.0749717143279698,"High"
"GSM972097",-1.02918939970961,"High"
"GSM972098",-1.08858322959835,"Low"
"GSM972099",-0.321402684715323,"High"
"GSM972100",-0.108496863134364,"Low"
"GSM972101",0.10039459968214,"High"
"GSM972102",-0.172742943869441,"Low"
"GSM972103",0.195374509469148,"High"
"GSM972104",0.00638322184516348,"High"
"GSM972105",-1.46165844057963,"High"
"GSM972106",-0.842118399296502,"High"
"GSM972107",-1.11505466287417,"Low"
"GSM972108",-0.154298774053083,"Low"
"GSM972109",0.38060238580724,"Low"
"GSM972110",0.338511895292016,"Low"
"GSM972111",-0.0626077375758158,"Low"
"GSM972112",0.209673065112089,"High"
"GSM972113",-0.953767916857984,"High"
"GSM972114",0.0732674837872357,"Low"
"GSM972115",-0.448124724474485,"High"
"GSM972116",-0.407525083134774,"High"
"GSM972117",0.295573011427514,"Low"
"GSM972118",-0.0117913576592884,"High"
"GSM972119",0.232182865686119,"High"
"GSM972120",1.1322639287312,"Low"
"GSM972121",-0.943908413024256,"High"
"GSM972122",-0.511463025292177,"Low"
"GSM972124",-0.0678206978262961,"Low"
"GSM972125",-0.388875513435996,"High"
"GSM972128",0.0491567210913124,"High"
"GSM972133",-0.282525938085729,"High"
"GSM972136",0.0475377754967822,"Low"
"GSM972137",-0.201869081589918,"Low"
"GSM972139",-0.319889375736301,"Low"
"GSM972141",0.984819412676955,"High"
"GSM972145",-0.535327022222077,"High"
"GSM972146",0.184035863711757,"High"
"GSM972148",-0.151679414920509,"High"
"GSM972150",-1.48816494497567,"Low"
"GSM972151",0.999247311521497,"High"
"GSM972152",0.65985444350342,"Low"
"GSM972154",0.466105564480633,"High"
"GSM972155",0.591014494304476,"High"
"GSM972156",0.256903120372504,"Low"
"GSM972157",-0.46245830806618,"Low"
"GSM972158",0.0194644363882352,"High"
"GSM972159",0.428725237414027,"Low"
"GSM972162",0.0525831453971425,"High"
"GSM972163",0.222279147221981,"Low"
"GSM972164",-0.352391745981686,"High"
"GSM972166",-0.124410601796471,"High"
"GSM972173",0.791125623172757,"Low"
"GSM972174",-0.603062883781336,"Low"
"GSM972178",0.00530362199591855,"Low"
"GSM972180",1.40631191713217,"High"
"GSM972181",-0.438726701730362,"High"
"GSM972183",-0.710428777408998,"Low"
"GSM972185",-0.588958583513849,"High"
"GSM972186",-1.2110212540297,"Low"
"GSM972188",-0.382666925826807,"High"
