"pathway","dataset","n_sensitive","n_resistant","median_sensitive","median_resistant","delta","p_value","fdr","mean_rank_sensitive","significant"
"HALLMARK_MTORC1_SIGNALING","GSE72970",63,61,0.664666546362211,0.671762721355672,0.00709617499346071,0.0289514491532061,0.827201680957706,69.672131147541,FALSE
"HALLMARK_GLYCOLYSIS","GSE72970",63,61,0.494509319270738,0.50792565846339,0.0134163391926519,0.0376000764071684,0.827201680957706,69.327868852459,FALSE
"KEGG_BASE_EXCISION_REPAIR","GSE72970",63,61,0.587322445023556,0.598238652465465,0.0109162074419092,0.0837510136653705,0.871961709299913,68.1803278688525,FALSE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","GSE72970",63,61,0.486004234075165,0.494429770412135,0.00842553633697019,0.0980556285479204,0.871961709299913,67.9344262295082,FALSE
"HALLMARK_G2M_CHECKPOINT","GSE72970",63,61,0.515334501030783,0.529610605351011,0.0142761043202277,0.105368202735107,0.871961709299913,67.8196721311475,FALSE
"HALLMARK_E2F_TARGETS","GSE72970",63,61,0.615873931789579,0.630851076570081,0.0149771447805016,0.118903869449988,0.871961709299913,67.6229508196721,FALSE
"KEGG_CELL_CYCLE","GSE72970",63,61,0.485128401174393,0.498676877075824,0.0135484759014311,0.148616404772903,0.934160258572531,67.2459016393443,FALSE
"KEGG_JAK_STAT_SIGNALING_PATHWAY","GSE72970",63,61,0.0754867815573774,0.0856037716105278,0.0101169900531504,0.190368903322401,0.968105575980659,66.8032786885246,FALSE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","GSE72970",63,61,0.464318251755829,0.441261243635135,-0.0230570081206939,0.260775190919486,0.968105575980659,58.8032786885246,FALSE
"KEGG_TGF_BETA_SIGNALING_PATHWAY","GSE72970",63,61,0.324217116253741,0.308520563005186,-0.0156965532485546,0.26718580461465,0.968105575980659,58.8524590163934,FALSE
"KEGG_MISMATCH_REPAIR","GSE72970",63,61,0.565400476377762,0.568720163546769,0.00331968716900777,0.29390661808321,0.968105575980659,65.9508196721311,FALSE
