"pathway","n_cohorts","direction_consensus","direction_sign","n_sig_consistent","mean_delta","mean_rank","delta_GSE104645","delta_GSE28702","delta_GSE72970","delta_GSE69657","delta_GSE39582","pval_GSE104645","fdr_GSE104645","pval_GSE28702","fdr_GSE28702","pval_GSE72970","fdr_GSE72970","pval_GSE69657","fdr_GSE69657","pval_GSE39582","fdr_GSE39582"
"KEGG_HOMOLOGOUS_RECOMBINATION",5,"3/5","Down_in_Resistant",0,0.0045,3,0.0251,-2e-04,-0.006,0.0235,-0.0199,"9.06e-02","9.06e-02","7.95e-01","7.95e-01","8.34e-01","8.34e-01","3.15e-01","3.15e-01","3.18e-01","3.18e-01"
"KEGG_ECM_RECEPTOR_INTERACTION",5,"3/5","Up_in_Resistant",0,0.0054,3,0.0338,0.0058,-0.0079,-0.0277,0.0231,"1.93e-01","1.93e-01","9.89e-01","9.89e-01","3.63e-01","3.63e-01","5.42e-02","5.42e-02","2.53e-01","2.53e-01"
"HALLMARK_MYC_TARGETS_V2",5,"3/5","Up_in_Resistant",0,0.0026,3,0.0148,-0.0216,0,0.0315,-0.0121,"4.33e-01","4.33e-01","1.54e-01","1.54e-01","4.97e-01","4.97e-01","1.32e-01","1.32e-01","2.56e-01","2.56e-01"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5,"3/5","Down_in_Resistant",1,-0.0106,3,-0.0143,0.0275,-0.0231,-0.0567,0.0134,"4.37e-01","4.37e-01","8.23e-01","8.23e-01","2.61e-01","2.61e-01","1.2e-02","1.2e-02","2.4e-01","2.4e-01"
"KEGG_MISMATCH_REPAIR",5,"3/5","Up_in_Resistant",0,0.0043,3,-0.0035,4e-04,0.0033,0.0291,-0.0079,"4.47e-01","4.47e-01","6.99e-01","6.99e-01","2.94e-01","2.94e-01","3.15e-01","3.15e-01","6.69e-01","6.69e-01"
"HALLMARK_P53_PATHWAY",5,"4/5","Up_in_Resistant",0,0.0052,3,0.0263,-0.0071,0.0036,9e-04,0.0023,"4.51e-01","4.51e-01","3.6e-01","3.6e-01","6.42e-01","6.42e-01","3.79e-01","3.79e-01","2.55e-01","2.55e-01"
"KEGG_FOCAL_ADHESION",5,"3/5","Down_in_Resistant",1,-0.0044,3,0.0034,-0.0032,-0.01,-0.027,0.015,"5.47e-01","5.47e-01","9.6e-01","9.6e-01","3.6e-01","3.6e-01","4.92e-02","4.92e-02","1.6e-01","1.6e-01"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",5,"3/5","Down_in_Resistant",0,0.0031,3,-0.0037,0.0408,-0.0093,-0.0199,0.0075,"5.5e-01","5.5e-01","2.42e-02","2.42e-02","5.35e-01","5.35e-01","6.45e-01","6.45e-01","4.05e-01","4.05e-01"
"KEGG_BASE_EXCISION_REPAIR",5,"3/5","Up_in_Resistant",0,0.0103,3,0.0193,-0.0028,0.0109,0.0345,-0.0106,"5.7e-01","5.7e-01","6.39e-01","6.39e-01","8.38e-02","8.38e-02","1.94e-01","1.94e-01","1.98e-01","1.98e-01"
"HALLMARK_GLYCOLYSIS",5,"5/5","Up_in_Resistant",1,0.0057,3,1e-04,0.0012,0.0134,0.0124,0.0014,"5.9e-01","5.9e-01","8.38e-01","8.38e-01","3.76e-02","3.76e-02","1.43e-01","1.43e-01","8.62e-01","8.62e-01"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",5,"4/5","Up_in_Resistant",0,0.0087,3,0.0062,0.002,0.0037,0.0396,-0.0082,"5.98e-01","5.98e-01","1.32e-01","1.32e-01","7.57e-01","7.57e-01","2.41e-01","2.41e-01","6.42e-01","6.42e-01"
"KEGG_ABC_TRANSPORTERS",5,"3/5","Down_in_Resistant",0,-0.0037,3,-0.0257,0.0087,-0.0031,0.0081,-0.0064,"6.23e-01","6.23e-01","2.42e-01","2.42e-01","6.28e-01","6.28e-01","7.38e-01","7.38e-01","7.71e-01","7.71e-01"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",5,"3/5","Up_in_Resistant",0,0.0031,3,0.0121,-0.0036,-0.0022,0.0092,1e-04,"6.23e-01","6.23e-01","7.6e-01","7.6e-01","4.41e-01","4.41e-01","5.42e-02","5.42e-02","9.94e-01","9.94e-01"
"HALLMARK_HYPOXIA",5,"3/5","Down_in_Resistant",1,0.0051,3,0.056,-0.0069,-0.003,-0.0275,0.0068,"6.43e-01","6.43e-01","6.79e-01","6.79e-01","9.12e-01","9.12e-01","4.03e-02","4.03e-02","2.14e-01","2.14e-01"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",5,"3/5","Down_in_Resistant",0,-2e-04,3,-0.0039,-0.0059,0.0084,8e-04,-7e-04,"6.56e-01","6.56e-01","1.46e-01","1.46e-01","9.81e-02","9.81e-02","9.33e-01","9.33e-01","6.5e-01","6.5e-01"
"HALLMARK_DNA_REPAIR",5,"3/5","Up_in_Resistant",0,0.0056,3,0.0092,-0.0023,0.0046,0.0196,-0.0029,"6.6e-01","6.6e-01","5.27e-01","5.27e-01","2.99e-01","2.99e-01","3.15e-01","3.15e-01","4.05e-01","4.05e-01"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",5,"4/5","Down_in_Resistant",0,-0.0082,3,-0.0017,-0.0036,0.0021,-0.0268,-0.0109,"6.73e-01","6.73e-01","7.33e-01","7.33e-01","8.14e-01","8.14e-01","1.12e-01","1.12e-01","2.92e-01","2.92e-01"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",5,"3/5","Up_in_Resistant",1,-3e-04,3,-0.0157,-0.0084,0.0029,0.0026,0.0171,"6.81e-01","6.81e-01","2.57e-01","2.57e-01","9.68e-01","9.68e-01","9.67e-01","9.67e-01","6.11e-03","6.11e-03"
"KEGG_CELL_CYCLE",5,"3/5","Up_in_Resistant",0,0.0116,3,0.003,-0.0045,0.0135,0.0476,-0.0019,"6.9e-01","6.9e-01","4.86e-01","4.86e-01","1.49e-01","1.49e-01","2.25e-01","2.25e-01","6.19e-01","6.19e-01"
"KEGG_P53_SIGNALING_PATHWAY",5,"3/5","Down_in_Resistant",0,0.0032,3,-0.0013,-0.0031,-0.003,0.0176,0.0055,"6.98e-01","6.98e-01","3.37e-01","3.37e-01","8.73e-01","8.73e-01","1.94e-01","1.94e-01","3.63e-01","3.63e-01"
"KEGG_MAPK_SIGNALING_PATHWAY",5,"4/5","Down_in_Resistant",0,-0.0021,3,-8e-04,-0.0065,0.0026,-0.0059,0,"7.38e-01","7.38e-01","1.2e-01","1.2e-01","6.71e-01","6.71e-01","1.03e-01","1.03e-01","6.99e-01","6.99e-01"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",5,"3/5","Down_in_Resistant",0,-0.0069,3,0.0018,-0.0014,0.0132,-0.033,-0.0152,"7.38e-01","7.38e-01","6.33e-01","6.33e-01","9.28e-01","9.28e-01","9.41e-02","9.41e-02","1.42e-01","1.42e-01"
"KEGG_WNT_SIGNALING_PATHWAY",5,"3/5","Down_in_Resistant",0,0.003,3,0.0208,-0.0024,-0.0039,-0.0082,0.0088,"7.42e-01","7.42e-01","4.97e-01","4.97e-01","5.29e-01","5.29e-01","9.33e-01","9.33e-01","1.49e-02","1.49e-02"
"HALLMARK_TGF_BETA_SIGNALING",5,"3/5","Down_in_Resistant",0,-0.0015,3,-0.0073,0.0028,-0.0076,-0.016,0.0207,"7.55e-01","7.55e-01","5.09e-01","5.09e-01","6.86e-01","6.86e-01","1.55e-01","1.55e-01","7.38e-03","7.38e-03"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",5,"4/5","Down_in_Resistant",1,-0.0052,3,-0.0013,-0.0074,0.0101,-0.0228,-0.0045,"7.64e-01","7.64e-01","1.82e-01","1.82e-01","1.9e-01","1.9e-01","4.03e-02","4.03e-02","5.02e-01","5.02e-01"
"HALLMARK_ANGIOGENESIS",5,"3/5","Up_in_Resistant",0,0.0029,3,0.0309,0.0036,-0.0098,-0.0315,0.0216,"7.73e-01","7.73e-01","5.57e-01","5.57e-01","9.48e-01","9.48e-01","1.94e-01","1.94e-01","1.18e-01","1.18e-01"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",5,"4/5","Up_in_Resistant",1,0.0081,3,0.0266,0.015,-0.0157,0.0049,0.0099,"7.91e-01","7.91e-01","1.85e-01","1.85e-01","2.67e-01","2.67e-01","7.38e-01","7.38e-01","3.29e-02","3.29e-02"
