"Pathway","AUC","PassFilter"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.38773987206823,TRUE
"KEGG_BASE_EXCISION_REPAIR",0.368550106609808,TRUE
"KEGG_MISMATCH_REPAIR",0.378464818763326,TRUE
"KEGG_HOMOLOGOUS_RECOMBINATION",0.347441364605544,TRUE
"KEGG_P53_SIGNALING_PATHWAY",0.426226012793177,TRUE
"KEGG_APOPTOSIS",0.386780383795309,TRUE
"KEGG_CELL_CYCLE",0.392643923240938,TRUE
"KEGG_ABC_TRANSPORTERS",0.565671641791045,TRUE
"KEGG_GLUTATHIONE_METABOLISM",0.414712153518124,TRUE
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.628997867803838,TRUE
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.424307036247335,TRUE
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.564818763326226,TRUE
"KEGG_WNT_SIGNALING_PATHWAY",0.49637526652452,FALSE
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.463539445628998,FALSE
"KEGG_NOTCH_SIGNALING_PATHWAY",0.411940298507463,TRUE
"KEGG_FOCAL_ADHESION",0.438805970149254,TRUE
"KEGG_ECM_RECEPTOR_INTERACTION",0.466631130063966,FALSE
"KEGG_MAPK_SIGNALING_PATHWAY",0.436140724946695,TRUE
"KEGG_MTOR_SIGNALING_PATHWAY",0.4636460554371,FALSE
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.547014925373134,FALSE
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.36226012793177,TRUE
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.352665245202559,TRUE
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.401918976545842,TRUE
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.418230277185501,TRUE
"KEGG_COLORECTAL_CANCER",0.469616204690832,FALSE
"KEGG_PATHWAYS_IN_CANCER",0.435714285714286,TRUE
"HALLMARK_DNA_REPAIR",0.382835820895522,TRUE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.431876332622601,TRUE
"HALLMARK_APOPTOSIS",0.428358208955224,TRUE
"HALLMARK_ANGIOGENESIS",0.443923240938166,TRUE
"HALLMARK_HYPOXIA",0.439339019189765,TRUE
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.388272921108742,TRUE
"HALLMARK_GLYCOLYSIS",0.396055437100213,TRUE
"HALLMARK_INFLAMMATORY_RESPONSE",0.411087420042644,TRUE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.427078891257996,TRUE
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.448933901918977,TRUE
"HALLMARK_P53_PATHWAY",0.428358208955224,TRUE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.38955223880597,TRUE
"HALLMARK_MYC_TARGETS_V1",0.383795309168444,TRUE
"HALLMARK_MYC_TARGETS_V2",0.364925373134328,TRUE
"HALLMARK_E2F_TARGETS",0.375159914712153,TRUE
"HALLMARK_G2M_CHECKPOINT",0.388912579957356,TRUE
"HALLMARK_MTORC1_SIGNALING",0.396055437100213,TRUE
"HALLMARK_TGF_BETA_SIGNALING",0.505756929637527,FALSE
