"Pathway","SelectionFreq","MeanCoef","MeanAbsCoefNonzero","SignConsistency","CV"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.754,-0.50497,0.669721,1,0.7543
"HALLMARK_ANGIOGENESIS",0.56,0.289393,0.516772,1,0.7835
"KEGG_HOMOLOGOUS_RECOMBINATION",0.556,-0.159238,0.290425,0.9856,0.9031
"KEGG_ABC_TRANSPORTERS",0.43,-0.072309,0.19449,0.8651,1.0641
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.43,0.14492,0.337023,1,0.8498
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.42,-0.154519,0.373521,0.9905,1.059
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.4,-0.064071,0.188486,0.905,1.2631
"HALLMARK_MYC_TARGETS_V1",0.396,-0.49271,1.244216,1,1.1571
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.382,0.110822,0.293772,0.9843,0.8145
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.368,-0.089278,0.254864,0.9837,1.0322
"KEGG_BASE_EXCISION_REPAIR",0.356,-0.122995,0.359956,0.9888,1.0617
"KEGG_MAPK_SIGNALING_PATHWAY",0.334,0.10191,0.322519,0.9701,0.9309
"KEGG_NOTCH_SIGNALING_PATHWAY",0.312,-0.071711,0.253065,0.9487,1.0155
"HALLMARK_MYC_TARGETS_V2",0.268,-0.055304,0.298378,0.903,1.7607
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.258,0.086058,0.352145,0.9612,0.908
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.236,0.128631,0.551513,0.9915,0.8457
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.216,0.069486,0.345753,0.9444,0.9255
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.182,0.098235,0.560628,0.9341,0.9085
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.174,0.140653,0.808349,1,0.8441
"KEGG_APOPTOSIS",0.156,0.025166,0.336687,0.5385,3.3154
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.118,0.01851,0.308512,0.8644,2.8052
"HALLMARK_GLYCOLYSIS",0.11,-0.044784,0.501738,0.9273,1.8226
"KEGG_FOCAL_ADHESION",0.098,-0.036765,0.425793,0.9388,1.288
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.098,-0.026421,0.283227,0.9388,1.1177
"KEGG_P53_SIGNALING_PATHWAY",0.092,-0.052451,0.74666,0.8043,1.5011
"HALLMARK_INFLAMMATORY_RESPONSE",0.09,0.008763,0.352362,0.6889,4.8938
"KEGG_GLUTATHIONE_METABOLISM",0.078,0.058118,0.826495,0.6923,1.2625
"HALLMARK_HYPOXIA",0.066,-0.013479,0.639574,0.6667,4.386
"KEGG_PATHWAYS_IN_CANCER",0.062,-0.004606,0.448402,0.5161,8.4083
"HALLMARK_DNA_REPAIR",0.056,0.043292,0.886555,0.6429,1.3084
"HALLMARK_G2M_CHECKPOINT",0.054,0.030285,0.560825,1,0.7658
"HALLMARK_E2F_TARGETS",0.05,0.067924,1.358478,1,0.9478
"KEGG_CELL_CYCLE",0.048,0.073795,1.537397,1,0.8328
"HALLMARK_P53_PATHWAY",0.044,0.003956,0.37688,0.5909,5.625
"KEGG_MISMATCH_REPAIR",0.036,-0.013812,0.63485,0.5,2.5389
"HALLMARK_APOPTOSIS",0.03,-0.019165,0.87512,0.8,1.3861
"HALLMARK_MTORC1_SIGNALING",0.016,-0.003192,0.348146,0.75,1.8678
