"Arm","k","C_train_mean","C_test_mean","C_test_SE","Nested_optimism","n_folds"
"Gene",2,0.6728,0.5157,0.0109,0.1571,25
"Gene",3,0.6996,0.5137,0.0124,0.1859,25
"Gene",5,0.7242,0.5129,0.0141,0.2114,25
"Gene",7,0.7399,0.5085,0.0129,0.2314,25
"Gene",10,0.7546,0.5052,0.0105,0.2494,25
"Gene",15,0.7751,0.5012,0.0121,0.2739,25
"Gene",20,0.7926,0.5141,0.0102,0.2784,25
"Gene",30,0.8188,0.5101,0.0087,0.3087,25
"Gene",50,0.8677,0.5097,0.0139,0.358,25
"Pathway",2,0.6065,0.5586,0.0109,0.048,25
"Pathway",3,0.6154,0.5614,0.0115,0.054,25
"Pathway",5,0.6217,0.5674,0.011,0.0543,25
"Pathway",7,0.6337,0.5834,0.0125,0.0503,25
"Pathway",10,0.6586,0.5878,0.0119,0.0708,25
"Pathway",15,0.6811,0.591,0.0115,0.09,25
"Pathway",20,0.7009,0.5872,0.0098,0.1137,25
"Pathway",30,0.7308,0.5597,0.0093,0.1712,25
"Pathway",50,0.7658,0.5405,0.011,0.2254,25
