"Arm","k","C_train","C_test"
"Gene",2,0.667256637168142,0.544303797468354
"Pathway",2,0.612979351032448,0.614828209764919
"Gene",3,0.673628318584071,0.54249547920434
"Pathway",3,0.612507374631268,0.620253164556962
"Gene",5,0.696283185840708,0.564195298372514
"Pathway",5,0.624070796460177,0.61121157323689
"Gene",7,0.697817109144543,0.564195298372514
"Pathway",7,0.645073746312684,0.603978300180832
"Gene",10,0.732861356932153,0.468354430379747
"Pathway",10,0.645427728613569,0.589511754068716
"Gene",15,0.734985250737463,0.466546112115732
"Pathway",15,0.661002949852507,0.618444846292948
"Gene",20,0.750914454277286,0.50994575045208
"Pathway",20,0.711032448377581,0.61121157323689
"Gene",30,0.809911504424779,0.508137432188065
"Pathway",30,0.730265486725664,0.540687160940326
"Gene",50,0.850147492625369,0.647377938517179
"Pathway",50,0.773569321533923,0.566003616636528
"Gene",2,0.677577350376299,0.410652920962199
"Pathway",2,0.597180743041453,0.570446735395189
"Gene",3,0.700155298052801,0.414089347079038
"Pathway",3,0.604348345478437,0.572164948453608
"Gene",5,0.742444152431012,0.481099656357388
"Pathway",5,0.61259108828097,0.597938144329897
"Gene",7,0.740413331740533,0.479381443298969
"Pathway",7,0.626448452992474,0.601374570446735
"Gene",10,0.749253374746147,0.486254295532646
"Pathway",10,0.662525385258631,0.594501718213058
"Gene",15,0.760960458726556,0.503436426116838
"Pathway",15,0.686656313463147,0.616838487972509
"Gene",20,0.777565404372238,0.436426116838488
"Pathway",20,0.714729423008004,0.601374570446735
"Gene",30,0.798231991398877,0.527491408934708
"Pathway",30,0.747222554055668,0.54639175257732
"Gene",50,0.860470672560029,0.510309278350515
"Pathway",50,0.775176203559909,0.520618556701031
"Gene",2,0.680993314231137,0.48881239242685
"Pathway",2,0.603987583572111,0.540447504302926
"Gene",3,0.702722063037249,0.48881239242685
"Pathway",3,0.622612225405922,0.542168674698795
"Gene",5,0.724570200573066,0.533562822719449
"Pathway",5,0.624641833810888,0.545611015490534
"Gene",7,0.754417382999045,0.46815834767642
"Pathway",7,0.640878701050621,0.500860585197935
"Gene",10,0.763490926456542,0.475043029259897
"Pathway",10,0.670487106017192,0.537005163511188
"Gene",15,0.784264565425024,0.430292598967298
"Pathway",15,0.681351480420248,0.586919104991394
"Gene",20,0.796919770773639,0.471600688468158
