"Arm","Repeat","Fold","Lambda","n_sel","C_train","C_test","cal_slope_test"
"Gene_500",1,1,"lambda.1se",0,0.5,0.5,NA
"Gene_500",1,1,"lambda.min",66,0.945486725663717,0.591320072332731,0.152016541623303
"Pathway_44",1,1,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",1,1,"lambda.min",5,0.632684365781711,0.576853526220615,0.966165232727048
"Gene_500",1,2,"lambda.1se",0,0.5,0.5,NA
"Gene_500",1,2,"lambda.min",69,0.939911599569944,0.481099656357388,-0.0410906043251225
"Pathway_44",1,2,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",1,2,"lambda.min",6,0.662525385258631,0.582474226804124,1.53250155527718
"Gene_500",1,3,"lambda.1se",0,0.5,0.5,NA
"Gene_500",1,3,"lambda.min",84,0.942335243553009,0.57487091222031,0.110961059179171
"Pathway_44",1,3,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",1,3,"lambda.min",5,0.650549188156638,0.555938037865749,0.78535913829874
"Gene_500",1,4,"lambda.1se",0,0.5,0.5,NA
"Gene_500",1,4,"lambda.min",0,0.5,0.5,NA
"Pathway_44",1,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",1,4,"lambda.min",9,0.656064073226545,0.623456790123457,1.1759841715345
"Gene_500",1,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",1,5,"lambda.min",1,0.674617461746175,0.505330490405117,-3.92411298757033
"Pathway_44",1,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",1,5,"lambda.min",3,0.632313231323132,0.520255863539446,0.669465857929443
"Gene_500",2,1,"lambda.1se",0,0.5,0.5,NA
"Gene_500",2,1,"lambda.min",60,0.906472303206997,0.5451197053407,0.292680979458296
"Pathway_44",2,1,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",2,1,"lambda.min",4,0.654460641399417,0.532228360957643,0.823745443882519
"Gene_500",2,2,"lambda.1se",0,0.5,0.5,NA
"Gene_500",2,2,"lambda.min",0,0.5,0.5,NA
"Pathway_44",2,2,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",2,2,"lambda.min",6,0.636320865678664,0.574545454545455,1.05259157295493
"Gene_500",2,3,"lambda.1se",0,0.5,0.5,NA
"Gene_500",2,3,"lambda.min",62,0.912338814622028,0.398589065255732,-0.757428768307886
"Pathway_44",2,3,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",2,3,"lambda.min",4,0.640009464095587,0.55379188712522,0.468612451667698
"Gene_500",2,4,"lambda.1se",0,0.5,0.5,NA
"Gene_500",2,4,"lambda.min",47,0.895490840770315,0.589318600368324,0.492828310506889
"Pathway_44",2,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",2,4,"lambda.min",5,0.646312822921559,0.622467771639042,1.53939263210791
"Gene_500",2,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",2,5,"lambda.min",55,0.90301724137931,0.514583333333333,0.0410776953623062
"Pathway_44",2,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",2,5,"lambda.min",7,0.62239110707804,0.51875,1.35698275649521
"Gene_500",3,1,"lambda.1se",0,0.5,0.5,NA
"Gene_500",3,1,"lambda.min",57,0.916057533600566,0.468694096601073,-0.140648693482368
"Pathway_44",3,1,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",3,1,"lambda.min",0,0.5,0.5,NA
"Gene_500",3,2,"lambda.1se",0,0.5,0.5,NA
"Gene_500",3,2,"lambda.min",56,0.906472303206997,0.5,-0.131322968783816
"Pathway_44",3,2,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",3,2,"lambda.min",8,0.662274052478134,0.509541984732824,0.0030144754144247
"Gene_500",3,3,"lambda.1se",0,0.5,0.5,NA
"Gene_500",3,3,"lambda.min",100,0.958400739542408,0.50996015936255,-0.0465488081594632
"Pathway_44",3,3,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",3,3,"lambda.min",0,0.5,0.5,NA
"Gene_500",3,4,"lambda.1se",0,0.5,0.5,NA
"Gene_500",3,4,"lambda.min",55,0.918588235294118,0.388278388278388,-0.50480267047988
"Pathway_44",3,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",3,4,"lambda.min",0,0.5,0.5,NA
"Gene_500",3,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",3,5,"lambda.min",58,0.873810076619457,0.495145631067961,0.044268706803645
"Pathway_44",3,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",3,5,"lambda.min",4,0.646621778500116,0.52621359223301,0.886923133725086
"Gene_500",4,1,"lambda.1se",46,0.90149218932152,0.448473282442748,-0.153863637259607
"Gene_500",4,1,"lambda.min",55,0.919095360223828,0.435114503816794,-0.192984566657043
"Pathway_44",4,1,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,1,"lambda.min",0,0.5,0.5,NA
"Gene_500",4,2,"lambda.1se",44,0.888315949841791,0.566914498141264,0.273273953422405
"Gene_500",4,2,"lambda.min",57,0.934372436423298,0.587360594795539,0.213637632757574
"Pathway_44",4,2,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,2,"lambda.min",3,0.644439235907653,0.440520446096654,-0.8959202664437
"Gene_500",4,3,"lambda.1se",0,0.5,0.5,NA
"Gene_500",4,3,"lambda.min",85,0.949851455733809,0.595744680851064,0.174113057694786
"Pathway_44",4,3,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,3,"lambda.min",10,0.665834818775995,0.648936170212766,0.582568925772556
"Gene_500",4,4,"lambda.1se",0,0.5,0.5,NA
"Gene_500",4,4,"lambda.min",67,0.942692085499711,0.478346456692913,-0.0398113602209184
"Pathway_44",4,4,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,4,"lambda.min",6,0.662045060658579,0.588582677165354,1.17595216433488
"Gene_500",4,5,"lambda.1se",0,0.5,0.5,NA
"Gene_500",4,5,"lambda.min",69,0.92700983227299,0.514619883040936,0.0340909886333793
"Pathway_44",4,5,"lambda.1se",0,0.5,0.5,NA
"Pathway_44",4,5,"lambda.min",5,0.628571428571429,0.58869395711501,2.28490440272839
