"gene_symbol","dir_GSE104645","dir_GSE28702","dir_GSE72970","dir_GSE69657","dir_GSE39582","n_cohorts","n_concordant","direction_consensus","concordance"
"A1BG","up","up","down","down","down",5,3,"down","3/5"
"A1BG-AS1","up","down","up","down","down",5,3,"down","3/5"
"A1CF","down","up","down","up","up",5,3,"up","3/5"
"A2M","down","up","down","down","up",5,3,"down","3/5"
"A2M-AS1",NA,"down","down","down","up",4,3,"down","3/4"
"A2ML1","down","down","up","down","up",5,3,"down","3/5"
"A2MP1",NA,"up","up","down","up",4,3,"up","3/4"
"A4GALT","up","down","down","down","down",5,4,"down","4/5"
"A4GNT","down","down","up","up","down",5,3,"down","3/5"
"AA06",NA,"down","up","up","down",4,2,"tie","2/4"
"AAAS","down","up","up","up","down",5,3,"up","3/5"
"AACS","down","down","up","up","down",5,3,"down","3/5"
"AACSP1",NA,"up","down","up","up",4,3,"up","3/4"
"AADAC","up","up","down","down","up",5,3,"up","3/5"
"AADACL2","up","up","down","down","down",5,3,"down","3/5"
"AADACP1",NA,"up","down","up","up",4,3,"up","3/4"
"AADAT","down","up","up","up","down",5,3,"up","3/5"
"AAED1","down","down","up","down","up",5,3,"down","3/5"
"AAGAB","up","up","up","up","down",5,4,"up","4/5"
"AAK1","down","down","down","down","up",5,4,"down","4/5"
"AAMDC","down","up","down","up","down",5,3,"down","3/5"
"AAMP","up","down","down","up","down",5,3,"down","3/5"
"AANAT","up","up","down","down","down",5,3,"down","3/5"
"AAR2","down","up","down","down","down",5,4,"down","4/5"
"AARD","up",NA,NA,NA,NA,1,1,"up","1/1"
"AARS","up","down","up","down","down",5,3,"down","3/5"
"AARS2","up","up","up","down","down",5,3,"up","3/5"
"AASDH","up","up","down","up","up",5,4,"up","4/5"
"AASDHPPT","up","up","up","up","up",5,5,"up","5/5"
"AASS","down","up","up","down","up",5,3,"up","3/5"
"AATBC","up","down","up","up","down",5,3,"up","3/5"
"AATF","down","up","up","up","down",5,3,"up","3/5"
"AATK","up","down","up","down","up",5,3,"up","3/5"
"ABAT","down","up","down","up","down",5,3,"down","3/5"
"ABCA1","down","up","down","down","up",5,3,"down","3/5"
"ABCA10","up",NA,NA,NA,NA,1,1,"up","1/1"
"ABCA11P","down","up","up","up","up",5,4,"up","4/5"
"ABCA12","up","down","up","down","down",5,3,"down","3/5"
"ABCA13","up","down","up","up","up",5,4,"up","4/5"
"ABCA17P","down","up","up","up","down",5,3,"up","3/5"
"ABCA2","up","down","down","up","down",5,3,"down","3/5"
"ABCA3","up","up","down","down","down",5,3,"down","3/5"
"ABCA4","up","down","down","up","down",5,3,"down","3/5"
"ABCA5","down","up","down","up","up",5,3,"up","3/5"
"ABCA6","up","up","down","down","up",5,3,"up","3/5"
"ABCA7","up","down","up","down","down",5,3,"down","3/5"
"ABCA8","up","up","down","down","down",5,3,"down","3/5"
"ABCA9","up","up","up","down","down",5,3,"up","3/5"
"ABCB1","down","up","down","up","up",5,3,"up","3/5"
"ABCB10","down","down","up","up","up",5,3,"up","3/5"
"ABCB11","up","up","down","up","down",5,3,"up","3/5"
"ABCB4","up","up","down","down","up",5,3,"up","3/5"
"ABCB5","up","down","down","down","down",5,4,"down","4/5"
"ABCB6","up","up","up","down","down",5,3,"up","3/5"
"ABCB7","up","up","up","up","up",5,5,"up","5/5"
"ABCB8","up","down","up","down","down",5,3,"down","3/5"
"ABCB9","up","down","up","down","up",5,3,"up","3/5"
"ABCC1",NA,"down","up","up","up",4,3,"up","3/4"
"ABCC10","up","down","down","up","up",5,3,"up","3/5"
"ABCC11","up","down","down","down","down",5,4,"down","4/5"
"ABCC12","down","down","down","up","down",5,4,"down","4/5"
"ABCC13","up","down","up","down","down",5,3,"down","3/5"
"ABCC2","down","up","down","up","down",5,3,"down","3/5"
"ABCC3","down","up","down","up","down",5,3,"down","3/5"
"ABCC4","down","down","up","up","down",5,3,"down","3/5"
"ABCC5","up","down","down","up","up",5,3,"up","3/5"
