"gene_symbol","logfc_GSE104645","pval_GSE104645","dir_GSE104645","logfc_GSE28702","pval_GSE28702","dir_GSE28702","logfc_GSE72970","pval_GSE72970","dir_GSE72970","logfc_GSE69657","pval_GSE69657","dir_GSE69657","logfc_GSE39582","pval_GSE39582","dir_GSE39582","n_cohorts","n_up","n_down","direction_consensus","consensus_frac","stouffer_z","stouffer_p","stouffer_fdr","mean_logfc"
"LDLRAD4",-0.441942435847327,0.0217248136105116,"down",-0.186993812159872,0.0656957312538,"down",-0.0488860039768731,0.511722669090988,"down",-0.276891322495383,0.0401496982543458,"down",-0.169195860198792,0.000130629279115063,"down",5,0,5,"down",1,-4.79454388579109,1.63045369789797e-06,0.0202735917358341,-0.224781886935649
"PRDM2",-0.466784769911259,0.0265477799256921,"down",-0.224395752836747,0.102353004004136,"down",-0.19745094965948,0.0175101813646276,"down",-0.322850539343844,0.00210897988507898,"down",-0.0759041453682743,0.0456258292604535,"down",5,0,5,"down",1,-4.7351873692853,2.18852817700009e-06,0.0202735917358341,-0.257477231423921
"PCGF5",-0.36612388087254,0.0837520895133004,"down",-0.332486484380671,0.00116758214492238,"down",-0.272984602376828,0.0103779015618381,"down",0.335144756858732,0.244791154390371,"up",-0.29404920991866,0.00450666683444119,"down",5,1,4,"down",0.8,-4.69774134818506,2.63054258931285e-06,0.0202735917358341,-0.186099884137993
"BAG5",0.439446214463169,0.150163515620504,"up",0.238796146544991,0.0385161887116215,"up",0.113109734399657,0.081914329902598,"up",0.151175425755315,0.263506704111489,"up",0.195291464422815,0.000871192734237517,"up",5,5,0,"up",1,4.51132934895352,6.44226014193373e-06,0.0372378741854124,0.227563797117189
"APOL6",-0.483645448112502,0.0405169529641623,"down",-0.189974918541495,0.121635868257256,"down",-0.350433348327162,0.097060874433324,"down",-0.493241384060892,0.0322830347001247,"down",-0.394420527086068,0.00754185556564195,"down",5,0,5,"down",1,-4.42395206419164,9.69115321460309e-06,0.0410047952987332,-0.382343125225624
"STON2",0.275178078188635,0.232968669505077,"up",0.293398148235409,0.0985076165537917,"up",0.161061810246175,0.0075539099637273,"up",0.272825024047796,0.0235030018938492,"up",0.277270174391334,0.0240428806088596,"up",5,5,0,"up",1,4.35705813341651,1.3182226478989e-05,0.0410047952987332,0.25594664702187
"WDFY3",0.232141576060404,0.217611940523168,"up",0.277588007282075,0.00902594748572171,"up",0.157679924448782,0.0629468327034041,"up",0.146496132597632,0.122042441965258,"up",0.245552833918188,0.0113926293523872,"up",5,5,0,"up",1,4.34357053249111,1.40185441129676e-05,0.0410047952987332,0.211891694861416
"SLC25A28",-0.146948896926565,0.253319691321243,"down",-0.300011441590198,0.0315374028701617,"down",-0.0519289579521718,0.451815559262082,"down",-0.364355633787681,0.0160474158972896,"down",-0.233374271068625,0.000459885238002344,"down",5,0,5,"down",1,-4.32967798760804,1.49327536196665e-05,0.0410047952987332,-0.219323840265048
"KIAA1257",-0.350794487252681,0.126000068467514,"down",-0.501918178736648,0.000209226649140531,"down",-0.0706648384948081,0.0565367381715737,"down",-0.0831380589198516,0.191295981583973,"down",-0.138169117613168,0.129934618599012,"down",5,0,5,"down",1,-4.31498486386173,1.59613839232126e-05,0.0410047952987332,-0.228936936203431
"TMEM67",0.221651069734604,0.240912032557576,"up",0.613052248668662,0.000115550816436502,"up",0.0595165917554488,0.213959400213863,"up",0.38831159612375,0.160033384882794,"up",0.108880373237165,0.0397342463208043,"up",5,5,0,"up",1,4.21057271925896,2.54724113223411e-05,0.0546581847024081,0.278282375903926
"PCNX2",0.123239022683599,0.40723489933768,"up",0.441310330857676,0.00320471023119366,"up",0.110493793671751,0.231288847234192,"up",0.194968212112698,0.101120822261192,"up",0.193778636129848,0.00383299796996937,"up",5,5,0,"up",1,4.19034349683959,2.7853247476905e-05,0.0546581847024081,0.212757999091114
"FOXN3",-0.298406992572579,0.102688814495008,"down",-0.2061456639132,0.00147101063565752,"down",-0.0675126025365587,0.396969399696636,"down",-0.340907527630236,0.0164137564082083,"down",-0.101751322102271,0.0422524387136614,"down",5,0,5,"down",1,-4.18618614584046,2.8368073025773e-05,0.0546581847024081,-0.202944821750969
"PAPOLA",0.116582811048797,0.369765292765941,"up",0.17329338703941,0.00981930557797492,"up",0.138721046382125,0.0977651368154974,"up",0.275184367348298,0.062067563302218,"up",0.180908548599236,0.0122279572059888,"up",5,5,0,"up",1,4.13743633061241,3.51207859535798e-05,0.0601927594188384,0.176938032083573
