Gene,Set
ACVR1,Shared
BMP2,Shared
BMPR1A,Shared
BMPR2,Shared
ID1,Shared
ID2,Shared
ID3,Shared
LEFTY2,Shared
NOG,Shared
RHOA,Shared
SMAD1,Shared
SMAD3,Shared
SMAD6,Shared
SMAD7,Shared
SMURF1,Shared
SMURF2,Shared
TGFB1,Shared
TGFBR1,Shared
THBS1,Shared
APC,HALLMARK-only
ARID4B,HALLMARK-only
BCAR3,HALLMARK-only
CDH1,HALLMARK-only
CDK9,HALLMARK-only
CDKN1C,HALLMARK-only
CTNNB1,HALLMARK-only
ENG,HALLMARK-only
FKBP1A,HALLMARK-only
FNTA,HALLMARK-only
FURIN,HALLMARK-only
HDAC1,HALLMARK-only
HIPK2,HALLMARK-only
IFNGR2,HALLMARK-only
JUNB,HALLMARK-only
KLF10,HALLMARK-only
LTBP2,HALLMARK-only
MAP3K7,HALLMARK-only
NCOR2,HALLMARK-only
PMEPA1,HALLMARK-only
PPM1A,HALLMARK-only
PPP1CA,HALLMARK-only
PPP1R15A,HALLMARK-only
RAB31,HALLMARK-only
SERPINE1,HALLMARK-only
SKI,HALLMARK-only
SKIL,HALLMARK-only
SLC20A1,HALLMARK-only
SPTBN1,HALLMARK-only
TGIF1,HALLMARK-only
TJP1,HALLMARK-only
TRIM33,HALLMARK-only
UBE2D3,HALLMARK-only
WWTR1,HALLMARK-only
XIAP,HALLMARK-only
ACVR1C,KEGG-only
ACVR2A,KEGG-only
ACVR2B,KEGG-only
ACVRL1,KEGG-only
AMH,KEGG-only
AMHR2,KEGG-only
BMP4,KEGG-only
BMP5,KEGG-only
BMP6,KEGG-only
BMP7,KEGG-only
BMP8A,KEGG-only
BMP8B,KEGG-only
BMPR1B,KEGG-only
CDKN2B,KEGG-only
CHRD,KEGG-only
COMP,KEGG-only
CREBBP,KEGG-only
CUL1,KEGG-only
DCN,KEGG-only
E2F4,KEGG-only
E2F5,KEGG-only
EP300,KEGG-only
FST,KEGG-only
GDF5,KEGG-only
GDF6,KEGG-only
GDF7,KEGG-only
ID4,KEGG-only
IFNG,KEGG-only
INHBA,KEGG-only
INHBB,KEGG-only
INHBC,KEGG-only
INHBE,KEGG-only
LEFTY1,KEGG-only
LTBP1,KEGG-only
MAPK1,KEGG-only
MAPK3,KEGG-only
MYC,KEGG-only
NODAL,KEGG-only
PITX2,KEGG-only
PPP2CA,KEGG-only
PPP2CB,KEGG-only
PPP2R1A,KEGG-only
PPP2R1B,KEGG-only
RBL1,KEGG-only
RBL2,KEGG-only
RBX1,KEGG-only
ROCK1,KEGG-only
ROCK2,KEGG-only
RPS6KB1,KEGG-only
RPS6KB2,KEGG-only
SKP1,KEGG-only
SKP1P2,KEGG-only
SMAD2,KEGG-only
SMAD4,KEGG-only
SMAD5,KEGG-only
SMAD9,KEGG-only
SP1,KEGG-only
TFDP1,KEGG-only
TGFB2,KEGG-only
TGFB3,KEGG-only
TGFBR2,KEGG-only
THBS2,KEGG-only
THBS3,KEGG-only
THBS4,KEGG-only
TNF,KEGG-only
ZFYVE16,KEGG-only
ZFYVE9,KEGG-only
