Gene,HR,HR_lower,HR_upper,p_value,HALLMARK,KEGG,Category,BH_FDR
ACVR1,1.1566830457624782,0.5690931373258632,2.350960819245078,0.6875181805381232,True,True,Shared,0.9915506217574394
ACVR1C,1.1448984932872488,0.555623475324558,2.3591381900588977,0.7137421657796312,False,True,KEGG-only,0.9915506217574394
ACVR2A,0.7324371509407567,0.3658369571242134,1.4664023675882092,0.3793260259344824,False,True,KEGG-only,0.9915506217574394
ACVR2B,0.6776057735701311,0.30313609469854125,1.5146648400025893,0.34297645389067805,False,True,KEGG-only,0.9915506217574394
ACVRL1,1.19897695364672,0.5668179317349257,2.536168414742818,0.6349689109136815,False,True,KEGG-only,0.9915506217574394
AMHR2,1.1970769552730456,0.5757780308832076,2.4887945701013687,0.6300192550873422,False,True,KEGG-only,0.9915506217574394
APC,0.6365098576514656,0.32199659825812077,1.2582269535739459,0.19383863721343222,True,False,HALLMARK-only,0.9915506217574394
ARID4B,0.5286474608528264,0.2534223772675051,1.1027760882029074,0.08928515858162926,True,False,HALLMARK-only,0.9915506217574394
BCAR3,1.1166431727389834,0.6441604051762488,1.9356855298850923,0.6942736837329866,True,False,HALLMARK-only,0.9915506217574394
BMP2,1.1382255107442887,0.5647500706755185,2.2940365669355876,0.7172960514798921,True,True,Shared,0.9915506217574394
BMP4,1.5842983491676412,0.7090473697857538,3.5399627248229364,0.2619674052226093,False,True,KEGG-only,0.9915506217574394
BMP5,1.025445868503052,0.5646293253318759,1.8623531971385094,0.9342222431636276,False,True,KEGG-only,0.994218167036521
BMP6,0.9880910652678068,0.5200053101801045,1.8775268908771683,0.9708209249796718,False,True,KEGG-only,0.9945927010197844
BMP7,1.0483609992032528,0.4961971660324121,2.2149678794792846,0.9015143479888772,False,True,KEGG-only,0.9915506217574394
BMP8A,1.320997077326786,0.6691025072324484,2.608020833046558,0.42246463756135866,False,True,KEGG-only,0.9915506217574394
BMP8B,0.5505959123513426,0.25436849320862703,1.191797989106167,0.1298683493628288,False,True,KEGG-only,0.9915506217574394
BMPR1A,0.647430624122956,0.2800596919005055,1.4967038284151013,0.30925173856637594,True,True,Shared,0.9915506217574394
BMPR1B,0.9443459530174081,0.46401979544926136,1.9218776606651693,0.8744972635164969,False,True,KEGG-only,0.9915506217574394
BMPR2,0.8063323258814732,0.364284075502749,1.7847934166875759,0.5954291789816164,True,True,Shared,0.9915506217574394
CDH1,1.047664003356532,0.5485085974548851,2.0010622787354095,0.8878474683181118,True,False,HALLMARK-only,0.9915506217574394
CDK9,1.451967650947705,0.6631641050591791,3.1790171441961044,0.350977238077411,True,False,HALLMARK-only,0.9915506217574394
