Gene,logFC,p_value,mean_resistant,mean_sensitive,direction,HALLMARK,KEGG,Shared,Category,BH_FDR
INHBB,0.37964819492641233,1.6798464695776387e-06,6.720737204944134,6.341089010017722,Up_in_Resistant,False,True,False,KEGG-only,0.0001948621904710061
GDF7,0.06339762576738472,0.0006426439211321964,4.2714754765977645,4.20807785083038,Up_in_Resistant,False,True,False,KEGG-only,0.03452348211333402
LTBP1,0.20582808312046463,0.001143234997961657,7.375912706069832,7.170084622949368,Up_in_Resistant,False,True,False,KEGG-only,0.03452348211333402
BMP4,0.2746557602814086,0.0015671794430331329,7.860224552463687,7.585568792182278,Up_in_Resistant,False,True,False,KEGG-only,0.03452348211333402
TGFBR2,0.1730930971599518,0.0016449198075825003,7.617345711734636,7.444252614574684,Up_in_Resistant,False,True,False,KEGG-only,0.03452348211333402
TGFB2,0.09661078714931381,0.002178896252344615,4.058434208015643,3.961823420866329,Up_in_Resistant,False,True,False,KEGG-only,0.03452348211333402
LTBP2,0.19300662800014123,0.0022923312549333573,6.783461571379888,6.590454943379747,Up_in_Resistant,True,False,False,HALLMARK-only,0.03452348211333402
TGIF1,-0.10985175694157956,0.002380929800919587,6.290393646785847,6.400245403727427,Up_in_Sensitive,True,False,False,HALLMARK-only,0.03452348211333402
COMP,0.4364036576911232,0.0035288721009934616,5.69065923616201,5.254255578470887,Up_in_Resistant,False,True,False,KEGG-only,0.041080202071124575
FST,0.14727848463044158,0.0037892678433728184,4.755011692631285,4.607733208000844,Up_in_Resistant,False,True,False,KEGG-only,0.041080202071124575
BMP8B,-0.06949430645808707,0.0038955364032962955,4.405657926713221,4.4751522331713085,Up_in_Sensitive,False,True,False,KEGG-only,0.041080202071124575
SERPINE1,0.28655513231254304,0.005265321073532224,6.156370681823091,5.869815549510548,Up_in_Resistant,True,False,False,HALLMARK-only,0.04960940537440588
NOG,0.05808714507843904,0.005559674740235141,3.3128793894860338,3.2547922444075947,Up_in_Resistant,True,True,True,Shared,0.04960940537440588
ENG,0.1135161771830786,0.006301581827976527,6.30697079184637,6.193454614663292,Up_in_Resistant,True,False,False,HALLMARK-only,0.051449670454948526
IFNG,-0.07670226928295021,0.006652974627795068,3.8838717711955306,3.960574040478481,Up_in_Sensitive,False,True,False,KEGG-only,0.051449670454948526
THBS2,0.34954766456051267,0.008428295931452199,8.411702636335194,8.062154971774682,Up_in_Resistant,False,True,False,KEGG-only,0.06100754046777127
BMPR1B,0.08836376995051243,0.008940760240966478,3.3515546515437613,3.263190881593249,Up_in_Resistant,False,True,False,KEGG-only,0.06100754046777127
PMEPA1,0.2602512669196333,0.009480874908731255,8.61418149060149,8.353930223681857,Up_in_Resistant,True,False,False,HALLMARK-only,0.061098971634045866
THBS3,0.10546104103175313,0.010176862146380316,6.663237764284918,6.5577767232531645,Up_in_Resistant,False,True,False,KEGG-only,0.0621324215252693
ID4,0.12695696352335517,0.013254436835555654,4.94960583337095,4.822648869847595,Up_in_Resistant,False,True,False,KEGG-only,0.07687573364622279
