sheet=Pathway panel dims=A1:F54
 1 | Supplementary Table S16. The 44-pa
 2 | Fixed, literature-defined candidat
 4 | Pathway gene set | Collection | MSigDB version | Genes in set (as loaded) | In the scored 44-feature panel | MSigDB reference
 5 | HALLMARK_ANGIOGENESIS | Hallmark (h.all) | v2024.1 | 36 | yes | https://www.gsea-msigdb.org/gsea/m
 6 | HALLMARK_APOPTOSIS | Hallmark (h.all) | v2024.1 | 161 | yes | https://www.gsea-msigdb.org/gsea/m
 7 | HALLMARK_DNA_REPAIR | Hallmark (h.all) | v2024.1 | 150 | yes | https://www.gsea-msigdb.org/gsea/m
 8 | HALLMARK_E2F_TARGETS | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
 9 | HALLMARK_EPITHELIAL_MESENCHYMAL_TR | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
10 | HALLMARK_G2M_CHECKPOINT | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
11 | HALLMARK_GLYCOLYSIS | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
12 | HALLMARK_HYPOXIA | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
13 | HALLMARK_INFLAMMATORY_RESPONSE | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
14 | HALLMARK_MTORC1_SIGNALING | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
15 | HALLMARK_MYC_TARGETS_V1 | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
16 | HALLMARK_MYC_TARGETS_V2 | Hallmark (h.all) | v2024.1 | 58 | yes | https://www.gsea-msigdb.org/gsea/m
17 | HALLMARK_OXIDATIVE_PHOSPHORYLATION | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
18 | HALLMARK_P53_PATHWAY | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
19 | HALLMARK_PI3K_AKT_MTOR_SIGNALING | Hallmark (h.all) | v2024.1 | 105 | yes | https://www.gsea-msigdb.org/gsea/m
20 | HALLMARK_TGF_BETA_SIGNALING | Hallmark (h.all) | v2024.1 | 54 | yes | https://www.gsea-msigdb.org/gsea/m
21 | HALLMARK_TNFA_SIGNALING_VIA_NFKB | Hallmark (h.all) | v2024.1 | 200 | yes | https://www.gsea-msigdb.org/gsea/m
22 | HALLMARK_WNT_BETA_CATENIN_SIGNALIN | Hallmark (h.all) | v2024.1 | 42 | yes | https://www.gsea-msigdb.org/gsea/m
23 | KEGG_ABC_TRANSPORTERS | KEGG (c2.cp.kegg_legacy) | v2024.1 | 44 | yes | https://www.gsea-msigdb.org/gsea/m
24 | KEGG_APOPTOSIS | KEGG (c2.cp.kegg_legacy) | v2024.1 | 87 | yes | https://www.gsea-msigdb.org/gsea/m
25 | KEGG_BASE_EXCISION_REPAIR | KEGG (c2.cp.kegg_legacy) | v2024.1 | 35 | yes | https://www.gsea-msigdb.org/gsea/m
26 | KEGG_B_CELL_RECEPTOR_SIGNALING_PAT | KEGG (c2.cp.kegg_legacy) | v2024.1 | 75 | yes | https://www.gsea-msigdb.org/gsea/m
27 | KEGG_CELL_CYCLE | KEGG (c2.cp.kegg_legacy) | v2024.1 | 125 | yes | https://www.gsea-msigdb.org/gsea/m
28 | KEGG_CHEMOKINE_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 188 | yes | https://www.gsea-msigdb.org/gsea/m
29 | KEGG_COLORECTAL_CANCER | KEGG (c2.cp.kegg_legacy) | v2024.1 | 62 | yes | https://www.gsea-msigdb.org/gsea/m
30 | KEGG_DRUG_METABOLISM_CYTOCHROME_P4 | KEGG (c2.cp.kegg_legacy) | v2024.1 | 72 | yes | https://www.gsea-msigdb.org/gsea/m
31 | KEGG_DRUG_METABOLISM_OTHER_ENZYMES | KEGG (c2.cp.kegg_legacy) | v2024.1 | 51 | yes | https://www.gsea-msigdb.org/gsea/m
32 | KEGG_ECM_RECEPTOR_INTERACTION | KEGG (c2.cp.kegg_legacy) | v2024.1 | 84 | yes | https://www.gsea-msigdb.org/gsea/m
33 | KEGG_FOCAL_ADHESION | KEGG (c2.cp.kegg_legacy) | v2024.1 | 199 | yes | https://www.gsea-msigdb.org/gsea/m
34 | KEGG_GLUTATHIONE_METABOLISM | KEGG (c2.cp.kegg_legacy) | v2024.1 | 50 | yes | https://www.gsea-msigdb.org/gsea/m
35 | KEGG_HOMOLOGOUS_RECOMBINATION | KEGG (c2.cp.kegg_legacy) | v2024.1 | 28 | yes | https://www.gsea-msigdb.org/gsea/m
36 | KEGG_JAK_STAT_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 155 | yes | https://www.gsea-msigdb.org/gsea/m
37 | KEGG_MAPK_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 267 | yes | https://www.gsea-msigdb.org/gsea/m
38 | KEGG_METABOLISM_OF_XENOBIOTICS_BY_ | KEGG (c2.cp.kegg_legacy) | v2024.1 | 70 | yes | https://www.gsea-msigdb.org/gsea/m
39 | KEGG_MISMATCH_REPAIR | KEGG (c2.cp.kegg_legacy) | v2024.1 | 23 | yes | https://www.gsea-msigdb.org/gsea/m
40 | KEGG_MTOR_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 52 | yes | https://www.gsea-msigdb.org/gsea/m
41 | KEGG_NOTCH_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 47 | yes | https://www.gsea-msigdb.org/gsea/m
42 | KEGG_NUCLEOTIDE_EXCISION_REPAIR | KEGG (c2.cp.kegg_legacy) | v2024.1 | 44 | yes | https://www.gsea-msigdb.org/gsea/m
43 | KEGG_P53_SIGNALING_PATHWAY | KEGG (c2.cp.kegg_legacy) | v2024.1 | 68 | yes | https://www.gsea-msigdb.org/gsea/m
44 | KEGG_PATHWAYS_IN_CANCER | KEGG (c2.cp.kegg_legacy) | v2024.1 | 325 | yes | https://www.gsea-msigdb.org/gsea/m
